threat_model,attack_family,rho,boundary,detector,n_eval,threshold_gamma,tpr_at_1fpr,eval_fpr,evaded_rate,harmful_evasion_rate,harm_proxy_mean,localization_acc,tpr_ci_lo,tpr_ci_hi,rho_eff
TM1_seed_secret,joint_null,0.002,C1,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,0.594862,1.0,0.992667,1.0,0.002
TM1_seed_secret,joint_null,0.002,C1,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,0.594862,1.0,0.992667,1.0,0.002
TM1_seed_secret,joint_null,0.002,C1,SignRadial,520,0.008965,0.994231,0.009615,0.005769,0.005769,0.594862,0.793037,0.983177,0.998036,0.002
TM1_seed_secret,joint_null,0.002,C2,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,0.430714,0.973077,0.992667,1.0,0.002
TM1_seed_secret,joint_null,0.002,C2,ProjCos4,520,0.00061048,0.998077,0.015385,0.001923,0.001923,0.430714,0.967245,0.989188,0.99966,0.002
TM1_seed_secret,joint_null,0.002,C2,SignRadial,520,0.008965,0.813462,0.009615,0.186538,0.186538,0.430714,0.669031,0.777726,0.8446,0.002
TM1_seed_secret,joint_null,0.002,C3,Combined,520,0.9900995,0.009615,0.009615,0.990385,0.790385,0.047572,0.6,0.004114,0.022309,0.002
TM1_seed_secret,joint_null,0.002,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.786538,0.047572,0.75,0.007816,0.030061,0.002
TM1_seed_secret,joint_null,0.002,C3,SignRadial,520,0.008965,0.013462,0.009615,0.986538,0.784615,0.047572,0.571429,0.006536,0.027523,0.002
TM1_seed_secret,joint_null,0.005,C1,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,0.852062,1.0,0.992667,1.0,0.005
TM1_seed_secret,joint_null,0.005,C1,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,0.852062,1.0,0.992667,1.0,0.005
TM1_seed_secret,joint_null,0.005,C1,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,0.852062,0.905769,0.992667,1.0,0.005
TM1_seed_secret,joint_null,0.005,C2,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,0.691189,0.984615,0.992667,1.0,0.005
TM1_seed_secret,joint_null,0.005,C2,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,0.691189,0.975,0.992667,1.0,0.005
TM1_seed_secret,joint_null,0.005,C2,SignRadial,520,0.008965,0.932692,0.009615,0.067308,0.067308,0.691189,0.863918,0.90783,0.951209,0.005
TM1_seed_secret,joint_null,0.005,C3,Combined,520,0.9900995,0.017308,0.009615,0.982692,0.982692,0.118909,0.777778,0.009132,0.032563,0.005
TM1_seed_secret,joint_null,0.005,C3,ProjCos4,520,0.00061048,0.019231,0.015385,0.980769,0.980769,0.118909,0.8,0.010479,0.035034,0.005
TM1_seed_secret,joint_null,0.005,C3,SignRadial,520,0.008965,0.023077,0.009615,0.976923,0.976923,0.118909,0.75,0.013249,0.039899,0.005
TM1_seed_secret,joint_null,0.01,C1,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.006174,1.0,0.992667,1.0,0.01
TM1_seed_secret,joint_null,0.01,C1,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.006174,1.0,0.992667,1.0,0.01
TM1_seed_secret,joint_null,0.01,C1,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,1.006174,0.957692,0.992667,1.0,0.01
TM1_seed_secret,joint_null,0.01,C2,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,0.91562,0.984615,0.992667,1.0,0.01
TM1_seed_secret,joint_null,0.01,C2,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,0.91562,0.975,0.992667,1.0,0.01
TM1_seed_secret,joint_null,0.01,C2,SignRadial,520,0.008965,0.971154,0.009615,0.028846,0.028846,0.91562,0.918812,0.952955,0.982442,0.01
TM1_seed_secret,joint_null,0.01,C3,Combined,520,0.9900995,0.059615,0.009615,0.940385,0.940385,0.237613,0.903226,0.042313,0.083376,0.01
TM1_seed_secret,joint_null,0.01,C3,ProjCos4,520,0.00061048,0.05,0.015385,0.95,0.95,0.237613,0.884615,0.034347,0.072253,0.01
TM1_seed_secret,joint_null,0.01,C3,SignRadial,520,0.008965,0.040385,0.009615,0.959615,0.959615,0.237613,0.857143,0.026564,0.060947,0.01
TM1_seed_secret,joint_null,0.02,C1,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.144342,1.0,0.992667,1.0,0.02
TM1_seed_secret,joint_null,0.02,C1,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.144342,1.0,0.992667,1.0,0.02
TM1_seed_secret,joint_null,0.02,C1,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,1.144342,0.971154,0.992667,1.0,0.02
TM1_seed_secret,joint_null,0.02,C2,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.135784,0.984615,0.992667,1.0,0.02
TM1_seed_secret,joint_null,0.02,C2,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.135784,0.975,0.992667,1.0,0.02
TM1_seed_secret,joint_null,0.02,C2,SignRadial,520,0.008965,0.994231,0.009615,0.005769,0.005769,1.135784,0.96325,0.983177,0.998036,0.02
TM1_seed_secret,joint_null,0.02,C3,Combined,520,0.9900995,0.511538,0.009615,0.488462,0.488462,0.473442,0.973684,0.468648,0.55426,0.02
TM1_seed_secret,joint_null,0.02,C3,ProjCos4,520,0.00061048,0.571154,0.015385,0.428846,0.428846,0.473442,0.96633,0.528247,0.613017,0.02
TM1_seed_secret,joint_null,0.02,C3,SignRadial,520,0.008965,0.167308,0.009615,0.832692,0.832692,0.473442,0.942529,0.137691,0.201803,0.02
TM1_seed_secret,joint_null,0.05,C1,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.47045,1.0,0.992667,1.0,0.05
TM1_seed_secret,joint_null,0.05,C1,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.47045,1.0,0.992667,1.0,0.05
TM1_seed_secret,joint_null,0.05,C1,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,1.47045,0.988462,0.992667,1.0,0.05
TM1_seed_secret,joint_null,0.05,C2,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.560126,0.984615,0.992667,1.0,0.05
TM1_seed_secret,joint_null,0.05,C2,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.560126,0.975,0.992667,1.0,0.05
TM1_seed_secret,joint_null,0.05,C2,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,1.560126,0.982692,0.992667,1.0,0.05
TM1_seed_secret,joint_null,0.05,C3,Combined,520,0.9900995,0.994231,0.009615,0.005769,0.005769,1.15235,0.978723,0.983177,0.998036,0.05
TM1_seed_secret,joint_null,0.05,C3,ProjCos4,520,0.00061048,0.996154,0.015385,0.003846,0.003846,1.15235,0.967181,0.986086,0.998945,0.05
TM1_seed_secret,joint_null,0.05,C3,SignRadial,520,0.008965,0.475,0.009615,0.525,0.525,1.15235,0.963563,0.432419,0.517947,0.05
TM1_seed_secret,joint_null,0.1,C1,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.804499,1.0,0.992667,1.0,0.1
TM1_seed_secret,joint_null,0.1,C1,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.804499,1.0,0.992667,1.0,0.1
TM1_seed_secret,joint_null,0.1,C1,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,1.804499,0.994231,0.992667,1.0,0.1
TM1_seed_secret,joint_null,0.1,C2,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.980879,0.984615,0.992667,1.0,0.1
TM1_seed_secret,joint_null,0.1,C2,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.980879,0.975,0.992667,1.0,0.1
TM1_seed_secret,joint_null,0.1,C2,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,1.980879,0.992308,0.992667,1.0,0.1
TM1_seed_secret,joint_null,0.1,C3,Combined,520,0.9900995,0.998077,0.009615,0.001923,0.001923,2.114071,0.978805,0.989188,0.99966,0.1
TM1_seed_secret,joint_null,0.1,C3,ProjCos4,520,0.00061048,0.998077,0.015385,0.001923,0.001923,2.114071,0.967245,0.989188,0.99966,0.1
TM1_seed_secret,joint_null,0.1,C3,SignRadial,520,0.008965,0.734615,0.009615,0.265385,0.265385,2.114071,0.968586,0.695045,0.770745,0.1
TM1_seed_secret,null_space_projcos,0.002,C1,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,0.59487,1.0,0.992667,1.0,0.002
TM1_seed_secret,null_space_projcos,0.002,C1,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,0.59487,1.0,0.992667,1.0,0.002
TM1_seed_secret,null_space_projcos,0.002,C1,SignRadial,520,0.008965,0.994231,0.009615,0.005769,0.005769,0.59487,0.789168,0.983177,0.998036,0.002
TM1_seed_secret,null_space_projcos,0.002,C2,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,0.430721,0.973077,0.992667,1.0,0.002
TM1_seed_secret,null_space_projcos,0.002,C2,ProjCos4,520,0.00061048,0.998077,0.015385,0.001923,0.001923,0.430721,0.967245,0.989188,0.99966,0.002
TM1_seed_secret,null_space_projcos,0.002,C2,SignRadial,520,0.008965,0.811538,0.009615,0.188462,0.188462,0.430721,0.665877,0.775686,0.842822,0.002
TM1_seed_secret,null_space_projcos,0.002,C3,Combined,520,0.9900995,0.009615,0.009615,0.990385,0.790385,0.047573,0.6,0.004114,0.022309,0.002
TM1_seed_secret,null_space_projcos,0.002,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.786538,0.047573,0.75,0.007816,0.030061,0.002
TM1_seed_secret,null_space_projcos,0.002,C3,SignRadial,520,0.008965,0.013462,0.009615,0.986538,0.784615,0.047573,0.571429,0.006536,0.027523,0.002
TM1_seed_secret,null_space_projcos,0.005,C1,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,0.852058,1.0,0.992667,1.0,0.005
TM1_seed_secret,null_space_projcos,0.005,C1,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,0.852058,1.0,0.992667,1.0,0.005
TM1_seed_secret,null_space_projcos,0.005,C1,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,0.852058,0.905769,0.992667,1.0,0.005
TM1_seed_secret,null_space_projcos,0.005,C2,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,0.691193,0.984615,0.992667,1.0,0.005
TM1_seed_secret,null_space_projcos,0.005,C2,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,0.691193,0.975,0.992667,1.0,0.005
TM1_seed_secret,null_space_projcos,0.005,C2,SignRadial,520,0.008965,0.934615,0.009615,0.065385,0.065385,0.691193,0.864198,0.910021,0.952836,0.005
TM1_seed_secret,null_space_projcos,0.005,C3,Combined,520,0.9900995,0.017308,0.009615,0.982692,0.982692,0.118909,0.777778,0.009132,0.032563,0.005
TM1_seed_secret,null_space_projcos,0.005,C3,ProjCos4,520,0.00061048,0.019231,0.015385,0.980769,0.980769,0.118909,0.8,0.010479,0.035034,0.005
TM1_seed_secret,null_space_projcos,0.005,C3,SignRadial,520,0.008965,0.023077,0.009615,0.976923,0.976923,0.118909,0.75,0.013249,0.039899,0.005
TM1_seed_secret,null_space_projcos,0.01,C1,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.006202,1.0,0.992667,1.0,0.01
TM1_seed_secret,null_space_projcos,0.01,C1,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.006202,1.0,0.992667,1.0,0.01
TM1_seed_secret,null_space_projcos,0.01,C1,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,1.006202,0.957692,0.992667,1.0,0.01
TM1_seed_secret,null_space_projcos,0.01,C2,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,0.915623,0.984615,0.992667,1.0,0.01
TM1_seed_secret,null_space_projcos,0.01,C2,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,0.915623,0.975,0.992667,1.0,0.01
TM1_seed_secret,null_space_projcos,0.01,C2,SignRadial,520,0.008965,0.971154,0.009615,0.028846,0.028846,0.915623,0.922772,0.952955,0.982442,0.01
TM1_seed_secret,null_space_projcos,0.01,C3,Combined,520,0.9900995,0.059615,0.009615,0.940385,0.940385,0.237614,0.903226,0.042313,0.083376,0.01
TM1_seed_secret,null_space_projcos,0.01,C3,ProjCos4,520,0.00061048,0.05,0.015385,0.95,0.95,0.237614,0.884615,0.034347,0.072253,0.01
TM1_seed_secret,null_space_projcos,0.01,C3,SignRadial,520,0.008965,0.040385,0.009615,0.959615,0.959615,0.237614,0.857143,0.026564,0.060947,0.01
TM1_seed_secret,null_space_projcos,0.02,C1,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.144348,1.0,0.992667,1.0,0.02
TM1_seed_secret,null_space_projcos,0.02,C1,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.144348,1.0,0.992667,1.0,0.02
TM1_seed_secret,null_space_projcos,0.02,C1,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,1.144348,0.971154,0.992667,1.0,0.02
TM1_seed_secret,null_space_projcos,0.02,C2,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.135796,0.984615,0.992667,1.0,0.02
TM1_seed_secret,null_space_projcos,0.02,C2,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.135796,0.975,0.992667,1.0,0.02
TM1_seed_secret,null_space_projcos,0.02,C2,SignRadial,520,0.008965,0.994231,0.009615,0.005769,0.005769,1.135796,0.965184,0.983177,0.998036,0.02
TM1_seed_secret,null_space_projcos,0.02,C3,Combined,520,0.9900995,0.513462,0.009615,0.486538,0.486538,0.473444,0.973783,0.470561,0.556165,0.02
TM1_seed_secret,null_space_projcos,0.02,C3,ProjCos4,520,0.00061048,0.571154,0.015385,0.428846,0.428846,0.473444,0.96633,0.528247,0.613017,0.02
TM1_seed_secret,null_space_projcos,0.02,C3,SignRadial,520,0.008965,0.167308,0.009615,0.832692,0.832692,0.473444,0.942529,0.137691,0.201803,0.02
TM1_seed_secret,null_space_projcos,0.05,C1,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.470306,1.0,0.992667,1.0,0.05
TM1_seed_secret,null_space_projcos,0.05,C1,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.470306,1.0,0.992667,1.0,0.05
TM1_seed_secret,null_space_projcos,0.05,C1,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,1.470306,0.990385,0.992667,1.0,0.05
TM1_seed_secret,null_space_projcos,0.05,C2,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.560187,0.984615,0.992667,1.0,0.05
TM1_seed_secret,null_space_projcos,0.05,C2,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.560187,0.975,0.992667,1.0,0.05
TM1_seed_secret,null_space_projcos,0.05,C2,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,1.560187,0.984615,0.992667,1.0,0.05
TM1_seed_secret,null_space_projcos,0.05,C3,Combined,520,0.9900995,0.994231,0.009615,0.005769,0.005769,1.152355,0.978723,0.983177,0.998036,0.05
TM1_seed_secret,null_space_projcos,0.05,C3,ProjCos4,520,0.00061048,0.996154,0.015385,0.003846,0.003846,1.152355,0.967181,0.986086,0.998945,0.05
TM1_seed_secret,null_space_projcos,0.05,C3,SignRadial,520,0.008965,0.476923,0.009615,0.523077,0.523077,1.152355,0.96371,0.43432,0.519864,0.05
TM1_seed_secret,null_space_projcos,0.1,C1,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.804765,1.0,0.992667,1.0,0.1
TM1_seed_secret,null_space_projcos,0.1,C1,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.804765,1.0,0.992667,1.0,0.1
TM1_seed_secret,null_space_projcos,0.1,C1,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,1.804765,0.998077,0.992667,1.0,0.1
TM1_seed_secret,null_space_projcos,0.1,C2,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.980956,0.984615,0.992667,1.0,0.1
TM1_seed_secret,null_space_projcos,0.1,C2,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.980956,0.975,0.992667,1.0,0.1
TM1_seed_secret,null_space_projcos,0.1,C2,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,1.980956,0.994231,0.992667,1.0,0.1
TM1_seed_secret,null_space_projcos,0.1,C3,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,2.114076,0.978846,0.992667,1.0,0.1
TM1_seed_secret,null_space_projcos,0.1,C3,ProjCos4,520,0.00061048,0.998077,0.015385,0.001923,0.001923,2.114076,0.967245,0.989188,0.99966,0.1
TM1_seed_secret,null_space_projcos,0.1,C3,SignRadial,520,0.008965,0.734615,0.009615,0.265385,0.265385,2.114076,0.968586,0.695045,0.770745,0.1
TM1_seed_secret,sign_balanced_sr,0.002,C1,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,0.595406,1.0,0.992667,1.0,0.002
TM1_seed_secret,sign_balanced_sr,0.002,C1,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,0.595406,1.0,0.992667,1.0,0.002
TM1_seed_secret,sign_balanced_sr,0.002,C1,SignRadial,520,0.008965,0.994231,0.009615,0.005769,0.005769,0.595406,0.796905,0.983177,0.998036,0.002
TM1_seed_secret,sign_balanced_sr,0.002,C2,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,0.431446,0.971154,0.992667,1.0,0.002
TM1_seed_secret,sign_balanced_sr,0.002,C2,ProjCos4,520,0.00061048,0.998077,0.015385,0.001923,0.001923,0.431446,0.965318,0.989188,0.99966,0.002
TM1_seed_secret,sign_balanced_sr,0.002,C2,SignRadial,520,0.008965,0.811538,0.009615,0.188462,0.188462,0.431446,0.680095,0.775686,0.842822,0.002
TM1_seed_secret,sign_balanced_sr,0.002,C3,Combined,520,0.9900995,0.009615,0.009615,0.990385,0.790385,0.047884,0.6,0.004114,0.022309,0.002
TM1_seed_secret,sign_balanced_sr,0.002,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.786538,0.047884,0.75,0.007816,0.030061,0.002
TM1_seed_secret,sign_balanced_sr,0.002,C3,SignRadial,520,0.008965,0.013462,0.009615,0.986538,0.784615,0.047884,0.571429,0.006536,0.027523,0.002
TM1_seed_secret,sign_balanced_sr,0.005,C1,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,0.852386,1.0,0.992667,1.0,0.005
TM1_seed_secret,sign_balanced_sr,0.005,C1,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,0.852386,1.0,0.992667,1.0,0.005
TM1_seed_secret,sign_balanced_sr,0.005,C1,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,0.852386,0.911538,0.992667,1.0,0.005
TM1_seed_secret,sign_balanced_sr,0.005,C2,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,0.691584,0.984615,0.992667,1.0,0.005
TM1_seed_secret,sign_balanced_sr,0.005,C2,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,0.691584,0.975,0.992667,1.0,0.005
TM1_seed_secret,sign_balanced_sr,0.005,C2,SignRadial,520,0.008965,0.940385,0.009615,0.059615,0.059615,0.691584,0.858896,0.916624,0.957687,0.005
TM1_seed_secret,sign_balanced_sr,0.005,C3,Combined,520,0.9900995,0.019231,0.009615,0.980769,0.980769,0.119686,0.8,0.010479,0.035034,0.005
TM1_seed_secret,sign_balanced_sr,0.005,C3,ProjCos4,520,0.00061048,0.019231,0.015385,0.980769,0.980769,0.119686,0.8,0.010479,0.035034,0.005
TM1_seed_secret,sign_balanced_sr,0.005,C3,SignRadial,520,0.008965,0.021154,0.009615,0.978846,0.978846,0.119686,0.727273,0.011852,0.037478,0.005
TM1_seed_secret,sign_balanced_sr,0.01,C1,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.006587,1.0,0.992667,1.0,0.01
TM1_seed_secret,sign_balanced_sr,0.01,C1,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.006587,1.0,0.992667,1.0,0.01
TM1_seed_secret,sign_balanced_sr,0.01,C1,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,1.006587,0.965385,0.992667,1.0,0.01
TM1_seed_secret,sign_balanced_sr,0.01,C2,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,0.914374,0.984615,0.992667,1.0,0.01
TM1_seed_secret,sign_balanced_sr,0.01,C2,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,0.914374,0.975,0.992667,1.0,0.01
TM1_seed_secret,sign_balanced_sr,0.01,C2,SignRadial,520,0.008965,0.978846,0.009615,0.021154,0.021154,0.914374,0.901768,0.962522,0.988148,0.01
TM1_seed_secret,sign_balanced_sr,0.01,C3,Combined,520,0.9900995,0.061538,0.009615,0.938462,0.938462,0.239165,0.90625,0.043925,0.085583,0.01
TM1_seed_secret,sign_balanced_sr,0.01,C3,ProjCos4,520,0.00061048,0.048077,0.015385,0.951923,0.951923,0.239165,0.88,0.032774,0.070008,0.01
TM1_seed_secret,sign_balanced_sr,0.01,C3,SignRadial,520,0.008965,0.036538,0.009615,0.963462,0.963462,0.239165,0.842105,0.023514,0.05636,0.01
TM1_seed_secret,sign_balanced_sr,0.02,C1,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.144559,1.0,0.992667,1.0,0.02
