threat_model,attack_family,rho,boundary,detector,n_eval,threshold_gamma,tpr_at_1fpr,eval_fpr,evaded_rate,harmful_evasion_rate,harm_proxy_mean,localization_acc,tpr_ci_lo,tpr_ci_hi,rho_eff
TM1_seed_secret,joint_null,0.002,C3,Combined,520,0.9900995,0.009615,0.009615,0.990385,0.790385,0.047898,0.6,0.004114,0.022309,0.002
TM1_seed_secret,joint_null,0.002,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.786538,0.047898,0.75,0.007816,0.030061,0.002
TM1_seed_secret,joint_null,0.002,C3,SignRadial,520,0.008965,0.015385,0.009615,0.984615,0.782692,0.047898,0.625,0.007816,0.030061,0.002
TM1_seed_secret,joint_null,0.005,C3,Combined,520,0.9900995,0.019231,0.009615,0.980769,0.980769,0.119722,0.8,0.010479,0.035034,0.005
TM1_seed_secret,joint_null,0.005,C3,ProjCos4,520,0.00061048,0.019231,0.015385,0.980769,0.980769,0.119722,0.8,0.010479,0.035034,0.005
TM1_seed_secret,joint_null,0.005,C3,SignRadial,520,0.008965,0.021154,0.009615,0.978846,0.978846,0.119722,0.727273,0.011852,0.037478,0.005
TM1_seed_secret,joint_null,0.01,C3,Combined,520,0.9900995,0.063462,0.009615,0.936538,0.936538,0.239235,0.909091,0.045542,0.087784,0.01
TM1_seed_secret,joint_null,0.01,C3,ProjCos4,520,0.00061048,0.048077,0.015385,0.951923,0.951923,0.239235,0.88,0.032774,0.070008,0.01
TM1_seed_secret,joint_null,0.01,C3,SignRadial,520,0.008965,0.038462,0.009615,0.961538,0.961538,0.239235,0.85,0.025034,0.058658,0.01
TM1_seed_secret,joint_null,0.02,C3,Combined,520,0.9900995,0.534615,0.009615,0.465385,0.465385,0.476664,0.97482,0.491646,0.577077,0.02
TM1_seed_secret,joint_null,0.02,C3,ProjCos4,520,0.00061048,0.590385,0.015385,0.409615,0.409615,0.476664,0.967427,0.547605,0.631839,0.02
TM1_seed_secret,joint_null,0.02,C3,SignRadial,520,0.008965,0.165385,0.009615,0.834615,0.834615,0.476664,0.94186,0.135928,0.199748,0.02
TM1_seed_secret,joint_null,0.05,C3,Combined,520,0.9900995,0.992308,0.009615,0.007692,0.007692,1.160119,0.978682,0.98039,0.997005,0.05
TM1_seed_secret,joint_null,0.05,C3,ProjCos4,520,0.00061048,0.990385,0.015385,0.009615,0.009615,1.160119,0.96699,0.977691,0.995886,0.05
TM1_seed_secret,joint_null,0.05,C3,SignRadial,520,0.008965,0.471154,0.009615,0.528846,0.528846,1.160119,0.963265,0.428619,0.514112,0.05
TM1_seed_secret,joint_null,0.1,C3,Combined,520,0.9900995,0.998077,0.009615,0.001923,0.001923,2.128119,0.978805,0.989188,0.99966,0.1
TM1_seed_secret,joint_null,0.1,C3,ProjCos4,520,0.00061048,0.998077,0.015385,0.001923,0.001923,2.128119,0.967245,0.989188,0.99966,0.1
TM1_seed_secret,joint_null,0.1,C3,SignRadial,520,0.008965,0.738462,0.009615,0.261538,0.261538,2.128119,0.96875,0.699038,0.774387,0.1
TM1_seed_secret,null_space_projcos,0.002,C3,Combined,520,0.9900995,0.009615,0.009615,0.990385,0.790385,0.047899,0.6,0.004114,0.022309,0.002
TM1_seed_secret,null_space_projcos,0.002,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.786538,0.047899,0.75,0.007816,0.030061,0.002
TM1_seed_secret,null_space_projcos,0.002,C3,SignRadial,520,0.008965,0.015385,0.009615,0.984615,0.782692,0.047899,0.625,0.007816,0.030061,0.002
TM1_seed_secret,null_space_projcos,0.005,C3,Combined,520,0.9900995,0.019231,0.009615,0.980769,0.980769,0.119726,0.8,0.010479,0.035034,0.005
TM1_seed_secret,null_space_projcos,0.005,C3,ProjCos4,520,0.00061048,0.019231,0.015385,0.980769,0.980769,0.119726,0.8,0.010479,0.035034,0.005
TM1_seed_secret,null_space_projcos,0.005,C3,SignRadial,520,0.008965,0.021154,0.009615,0.978846,0.978846,0.119726,0.727273,0.011852,0.037478,0.005
TM1_seed_secret,null_space_projcos,0.01,C3,Combined,520,0.9900995,0.063462,0.009615,0.936538,0.936538,0.239243,0.909091,0.045542,0.087784,0.01
TM1_seed_secret,null_space_projcos,0.01,C3,ProjCos4,520,0.00061048,0.048077,0.015385,0.951923,0.951923,0.239243,0.88,0.032774,0.070008,0.01
