threat_model,attack_family,rho,boundary,detector,n_eval,threshold_gamma,tpr_at_1fpr,eval_fpr,evaded_rate,harmful_evasion_rate,harm_proxy_mean,localization_acc,tpr_ci_lo,tpr_ci_hi,rho_eff
TM1b_knownP,joint_null,0.002,C3,Combined,520,0.9900995,0.009615,0.009615,0.990385,0.790385,0.048055,0.6,0.004114,0.022309,0.002
TM1b_knownP,joint_null,0.002,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.786538,0.048055,0.75,0.007816,0.030061,0.002
TM1b_knownP,joint_null,0.002,C3,SignRadial,520,0.008965,0.013462,0.009615,0.986538,0.784615,0.048055,0.571429,0.006536,0.027523,0.002
TM1b_knownP,joint_null,0.005,C3,Combined,520,0.9900995,0.015385,0.009615,0.984615,0.984615,0.120113,0.75,0.007816,0.030061,0.005
TM1b_knownP,joint_null,0.005,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.984615,0.120113,0.75,0.007816,0.030061,0.005
TM1b_knownP,joint_null,0.005,C3,SignRadial,520,0.008965,0.021154,0.009615,0.978846,0.978846,0.120113,0.727273,0.011852,0.037478,0.005
TM1b_knownP,joint_null,0.01,C3,Combined,520,0.9900995,0.030769,0.009615,0.969231,0.969231,0.240017,0.875,0.019027,0.049394,0.01
TM1b_knownP,joint_null,0.01,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.984615,0.240017,0.75,0.007816,0.030061,0.01
TM1b_knownP,joint_null,0.01,C3,SignRadial,520,0.008965,0.038462,0.009615,0.961538,0.961538,0.240017,0.85,0.025034,0.058658,0.01
TM1b_knownP,joint_null,0.02,C3,Combined,520,0.9900995,0.138462,0.009615,0.861538,0.861538,0.478222,0.972222,0.111417,0.170808,0.02
TM1b_knownP,joint_null,0.02,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.984615,0.478222,0.75,0.007816,0.030061,0.02
TM1b_knownP,joint_null,0.02,C3,SignRadial,520,0.008965,0.171154,0.009615,0.828846,0.828846,0.478222,0.94382,0.141222,0.205909,0.02
