pair,detector,attack,auroc,n_honest,n_attack
A/B,scalar16,gaussian,1.0,200,200
A/B,scalar16,stale,0.9818,200,200
A/B,scalar16,wrong_prompt,0.9818,200,200
A/B,scalar16,scale,0.6169,200,200
A/B,scalar16,layer_skip,0.999475,200,200
A/B,scalar16,null_space,0.5,200,200
A/B,scalar64,gaussian,1.0,200,200
A/B,scalar64,stale,0.9836125,200,200
A/B,scalar64,wrong_prompt,0.9836125,200,200
A/B,scalar64,scale,0.8036,200,200
A/B,scalar64,layer_skip,1.0,200,200
A/B,scalar64,null_space,0.5509125,200,200
A/B,projcos4,gaussian,1.0,200,200
A/B,projcos4,stale,1.0,200,200
A/B,projcos4,wrong_prompt,1.0,200,200
A/B,projcos4,scale,0.4999875,200,200
A/B,projcos4,layer_skip,1.0,200,200
A/B,projcos4,null_space,0.7432875,200,200
A/B,projcos16,gaussian,1.0,200,200
A/B,projcos16,stale,1.0,200,200
A/B,projcos16,wrong_prompt,1.0,200,200
A/B,projcos16,scale,0.5000375,200,200
A/B,projcos16,layer_skip,1.0,200,200
A/B,projcos16,null_space,0.91105,200,200
A/B,signradial,gaussian,0.9838875,200,200
A/B,signradial,stale,0.949625,200,200
A/B,signradial,wrong_prompt,0.949625,200,200
A/B,signradial,scale,0.999775,200,200
A/B,signradial,layer_skip,1.0,200,200
A/B,signradial,null_space,0.5096,200,200
B/D,scalar16,gaussian,1.0,200,200
B/D,scalar16,stale,1.0,200,200
B/D,scalar16,wrong_prompt,1.0,200,200
B/D,scalar16,scale,0.995525,200,200
B/D,scalar16,layer_skip,1.0,200,200
B/D,scalar16,null_space,0.5,200,200
B/D,scalar64,gaussian,1.0,200,200
B/D,scalar64,stale,1.0,200,200
B/D,scalar64,wrong_prompt,1.0,200,200
B/D,scalar64,scale,0.99905,200,200
B/D,scalar64,layer_skip,1.0,200,200
B/D,scalar64,null_space,0.5786,200,200
B/D,projcos4,gaussian,1.0,200,200
B/D,projcos4,stale,1.0,200,200
B/D,projcos4,wrong_prompt,1.0,200,200
B/D,projcos4,scale,0.5000375,200,200
B/D,projcos4,layer_skip,1.0,200,200
B/D,projcos4,null_space,0.9295625,200,200
B/D,projcos16,gaussian,1.0,200,200
B/D,projcos16,stale,1.0,200,200
B/D,projcos16,wrong_prompt,1.0,200,200
B/D,projcos16,scale,0.5001,200,200
B/D,projcos16,layer_skip,1.0,200,200
B/D,projcos16,null_space,0.99205,200,200
B/D,signradial,gaussian,0.999325,200,200
B/D,signradial,stale,0.99805,200,200
B/D,signradial,wrong_prompt,0.99805,200,200
B/D,signradial,scale,1.0,200,200
B/D,signradial,layer_skip,1.0,200,200
B/D,signradial,null_space,0.6109,200,200
