pair,detector,alpha,tau,calib_fpr,eval_fpr,tpr_gaussian,tpr_stale,tpr_wrong_prompt,tpr_scale,tpr_layer_skip,tpr_null_space
A/B,scalar16,0.001,1.26486328125,0.025,0.01,1.0,0.835,0.835,0.06,0.99,0.01
A/B,scalar16,0.01,1.2580078125,0.025,0.01,1.0,0.835,0.835,0.06,0.99,0.01
A/B,scalar16,0.05,1.21640625,0.05,0.02,1.0,0.845,0.845,0.105,0.995,0.02
A/B,scalar64,0.001,1.700638671875,0.025,0.01,1.0,0.875,0.875,0.21,1.0,0.03
A/B,scalar64,0.01,1.69583984375,0.025,0.01,1.0,0.875,0.875,0.21,1.0,0.03
A/B,scalar64,0.05,1.6652343749999998,0.05,0.02,1.0,0.875,0.875,0.215,1.0,0.055
A/B,projcos4,0.001,0.0003638385516847983,0.025,0.105,1.0,1.0,1.0,0.105,1.0,0.485
A/B,projcos4,0.01,0.0003562385941327041,0.025,0.11,1.0,1.0,1.0,0.11,1.0,0.495
A/B,projcos4,0.05,0.00027117333254362365,0.05,0.27,1.0,1.0,1.0,0.27,1.0,0.63
A/B,projcos16,0.001,0.0003955820383134075,0.025,0.1,1.0,1.0,1.0,0.1,1.0,0.695
A/B,projcos16,0.01,0.00038988627441251624,0.025,0.11,1.0,1.0,1.0,0.11,1.0,0.705
A/B,projcos16,0.05,0.00033390960521324076,0.05,0.21,1.0,1.0,1.0,0.21,1.0,0.85
A/B,signradial,0.001,0.057175354374921994,0.025,0.015,0.95,0.81,0.81,0.995,1.0,0.015
A/B,signradial,0.01,0.05658048820086272,0.025,0.015,0.95,0.815,0.815,1.0,1.0,0.015
A/B,signradial,0.05,0.05416276598125791,0.05,0.02,0.95,0.835,0.835,1.0,1.0,0.02
B/D,scalar16,0.001,0.15241034340858456,0.025,0.04,1.0,1.0,1.0,0.995,1.0,0.04
B/D,scalar16,0.01,0.14239886522293088,0.025,0.05,1.0,1.0,1.0,0.995,1.0,0.05
B/D,scalar16,0.05,0.12438098192214965,0.05,0.09,1.0,1.0,1.0,1.0,1.0,0.09
B/D,scalar64,0.001,0.14380221891403197,0.025,0.175,1.0,1.0,1.0,1.0,1.0,0.305
B/D,scalar64,0.01,0.14009480953216552,0.025,0.18,1.0,1.0,1.0,1.0,1.0,0.31
B/D,scalar64,0.05,0.1334397315979004,0.05,0.205,1.0,1.0,1.0,1.0,1.0,0.335
B/D,projcos4,0.001,0.00012022119991986721,0.025,0.06,1.0,1.0,1.0,0.06,1.0,0.66
B/D,projcos4,0.01,0.00010262723514995903,0.025,0.125,1.0,1.0,1.0,0.125,1.0,0.765
B/D,projcos4,0.05,6.710278898021006e-05,0.05,0.335,1.0,1.0,1.0,0.335,1.0,0.965
B/D,projcos16,0.001,0.0001435350750915272,0.025,0.035,1.0,1.0,1.0,0.035,1.0,0.99
B/D,projcos16,0.01,0.00013636450290934905,0.025,0.05,1.0,1.0,1.0,0.05,1.0,0.995
B/D,projcos16,0.05,0.00011297728590056597,0.05,0.16,1.0,1.0,1.0,0.16,1.0,1.0
B/D,signradial,0.001,0.007522977174897194,0.025,0.005,0.995,0.99,0.99,1.0,1.0,0.165
B/D,signradial,0.01,0.006952913718385103,0.025,0.01,0.995,0.99,0.99,1.0,1.0,0.175
B/D,signradial,0.05,0.005915707778282061,0.05,0.075,0.995,0.995,0.995,1.0,1.0,0.235
