pair,variant,family,tol_mode,percentile,scale,calib_fpr,eval_hetero_fpr,eval_tamper_tpr,eval_tamper_locacc,tpr_gaussian,tpr_stale,tpr_wrong_prompt,tpr_scale,tpr_layer_skip,tpr_null_space,locacc_scale,locacc_layer_skip,locacc_null_space,ops_per_tensor,reads_per_tensor,ref_bytes_per_ckpt
A/B,scalar16,scalar,global_shared,99.99,1.5,0.125,0.15,1.0,1.0,1.0,0.76,0.76,0.425,0.83,0.0,1.0,1.0,0.0,32,16,64
A/B,scalar64,scalar,global_shared,99.99,2.0,0.475,0.415,1.0,1.0,1.0,0.855,0.855,0.805,0.98,0.0,1.0,1.0,0.0,128,64,256
A/B,projcos4,projcos,checkpoint_specific,99.0,1.5,0.0,0.02,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.12,0.0,1.0,1.0,65536,16384,256
A/B,projcos8,projcos,checkpoint_specific,99.0,1.5,0.0,0.08,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.42,0.0,1.0,1.0,131072,16384,512
A/B,projcos16,projcos,checkpoint_specific,99.0,1.5,0.0,0.12,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.39,0.0,1.0,1.0,262144,16384,1024
A/B,projscalar1_abs,projabs,checkpoint_specific,99.0,1.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,16384,16,64
A/B,SRR-32,srr,checkpoint_specific,99.0,0.5,0.0,0.025,1.0,1.0,1.0,0.72,0.72,0.0,0.96,0.91,0.0,1.0,1.0,160,32,64
A/B,SRR-64,srr,checkpoint_specific,99.0,0.5,0.0,0.065,1.0,1.0,1.0,0.835,0.835,0.0,0.985,0.775,0.0,1.0,1.0,320,64,128
A/B,SRR-128,srr,checkpoint_specific,99.0,0.5,0.0,0.1,1.0,1.0,1.0,0.94,0.94,0.0,1.0,1.0,0.0,1.0,1.0,640,128,256
A/C,scalar16,scalar,global_shared,99.99,1.5,0.175,0.195,1.0,1.0,1.0,0.75,0.75,0.335,0.82,0.0,1.0,1.0,0.0,32,16,64
A/C,scalar64,scalar,global_shared,99.99,2.0,0.425,0.325,1.0,1.0,1.0,0.875,0.875,0.78,0.98,0.0,1.0,1.0,0.0,128,64,256
A/C,projcos4,projcos,checkpoint_specific,99.0,1.5,0.0,0.05,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.185,0.0,1.0,1.0,65536,16384,256
A/C,projcos8,projcos,checkpoint_specific,99.0,1.5,0.0,0.08,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.46,0.0,1.0,1.0,131072,16384,512
A/C,projcos16,projcos,checkpoint_specific,99.0,1.5,0.0,0.065,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.34,0.0,1.0,1.0,262144,16384,1024
A/C,projscalar1_abs,projabs,checkpoint_specific,99.0,1.5,0.0,0.005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,16384,16,64
A/C,SRR-32,srr,checkpoint_specific,99.0,0.5,0.0,0.015,1.0,1.0,1.0,0.705,0.705,0.0,0.945,0.79,0.0,1.0,1.0,160,32,64
A/C,SRR-64,srr,checkpoint_specific,99.0,0.5,0.0,0.035,1.0,1.0,1.0,0.83,0.83,0.0,0.985,0.77,0.0,1.0,1.0,320,64,128
A/C,SRR-128,srr,checkpoint_specific,99.0,0.5,0.0,0.075,1.0,1.0,1.0,0.945,0.945,0.0,1.0,0.995,0.0,1.0,1.0,640,128,256
A/D,scalar16,scalar,global_shared,99.99,2.0,0.025,0.095,1.0,1.0,1.0,0.555,0.555,0.155,0.51,0.0,1.0,1.0,0.0,32,16,64
A/D,scalar64,scalar,global_shared,99.99,2.0,0.175,0.36,1.0,1.0,1.0,0.795,0.795,0.635,0.95,0.01,1.0,1.0,1.0,128,64,256
A/D,projcos4,projcos,checkpoint_specific,99.0,1.5,0.0,0.03,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.145,0.0,1.0,1.0,65536,16384,256
A/D,projcos8,projcos,checkpoint_specific,99.0,1.5,0.0,0.07,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.46,0.0,1.0,1.0,131072,16384,512
