percentile,token_samples,channel_samples,prompt_count,detect_count,tstc_fpr,dominant_mismatch_checkpoint,mismatch_distribution
99.99,1,1,200,19,0.095,C3,"{""C1"": 1, ""C2"": 3, ""C3"": 15}"
99.9,1,1,200,25,0.125,C3,"{""C1"": 2, ""C2"": 4, ""C3"": 19}"
99.95,1,1,200,33,0.165,C3,"{""C1"": 2, ""C2"": 2, ""C3"": 29}"
99.99,1,2,200,39,0.195,C3,"{""C1"": 1, ""C2"": 8, ""C3"": 30}"
99.0,1,1,200,41,0.205,C3,"{""C1"": 2, ""C2"": 4, ""C3"": 35}"
99.5,1,1,200,54,0.27,C3,"{""C1"": 1, ""C2"": 2, ""C3"": 51}"
99.95,1,2,200,56,0.28,C3,"{""C1"": 4, ""C2"": 4, ""C3"": 48}"
99.9,1,2,200,64,0.32,C3,"{""C1"": 1, ""C2"": 5, ""C3"": 58}"
99.99,1,4,200,70,0.35,C3,"{""C1"": 1, ""C2"": 6, ""C3"": 63}"
99.99,1,8,200,87,0.435,C3,"{""C1"": 1, ""C2"": 14, ""C3"": 72}"
99.9,2,1,200,88,0.44,C3,"{""C1"": 2, ""C2"": 41, ""C3"": 45}"
99.95,1,4,200,88,0.44,C3,"{""C1"": 2, ""C2"": 12, ""C3"": 74}"
99.5,1,2,200,89,0.445,C3,"{""C1"": 3, ""C2"": 9, ""C3"": 77}"
99.0,1,2,200,94,0.47,C3,"{""C1"": 2, ""C2"": 12, ""C3"": 80}"
99.9,1,4,200,103,0.515,C3,"{""C1"": 2, ""C2"": 14, ""C3"": 87}"
99.95,2,1,200,111,0.555,C2,"{""C1"": 2, ""C2"": 81, ""C3"": 28}"
99.5,1,4,200,127,0.635,C3,"{""C1"": 7, ""C2"": 16, ""C3"": 104}"
99.95,1,8,200,127,0.635,C3,"{""C1"": 5, ""C2"": 18, ""C3"": 104}"
99.9,1,8,200,142,0.71,C3,"{""C1"": 1, ""C2"": 19, ""C3"": 122}"
99.0,1,4,200,143,0.715,C3,"{""C1"": 8, ""C2"": 15, ""C3"": 120}"
99.5,2,1,200,151,0.755,C2,"{""C1"": 6, ""C2"": 117, ""C3"": 28}"
99.9,2,2,200,152,0.76,C2,"{""C1"": 3, ""C2"": 81, ""C3"": 68}"
99.95,4,1,200,153,0.765,C1,"{""C1"": 60, ""C2"": 60, ""C3"": 33}"
99.99,1,16,200,153,0.765,C3,"{""C2"": 24, ""C3"": 129}"
99.95,2,2,200,155,0.775,C2,"{""C1"": 5, ""C2"": 99, ""C3"": 51}"
99.9,4,1,200,163,0.815,C1,"{""C1"": 120, ""C2"": 22, ""C3"": 21}"
99.99,2,4,200,166,0.83,C2,"{""C2"": 123, ""C3"": 43}"
99.99,2,1,200,167,0.835,C2,"{""C2"": 160, ""C3"": 7}"
