variant,family,scenario,prompt_id,tolerance_mode,percentile,tolerance_scale,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,reveal_payload_bytes_per_trace,reference_capture_file_bytes,candidate_capture_file_bytes,metadata_bytes,commitment_head_bytes,commitment_chain_bytes,reference_storage_head_bytes,candidate_working_set_head_bytes,challenge_working_set_head_bytes,challenge_working_set_full_chain_bytes,reference_capture_load_ms,candidate_capture_load_ms,commitment_generation_ms,replay_ms,compare_ms,challenge_latency_no_commit_ms,challenge_latency_ms,detected,first_mismatch_stage,first_mismatch_checkpoint,verdict_bytes
scalar16,scalar,honest_homo,eval_001,global_shared,99.99,1.5,16,64,192,125387,125387,2132,32,96,126453,126453,253124,253188,1.904834,2.284084,48.295666,0.079666,0.003834,4.272418,52.568084,0,,,186
scalar16,scalar,honest_homo,eval_002,global_shared,99.99,1.5,16,64,192,133175,133175,2132,32,96,134241,134241,268700,268764,1.850458,2.300458,0.103667,0.070583,0.002458,4.223957,4.327624,0,,,186
scalar16,scalar,honest_homo,eval_003,global_shared,99.99,1.5,16,64,192,117824,117824,2132,32,96,118890,118890,237998,238062,1.731458,2.374417,0.145458,0.072208,0.002875,4.180958,4.326416,0,,,186
scalar16,scalar,honest_homo,eval_004,global_shared,99.99,1.5,16,64,192,117850,117850,2132,32,96,118916,118916,238050,238114,1.73525,2.32575,0.144875,0.077834,0.003125,4.141959,4.286834,0,,,186
scalar16,scalar,honest_homo,eval_005,global_shared,99.99,1.5,16,64,192,117819,117819,2132,32,96,118885,118885,237988,238052,1.851916,2.300083,0.137333,0.076,0.002792,4.230791,4.368124,0,,,186
scalar16,scalar,honest_homo,eval_006,global_shared,99.99,1.5,16,64,192,117847,117847,2132,32,96,118913,118913,238044,238108,1.744833,2.151417,0.098666,0.06975,0.002625,3.968625,4.067291,0,,,186
scalar16,scalar,honest_homo,eval_007,global_shared,99.99,1.5,16,64,192,148372,148372,2132,32,96,149438,149438,299094,299158,1.8245,2.507083,0.138,0.070791,0.002833,4.405207,4.543207,0,,,186
scalar16,scalar,honest_homo,eval_008,global_shared,99.99,1.5,16,64,192,148442,148442,2132,32,96,149508,149508,299234,299298,1.795959,2.311916,0.098959,0.073166,0.002541,4.183582,4.282541,0,,,186
scalar16,scalar,honest_homo,eval_009,global_shared,99.99,1.5,16,64,192,148502,148502,2132,32,96,149568,149568,299354,299418,1.839208,2.25425,0.094833,0.071,0.002625,4.167083,4.261916,0,,,186
scalar16,scalar,honest_homo,eval_010,global_shared,99.99,1.5,16,64,192,117752,117752,2132,32,96,118818,118818,237854,237918,1.711708,2.135458,0.09225,0.074,0.002542,3.923708,4.015958,0,,,186
scalar16,scalar,honest_homo,eval_011,global_shared,99.99,1.5,16,64,192,94634,94634,2132,32,96,95700,95700,191618,191682,1.713625,2.104167,0.092041,0.081416,0.0025,3.901708,3.993749,0,,,186
scalar16,scalar,honest_homo,eval_012,global_shared,99.99,1.5,16,64,192,102368,102368,2132,32,96,103434,103434,207086,207150,1.684125,2.187875,0.099167,0.073625,0.002667,3.948292,4.047459,0,,,186
scalar16,scalar,honest_homo,eval_013,global_shared,99.99,1.5,16,64,192,86927,86927,2132,32,96,87993,87993,176204,176268,1.697459,2.124458,0.107167,0.072458,0.00275,3.897125,4.004292,0,,,186
scalar16,scalar,honest_homo,eval_014,global_shared,99.99,1.5,16,64,192,87044,87044,2132,32,96,88110,88110,176438,176502,1.620666,2.112375,0.091583,0.071583,0.002542,3.807166,3.898749,0,,,186
scalar16,scalar,honest_homo,eval_015,global_shared,99.99,1.5,16,64,192,87024,87024,2132,32,96,88090,88090,176398,176462,2.068458,2.103334,0.096708,0.071333,0.002583,4.245708,4.342416,0,,,186
scalar16,scalar,honest_homo,eval_016,global_shared,99.99,1.5,16,64,192,87017,87017,2132,32,96,88083,88083,176384,176448,1.629208,2.153041,0.099375,0.079,0.002541,3.86379,3.963165,0,,,186
scalar16,scalar,honest_homo,eval_017,global_shared,99.99,1.5,16,64,192,117702,117702,2132,32,96,118768,118768,237754,237818,1.763084,2.364334,0.094166,0.071,0.002666,4.201084,4.29525,0,,,186
scalar16,scalar,honest_homo,eval_018,global_shared,99.99,1.5,16,64,192,117777,117777,2132,32,96,118843,118843,237904,237968,1.703041,2.283292,0.094791,0.070334,0.002458,4.059125,4.153916,0,,,186
scalar16,scalar,honest_homo,eval_019,global_shared,99.99,1.5,16,64,192,117794,117794,2132,32,96,118860,118860,237938,238002,1.744541,2.28675,0.1085,0.073208,0.002916,4.107415,4.215915,0,,,186
scalar16,scalar,honest_homo,eval_020,global_shared,99.99,1.5,16,64,192,87013,87013,2132,32,96,88079,88079,176376,176440,1.62825,2.050875,0.089,0.070667,0.002459,3.752251,3.841251,0,,,186
scalar16,scalar,honest_homo,eval_021,global_shared,99.99,1.5,16,64,192,102278,102278,2132,32,96,103344,103344,206906,206970,1.772375,2.25925,0.108708,0.075792,0.002625,4.110042,4.21875,0,,,186
scalar16,scalar,honest_homo,eval_022,global_shared,99.99,1.5,16,64,192,109959,109959,2132,32,96,111025,111025,222268,222332,1.711709,2.194458,0.111167,0.073292,0.002667,3.982126,4.093293,0,,,186
scalar16,scalar,honest_homo,eval_023,global_shared,99.99,1.5,16,64,192,94688,94688,2132,32,96,95754,95754,191726,191790,1.791792,2.144834,0.102334,0.071792,0.002875,4.011293,4.113627,0,,,186
scalar16,scalar,honest_homo,eval_024,global_shared,99.99,1.5,16,64,192,94655,94655,2132,32,96,95721,95721,191660,191724,1.638875,2.158042,0.088583,0.070584,0.0025,3.870001,3.958584,0,,,186
scalar16,scalar,honest_homo,eval_025,global_shared,99.99,1.5,16,64,192,94608,94608,2132,32,96,95674,95674,191566,191630,1.753791,2.126583,0.1035,0.074417,0.002791,3.957582,4.061082,0,,,186
scalar16,scalar,honest_homo,eval_026,global_shared,99.99,1.5,16,64,192,94641,94641,2132,32,96,95707,95707,191632,191696,1.624042,2.161833,0.0895,0.069916,0.002333,3.858124,3.947624,0,,,186
