percentile,sample_size,token_samples,channel_samples,tolerance_mode,tolerance_scale,honest_homo_thc_fpr,honest_homo_tstc_fpr,honest_homo_thc_runtime_ms_per_trace,honest_homo_tstc_runtime_ms_per_trace,honest_hetero_thc_fpr,honest_hetero_tstc_fpr,honest_hetero_thc_runtime_ms_per_trace,honest_hetero_tstc_runtime_ms_per_trace,honest_hetero_dominant_tstc_mismatch_checkpoint,tamper_thc_tpr,tamper_tstc_tpr,tamper_thc_locacc,tamper_tstc_locacc,tamper_thc_runtime_ms_per_trace,tamper_tstc_runtime_ms_per_trace,prefill_delta_c1,prefill_delta_c2,prefill_delta_c3
99.0,4,1,4,checkpoint_specific,1.0,0.0,0.0,3.99957,3.592505,1.0,0.77,3.36018,3.355515,C3,1.0,1.0,1.0,1.0,1.856455,1.83436,1.109375,1.109375,0.15750500559806824
99.0,4,1,4,global_shared,1.0,0.0,0.0,3.275975,2.88724,1.0,0.245,3.113375,3.099675,C3,1.0,1.0,1.0,1.0,1.625055,1.633165,1.109375,1.109375,1.109375
99.5,4,1,4,checkpoint_specific,1.0,0.0,0.0,3.07833,3.18476,1.0,0.68,3.10862,3.16859,C3,1.0,1.0,1.0,1.0,1.810495,1.747985,1.390625,1.39453125,0.18779930472373962
99.5,4,1,4,global_shared,1.0,0.0,0.0,3.129295,2.984985,1.0,0.215,2.94592,3.414115,C2,1.0,1.0,1.0,1.0,1.82027,1.916795,1.39453125,1.39453125,1.39453125
99.9,4,1,4,checkpoint_specific,1.0,0.0,0.0,3.074155,3.476305,1.0,0.505,3.11697,3.516375,C3,1.0,1.0,1.0,1.0,1.87203,2.004735,2.0,2.0,0.28210994601249695
99.9,4,1,4,global_shared,1.0,0.0,0.0,3.20531,3.141965,1.0,0.175,3.051345,3.291845,C2,1.0,1.0,1.0,1.0,1.717565,1.75359,2.0,2.0,2.0
99.95,4,1,4,checkpoint_specific,1.0,0.0,0.0,3.114275,3.700165,1.0,0.475,3.37434,3.55768,C3,1.0,1.0,1.0,1.0,1.90031,1.982025,2.25,2.2685546875,0.33838552236557007
99.95,4,1,4,global_shared,1.0,0.0,0.0,3.2174,3.382425,1.0,0.175,3.151015,3.07001,C3,1.0,1.0,1.0,1.0,1.688495,1.707765,2.2685546875,2.2685546875,2.2685546875
99.99,4,1,4,checkpoint_specific,1.0,0.0,0.0,3.045245,3.08113,1.0,0.34,2.968535,3.01017,C3,1.0,1.0,1.0,1.0,1.60262,1.678615,2.84375,2.890625,0.47162067890167236
99.99,4,1,4,global_shared,1.0,0.0,0.0,2.98521,2.852595,1.0,0.08,2.844145,3.006865,C3,1.0,1.0,1.0,1.0,1.655055,1.81186,2.890625,2.890625,2.890625
