pair_id,pair_label,variant,family,tolerance_mode,percentile,tolerance_scale,token_samples,channel_samples,projection_dim,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,calib_honest_hetero_fpr,calib_tamper_tpr,calib_tamper_locacc,calib_prompt_count,selection_rule
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,global_shared,99.99,1.5,1,16,0,16,64,0.125,1.0,1.0,40,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.99,2.0,1,64,0,64,256,0.475,1.0,1.0,40,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.0,1.5,16,0,4,64,256,0.0,1.0,1.0,40,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.0,1.5,16,0,8,128,512,0.0,1.0,1.0,40,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,checkpoint_specific,99.0,1.5,16,0,16,256,1024,0.0,1.0,1.0,40,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,global_shared,99.99,2.0,1,16,0,16,64,0.1,1.0,1.0,40,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar64,scalar,global_shared,99.99,2.0,1,64,0,64,256,0.45,1.0,1.0,40,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos4,projcos,checkpoint_specific,99.0,1.5,16,0,4,64,256,0.0,1.0,1.0,40,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos8,projcos,checkpoint_specific,99.0,1.5,16,0,8,128,512,0.0,1.0,1.0,40,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos16,projcos,checkpoint_specific,99.0,1.5,16,0,16,256,1024,0.0,1.0,1.0,40,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,global_shared,99.99,2.0,1,16,0,16,64,0.175,1.0,1.0,40,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar64,scalar,global_shared,99.99,2.0,1,64,0,64,256,0.5,1.0,1.0,40,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos4,projcos,checkpoint_specific,99.0,1.5,16,0,4,64,256,0.0,1.0,1.0,40,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos8,projcos,checkpoint_specific,99.0,1.5,16,0,8,128,512,0.0,1.0,1.0,40,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos16,projcos,checkpoint_specific,99.0,1.5,16,0,16,256,1024,0.0,1.0,1.0,40,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,scalar16,scalar,global_shared,99.99,2.0,1,16,0,16,64,0.025,1.0,1.0,40,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,scalar64,scalar,global_shared,99.99,2.0,1,64,0,64,256,0.175,1.0,1.0,40,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,projcos4,projcos,checkpoint_specific,99.0,1.5,16,0,4,64,256,0.0,1.0,1.0,40,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
