Path,Bytes,SHA256
.gitattributes,339,d68c84324d706bcbeb78136653d017b9cfdd657dc8e3944f8ab6404dfc5c4c33
.gitignore,400,060cf520073528173a2cfc6b01a1b60ea4a7efd393b03975699724430cc2b1d3
GITHUB_UPLOAD_CHECKLIST.md,3112,3403069d9148f5dcd0dbe24e51898127cc08aefc38ad2db0be0113bfd053e314
README.md,5725,bd66bb1c160a7077b84d882a90eee538c100a27582c6f007a6f53e07fa245f07
docs/EUROSYS27_REVIEW_ANALYSIS_AND_REVISION_PLAN.md,23429,09e3e58edda1f1ba603632fdc3f5b48025ab08dd0eb1e869ea54b66ede199055
docs/HARDWARE_INVENTORY_MEMO.pdf,1094844,d3fd64bd8fd9436bfdde6b4a7713fef8c490ca9a22c7378ac03800ed48857126
docs/OPTIMISTIC_COMMIT_CHALLENGE_DESIGN(1).pdf,2395164,d14866055a2dea402b80693062c08e7fc026e54a1141234ff50be4aa753574ce
docs/README.md,1594,5609c8db11dd0a0b25930cb531c39d21da44bb68df99598c55e07c9f7fed1293
docs/ROUTE_B_REDESIGN_PACT_2026-08-24.md,22764,18b9a7b32c34a240011bf9cece63830dc6b512fe4b3da9bae38f5169b34d51c0
docs/ROUTE_B_STRONG_CHECK_DESIGN_2026-08-24.md,19261,335cd9d8db759184fdded2c5f3aecafc5d7778a319c8e922be49b8374c7d6b2c
docs/ROUTE_B_STUDENT_RESEARCH_HANDBOOK_2026-09-03.md,53946,6e679a329e40e9c48914c80d1e0af100b3f2d24148b07b35d8646b1f0ead0849
docs/T_DIMENSIONS_NOTE.md,3401,860cc8d53253e3ad459f36cd5c2a2325efc7e7aadf6df34629adad881796d4a3
docs/VERIEDGE_ROUTE_B_RESEARCH_HANDBOOK_2026-08-24.md,38108,99de2a528b2ef9c319af3b40d6c8783aabb6e03c4bb2f131dc88e8ca82a319d7
experiments/README.md,1235,a8a6ff5de36293a74825d5f043fe504ef97c939817507ec3ce3f1756c2655584
experiments/pact_offline/ADAPTIVE_GAUSSIAN_RESULTS_2026-08-24.md,2823,6bbc4964aa9a80ecb47a921339a124576f2346ae3f7405e746e2bcdceedf08e5
experiments/pact_offline/CALIBRATION_AUDIT_2026-08-24.md,3367,62f6b3c2e4ced374fe46f18664210bfb43ba8699933ef42081a758b40e4abecc
experiments/pact_offline/CONDITIONAL_POWER_2026-08-24.md,2698,9be165202e5de7353ed9934dbed24e5ec64af34560ac8c684db022da2469d29b
experiments/pact_offline/GAUSSIAN_P0_RESULTS_2026-08-24.md,4429,5814278477d7389dc7ea8428eb57b5ee12f1d58c25c3c8ff6d838ed9052b2340
experiments/pact_offline/KNOWN_SEED_NEGATIVE_CONTROL_2026-08-24.md,2644,6feda08b7ea38e4865530acf59ecad2720c997ab33ccb96bfe6f073c6b21d905
experiments/pact_offline/P0_RESULTS_2026-08-24.md,5450,1391a5babe917623bab30f6c4e79d920648519e456e6cfc7257bc8c2d72f509a
experiments/pact_offline/PACT_G16_PROTOCOL_RESULTS_2026-08-24.md,4550,7df93d3d25638d38c009939004af4f083d538a3167d97cc1fc406694e321dc20
