prompt_id,checkpoint,rho,honest_energy,full_energy,threshold,pass_rate,fail_rate,inconclusive_rate,mean_stopping_K,median_stopping_K,p90_stopping_K
eval_001,prefill__C1,0.0,3.788488441181147e-05,3.788488441181147e-05,3.799015097715494e-05,0.00504,0.00382,0.99114,254.44384,256.0,256.0
eval_001,prefill__C1,0.01,3.788488441181147e-05,0.00013788488441181148,3.799015097715494e-05,0.0,1.0,0.0,15.3144,8.0,32.0
eval_001,prefill__C1,0.02,3.788488441181147e-05,0.0004378848844118115,3.799015097715494e-05,0.0,1.0,0.0,8.2464,8.0,8.0
eval_001,prefill__C1,0.05,3.788488441181147e-05,0.002537884884411812,3.799015097715494e-05,0.0,1.0,0.0,8.00048,8.0,8.0
eval_001,prefill__C2,0.0,3.83204294507862e-05,3.83204294507862e-05,3.826957817670183e-05,0.00488,0.00366,0.99146,254.49536,256.0,256.0
eval_001,prefill__C2,0.01,3.83204294507862e-05,0.0001383204294507862,3.826957817670183e-05,0.0,1.0,0.0,15.32432,8.0,32.0
eval_001,prefill__C2,0.02,3.83204294507862e-05,0.0004383204294507862,3.826957817670183e-05,0.0,1.0,0.0,8.25024,8.0,8.0
eval_001,prefill__C2,0.05,3.83204294507862e-05,0.0025383204294507867,3.826957817670183e-05,0.0,1.0,0.0,8.00016,8.0,8.0
eval_001,prefill__C3,0.0,0.00032980081512042585,0.00032980081512042585,0.0003357878999127994,0.00596,0.00302,0.99102,254.51488,256.0,256.0
eval_001,prefill__C3,0.01,0.00032980081512042585,0.00042980081512042584,0.0003357878999127994,0.0008,0.44666,0.55254,225.1136,256.0,256.0
eval_001,prefill__C3,0.02,0.00032980081512042585,0.0007298008151204259,0.0003357878999127994,0.0,1.0,0.0,41.9744,32.0,64.0
eval_001,prefill__C3,0.05,0.00032980081512042585,0.0028298008151204264,0.0003357878999127994,0.0,1.0,0.0,8.63712,8.0,8.0
