prompt_id,checkpoint,rho,K,conditional_fpr,exact_detection_power
eval_001,prefill__C1,0.01,8,0.01,0.7008298679112681
eval_001,prefill__C1,0.01,16,0.01,0.921723012886253
eval_001,prefill__C1,0.01,32,0.01,0.9961888501089656
eval_001,prefill__C1,0.01,64,0.01,0.9999953858518431
eval_001,prefill__C1,0.01,128,0.01,0.9999999999978977
eval_001,prefill__C1,0.01,256,0.01,1.0
eval_001,prefill__C1,0.01,512,0.01,1.0
eval_001,prefill__C1,0.01,1024,0.01,1.0
eval_001,prefill__C1,0.02,8,0.01,0.9880138896088684
eval_001,prefill__C1,0.02,16,0.01,0.9999013074096715
eval_001,prefill__C1,0.02,32,0.01,0.9999999963142617
eval_001,prefill__C1,0.02,64,0.01,1.0
eval_001,prefill__C1,0.02,128,0.01,1.0
eval_001,prefill__C1,0.02,256,0.01,1.0
eval_001,prefill__C1,0.02,512,0.01,1.0
eval_001,prefill__C1,0.02,1024,0.01,1.0
eval_001,prefill__C1,0.05,8,0.01,0.9999813096221803
eval_001,prefill__C1,0.05,16,0.01,0.9999999997875266
eval_001,prefill__C1,0.05,32,0.01,1.0
eval_001,prefill__C1,0.05,64,0.01,1.0
eval_001,prefill__C1,0.05,128,0.01,1.0
eval_001,prefill__C1,0.05,256,0.01,1.0
eval_001,prefill__C1,0.05,512,0.01,1.0
eval_001,prefill__C1,0.05,1024,0.01,1.0
eval_001,prefill__C2,0.01,8,0.01,0.6957374325109325
eval_001,prefill__C2,0.01,16,0.01,0.9188570905237204
eval_001,prefill__C2,0.01,32,0.01,0.9958837799189659
eval_001,prefill__C2,0.01,64,0.01,0.9999945666108138
eval_001,prefill__C2,0.01,128,0.01,0.9999999999970397
eval_001,prefill__C2,0.01,256,0.01,1.0
eval_001,prefill__C2,0.01,512,0.01,1.0
eval_001,prefill__C2,0.01,1024,0.01,1.0
eval_001,prefill__C2,0.02,8,0.01,0.9875908994354023
eval_001,prefill__C2,0.02,16,0.01,0.9998940660782915
eval_001,prefill__C2,0.02,32,0.01,0.999999995741967
eval_001,prefill__C2,0.02,64,0.01,1.0
eval_001,prefill__C2,0.02,128,0.01,1.0
eval_001,prefill__C2,0.02,256,0.01,1.0
eval_001,prefill__C2,0.02,512,0.01,1.0
eval_001,prefill__C2,0.02,1024,0.01,1.0
eval_001,prefill__C2,0.05,8,0.01,0.9999804750164656
eval_001,prefill__C2,0.05,16,0.01,0.9999999997680564
eval_001,prefill__C2,0.05,32,0.01,1.0
eval_001,prefill__C2,0.05,64,0.01,1.0
eval_001,prefill__C2,0.05,128,0.01,1.0
eval_001,prefill__C2,0.05,256,0.01,1.0
eval_001,prefill__C2,0.05,512,0.01,1.0
eval_001,prefill__C2,0.05,1024,0.01,1.0
eval_001,prefill__C3,0.01,8,0.01,0.05154511701542136
eval_001,prefill__C3,0.01,16,0.01,0.07807118428725685
eval_001,prefill__C3,0.01,32,0.01,0.13133596696889685
eval_001,prefill__C3,0.01,64,0.01,0.24214891826508014
eval_001,prefill__C3,0.01,128,0.01,0.4582338379499053
eval_001,prefill__C3,0.01,256,0.01,0.7690414970940418
eval_001,prefill__C3,0.01,512,0.01,0.9728452667139763
eval_001,prefill__C3,0.01,1024,0.01,0.9998441351015959
eval_001,prefill__C3,0.02,8,0.01,0.3356853111852797
eval_001,prefill__C3,0.02,16,0.01,0.56441623460227
eval_001,prefill__C3,0.02,32,0.01,0.8381788370022942
eval_001,prefill__C3,0.02,64,0.01,0.9842626316294641
eval_001,prefill__C3,0.02,128,0.01,0.9999264444391988
eval_001,prefill__C3,0.02,256,0.01,0.9999999995363521
eval_001,prefill__C3,0.02,512,0.01,1.0
eval_001,prefill__C3,0.02,1024,0.01,1.0
eval_001,prefill__C3,0.05,8,0.01,0.9687156686412718
eval_001,prefill__C3,0.05,16,0.01,0.999295786351224
eval_001,prefill__C3,0.05,32,0.01,0.9999997949522742
eval_001,prefill__C3,0.05,64,0.01,0.9999999999999934
eval_001,prefill__C3,0.05,128,0.01,1.0
eval_001,prefill__C3,0.05,256,0.01,1.0
eval_001,prefill__C3,0.05,512,0.01,1.0
eval_001,prefill__C3,0.05,1024,0.01,1.0
eval_002,prefill__C1,0.01,8,0.01,0.9583420060340702
eval_002,prefill__C1,0.01,16,0.01,0.9987300890088747
eval_002,prefill__C1,0.01,32,0.01,0.9999993109248804
eval_002,prefill__C1,0.01,64,0.01,0.9999999999999217
eval_002,prefill__C1,0.01,128,0.01,1.0
eval_002,prefill__C1,0.01,256,0.01,1.0
eval_002,prefill__C1,0.01,512,0.01,1.0
eval_002,prefill__C1,0.01,1024,0.01,1.0
eval_002,prefill__C1,0.02,8,0.01,0.9994984670463138
eval_002,prefill__C1,0.02,16,0.01,0.9999998413433656
eval_002,prefill__C1,0.02,32,0.01,0.9999999999999919
eval_002,prefill__C1,0.02,64,0.01,1.0
eval_002,prefill__C1,0.02,128,0.01,1.0
eval_002,prefill__C1,0.02,256,0.01,1.0
eval_002,prefill__C1,0.02,512,0.01,1.0
eval_002,prefill__C1,0.02,1024,0.01,1.0
eval_002,prefill__C1,0.05,8,0.01,0.9999995305208539
eval_002,prefill__C1,0.05,16,0.01,0.9999999999998681
eval_002,prefill__C1,0.05,32,0.01,1.0
eval_002,prefill__C1,0.05,64,0.01,1.0
eval_002,prefill__C1,0.05,128,0.01,1.0
eval_002,prefill__C1,0.05,256,0.01,1.0
eval_002,prefill__C1,0.05,512,0.01,1.0
eval_002,prefill__C1,0.05,1024,0.01,1.0
eval_002,prefill__C2,0.01,8,0.01,0.9526555994717837
eval_002,prefill__C2,0.01,16,0.01,0.9983464304613834
eval_002,prefill__C2,0.01,32,0.01,0.9999988129880982
eval_002,prefill__C2,0.01,64,0.01,0.9999999999997615
eval_002,prefill__C2,0.01,128,0.01,1.0
eval_002,prefill__C2,0.01,256,0.01,1.0
eval_002,prefill__C2,0.01,512,0.01,1.0
eval_002,prefill__C2,0.01,1024,0.01,1.0
eval_002,prefill__C2,0.02,8,0.01,0.9994022459553108
eval_002,prefill__C2,0.02,16,0.01,0.9999997739512219
eval_002,prefill__C2,0.02,32,0.01,0.9999999999999833
eval_002,prefill__C2,0.02,64,0.01,1.0
eval_002,prefill__C2,0.02,128,0.01,1.0
eval_002,prefill__C2,0.02,256,0.01,1.0
eval_002,prefill__C2,0.02,512,0.01,1.0
eval_002,prefill__C2,0.02,1024,0.01,1.0
eval_002,prefill__C2,0.05,8,0.01,0.9999994307454381
eval_002,prefill__C2,0.05,16,0.01,0.999999999999806
eval_002,prefill__C2,0.05,32,0.01,1.0
eval_002,prefill__C2,0.05,64,0.01,1.0
eval_002,prefill__C2,0.05,128,0.01,1.0
eval_002,prefill__C2,0.05,256,0.01,1.0
eval_002,prefill__C2,0.05,512,0.01,1.0
eval_002,prefill__C2,0.05,1024,0.01,1.0
eval_002,prefill__C3,0.01,8,0.01,0.04030104064955032
eval_002,prefill__C3,0.01,16,0.01,0.0580712594468978
eval_002,prefill__C3,0.01,32,0.01,0.09282764008002946
eval_002,prefill__C3,0.01,64,0.01,0.1650202433017028
eval_002,prefill__C3,0.01,128,0.01,0.3155778093140642
eval_002,prefill__C3,0.01,256,0.01,0.5863855256054807
eval_002,prefill__C3,0.01,512,0.01,0.8860547455012912
eval_002,prefill__C3,0.01,1024,0.01,0.9953712350244042
eval_002,prefill__C3,0.02,8,0.01,0.25360374167602584
eval_002,prefill__C3,0.02,16,0.01,0.4396661742948356
eval_002,prefill__C3,0.02,32,0.01,0.7147961740144297
eval_002,prefill__C3,0.02,64,0.01,0.9432351511979719
eval_002,prefill__C3,0.02,128,0.01,0.9987233403696447
eval_002,prefill__C3,0.02,256,0.01,0.999999773210565
eval_002,prefill__C3,0.02,512,0.01,0.9999999999999988
eval_002,prefill__C3,0.02,1024,0.01,1.0
eval_002,prefill__C3,0.05,8,0.01,0.9446368325042378
eval_002,prefill__C3,0.05,16,0.01,0.9977152856206963
eval_002,prefill__C3,0.05,32,0.01,0.9999976870091145
eval_002,prefill__C3,0.05,64,0.01,0.9999999999990627
eval_002,prefill__C3,0.05,128,0.01,1.0
eval_002,prefill__C3,0.05,256,0.01,1.0
eval_002,prefill__C3,0.05,512,0.01,1.0
eval_002,prefill__C3,0.05,1024,0.01,1.0
eval_003,prefill__C1,0.01,8,0.01,0.6984202693460018
eval_003,prefill__C1,0.01,16,0.01,0.9203739069759752
eval_003,prefill__C1,0.01,32,0.01,0.9960468250355972
eval_003,prefill__C1,0.01,64,0.01,0.9999950133231755
eval_003,prefill__C1,0.01,128,0.01,0.9999999999975265
eval_003,prefill__C1,0.01,256,0.01,1.0
eval_003,prefill__C1,0.01,512,0.01,1.0
eval_003,prefill__C1,0.01,1024,0.01,1.0
eval_003,prefill__C1,0.02,8,0.01,0.9878150401522691
eval_003,prefill__C1,0.02,16,0.01,0.9998979360032477
eval_003,prefill__C1,0.02,32,0.01,0.9999999960530617
eval_003,prefill__C1,0.02,64,0.01,1.0
eval_003,prefill__C1,0.02,128,0.01,1.0
eval_003,prefill__C1,0.02,256,0.01,1.0
eval_003,prefill__C1,0.02,512,0.01,1.0
eval_003,prefill__C1,0.02,1024,0.01,1.0
eval_003,prefill__C1,0.05,8,0.01,0.9999809184694843
eval_003,prefill__C1,0.05,16,0.01,0.9999999997785083
eval_003,prefill__C1,0.05,32,0.01,1.0
eval_003,prefill__C1,0.05,64,0.01,1.0
eval_003,prefill__C1,0.05,128,0.01,1.0
eval_003,prefill__C1,0.05,256,0.01,1.0
eval_003,prefill__C1,0.05,512,0.01,1.0
eval_003,prefill__C1,0.05,1024,0.01,1.0
eval_003,prefill__C2,0.01,8,0.01,0.6824636810028633
eval_003,prefill__C2,0.01,16,0.01,0.9111231094555445
eval_003,prefill__C2,0.01,32,0.01,0.994996585864907
eval_003,prefill__C2,0.01,64,0.01,0.9999917739621588
eval_003,prefill__C2,0.01,128,0.01,0.9999999999929389
eval_003,prefill__C2,0.01,256,0.01,1.0
eval_003,prefill__C2,0.01,512,0.01,1.0
eval_003,prefill__C2,0.01,1024,0.01,1.0
eval_003,prefill__C2,0.02,8,0.01,0.9864382566837266
eval_003,prefill__C2,0.02,16,0.01,0.9998729950004805
eval_003,prefill__C2,0.02,32,0.01,0.9999999938358323
eval_003,prefill__C2,0.02,64,0.01,1.0
eval_003,prefill__C2,0.02,128,0.01,1.0
eval_003,prefill__C2,0.02,256,0.01,1.0
eval_003,prefill__C2,0.02,512,0.01,1.0
eval_003,prefill__C2,0.02,1024,0.01,1.0
eval_003,prefill__C2,0.05,8,0.01,0.9999781524070492
eval_003,prefill__C2,0.05,16,0.01,0.9999999997093593
eval_003,prefill__C2,0.05,32,0.01,1.0
eval_003,prefill__C2,0.05,64,0.01,1.0
eval_003,prefill__C2,0.05,128,0.01,1.0
eval_003,prefill__C2,0.05,256,0.01,1.0
eval_003,prefill__C2,0.05,512,0.01,1.0
eval_003,prefill__C2,0.05,1024,0.01,1.0
eval_003,prefill__C3,0.01,8,0.01,0.03604860132509118
eval_003,prefill__C3,0.01,16,0.01,0.05069541347813268
eval_003,prefill__C3,0.01,32,0.01,0.0788917548711055
eval_003,prefill__C3,0.01,64,0.01,0.13693930930494036
eval_003,prefill__C3,0.01,128,0.01,0.25971711046730434
eval_003,prefill__C3,0.01,256,0.01,0.49679487246702925
eval_003,prefill__C3,0.01,512,0.01,0.8136961328127372
eval_003,prefill__C3,0.01,1024,0.01,0.9847619998619163
eval_003,prefill__C3,0.02,8,0.01,0.219205995075222
eval_003,prefill__C3,0.02,16,0.01,0.38268378867237446
eval_003,prefill__C3,0.02,32,0.01,0.644940003831964
eval_003,prefill__C3,0.02,64,0.01,0.906154535811822
eval_003,prefill__C3,0.02,128,0.01,0.9960216870097558
eval_003,prefill__C3,0.02,256,0.01,0.9999972328032727
eval_003,prefill__C3,0.02,512,0.01,0.9999999999997311
eval_003,prefill__C3,0.02,1024,0.01,1.0
eval_003,prefill__C3,0.05,8,0.01,0.9280148696018582
eval_003,prefill__C3,0.05,16,0.01,0.9960644115999358
eval_003,prefill__C3,0.05,32,0.01,0.9999928754142378
eval_003,prefill__C3,0.05,64,0.01,0.9999999999905285
eval_003,prefill__C3,0.05,128,0.01,1.0
eval_003,prefill__C3,0.05,256,0.01,1.0
eval_003,prefill__C3,0.05,512,0.01,1.0
eval_003,prefill__C3,0.05,1024,0.01,1.0
eval_004,prefill__C1,0.01,8,0.01,0.9623282108972657
eval_004,prefill__C1,0.01,16,0.01,0.9989678192407278
eval_004,prefill__C1,0.01,32,0.01,0.9999995501740335
eval_004,prefill__C1,0.01,64,0.01,0.9999999999999672
eval_004,prefill__C1,0.01,128,0.01,1.0
eval_004,prefill__C1,0.01,256,0.01,1.0
eval_004,prefill__C1,0.01,512,0.01,1.0
eval_004,prefill__C1,0.01,1024,0.01,1.0
eval_004,prefill__C1,0.02,8,0.01,0.9995623473212321
eval_004,prefill__C1,0.02,16,0.01,0.9999998794539499
eval_004,prefill__C1,0.02,32,0.01,0.9999999999999953
eval_004,prefill__C1,0.02,64,0.01,1.0
eval_004,prefill__C1,0.02,128,0.01,1.0
eval_004,prefill__C1,0.02,256,0.01,1.0
eval_004,prefill__C1,0.02,512,0.01,1.0
eval_004,prefill__C1,0.02,1024,0.01,1.0
eval_004,prefill__C1,0.05,8,0.01,0.9999995955137582
eval_004,prefill__C1,0.05,16,0.01,0.9999999999999022
eval_004,prefill__C1,0.05,32,0.01,1.0
eval_004,prefill__C1,0.05,64,0.01,1.0
eval_004,prefill__C1,0.05,128,0.01,1.0
eval_004,prefill__C1,0.05,256,0.01,1.0
eval_004,prefill__C1,0.05,512,0.01,1.0
eval_004,prefill__C1,0.05,1024,0.01,1.0
eval_004,prefill__C2,0.01,8,0.01,0.9596677856407522
eval_004,prefill__C2,0.01,16,0.01,0.9988119965710053
eval_004,prefill__C2,0.01,32,0.01,0.9999993992883155
eval_004,prefill__C2,0.01,64,0.01,0.9999999999999409
eval_004,prefill__C2,0.01,128,0.01,1.0
eval_004,prefill__C2,0.01,256,0.01,1.0
eval_004,prefill__C2,0.01,512,0.01,1.0
eval_004,prefill__C2,0.01,1024,0.01,1.0
eval_004,prefill__C2,0.02,8,0.01,0.999520041689297
eval_004,prefill__C2,0.02,16,0.01,0.9999998548052862
eval_004,prefill__C2,0.02,32,0.01,0.9999999999999932
eval_004,prefill__C2,0.02,64,0.01,1.0
eval_004,prefill__C2,0.02,128,0.01,1.0
eval_004,prefill__C2,0.02,256,0.01,1.0
eval_004,prefill__C2,0.02,512,0.01,1.0
eval_004,prefill__C2,0.02,1024,0.01,1.0
eval_004,prefill__C2,0.05,8,0.01,0.9999995525877426
eval_004,prefill__C2,0.05,16,0.01,0.9999999999998802
eval_004,prefill__C2,0.05,32,0.01,1.0
eval_004,prefill__C2,0.05,64,0.01,1.0
eval_004,prefill__C2,0.05,128,0.01,1.0
eval_004,prefill__C2,0.05,256,0.01,1.0
eval_004,prefill__C2,0.05,512,0.01,1.0
eval_004,prefill__C2,0.05,1024,0.01,1.0
eval_004,prefill__C3,0.01,8,0.01,0.0695783578920344
eval_004,prefill__C3,0.01,16,0.01,0.1111059342394369
eval_004,prefill__C3,0.01,32,0.01,0.19562311860847634
eval_004,prefill__C3,0.01,64,0.01,0.3651992249088387
eval_004,prefill__C3,0.01,128,0.01,0.6480413674050084
eval_004,prefill__C3,0.01,256,0.01,0.9199255497869037
eval_004,prefill__C3,0.01,512,0.01,0.9978370538927167
eval_004,prefill__C3,0.01,1024,0.01,0.9999995262079653
eval_004,prefill__C3,0.02,8,0.01,0.4427506378363244
eval_004,prefill__C3,0.02,16,0.01,0.7023198627949052
eval_004,prefill__C3,0.02,32,0.01,0.9306364957764909
eval_004,prefill__C3,0.02,64,0.01,0.9976019990941869
eval_004,prefill__C3,0.02,128,0.01,0.9999987841810722
eval_004,prefill__C3,0.02,256,0.01,0.999999999999927
eval_004,prefill__C3,0.02,512,0.01,1.0
eval_004,prefill__C3,0.02,1024,0.01,1.0
eval_004,prefill__C3,0.05,8,0.01,0.9842162604774066
eval_004,prefill__C3,0.05,16,0.01,0.9998268152319293
eval_004,prefill__C3,0.05,32,0.01,0.9999999883920849
eval_004,prefill__C3,0.05,64,0.01,1.0
eval_004,prefill__C3,0.05,128,0.01,1.0
eval_004,prefill__C3,0.05,256,0.01,1.0
eval_004,prefill__C3,0.05,512,0.01,1.0
eval_004,prefill__C3,0.05,1024,0.01,1.0
eval_005,prefill__C1,0.01,8,0.01,0.9625393450730111
eval_005,prefill__C1,0.01,16,0.01,0.9989796988737742
eval_005,prefill__C1,0.01,32,0.01,0.9999995607562306
eval_005,prefill__C1,0.01,64,0.01,0.9999999999999688
eval_005,prefill__C1,0.01,128,0.01,1.0
eval_005,prefill__C1,0.01,256,0.01,1.0
eval_005,prefill__C1,0.01,512,0.01,1.0
eval_005,prefill__C1,0.01,1024,0.01,1.0
eval_005,prefill__C1,0.02,8,0.01,0.9995656480211899
eval_005,prefill__C1,0.02,16,0.01,0.9999998812797488
eval_005,prefill__C1,0.02,32,0.01,0.9999999999999954
eval_005,prefill__C1,0.02,64,0.01,1.0
eval_005,prefill__C1,0.02,128,0.01,1.0
eval_005,prefill__C1,0.02,256,0.01,1.0
eval_005,prefill__C1,0.02,512,0.01,1.0
eval_005,prefill__C1,0.02,1024,0.01,1.0
