K,rho,support,pairs,mean_honest_fpr,mean_adaptive_detection_rate,min_adaptive_detection_rate,mean_selection_detection_rate,median_estimator_relative_error,max_abs_residual_cosine
1,0.01,1,6,0.027791341145833332,0.12630208333333334,0.0,0.09700520833333333,0.8221693108359553,3.000060044026237e-05
1,0.01,16,6,0.027791341145833332,0.12113444010416667,0.0,0.10221354166666667,0.827484484385856,5.069471149291938e-19
1,0.01,256,6,0.027791341145833332,0.12479654947916667,0.0,0.10807291666666667,0.8289828417056688,1.2673677873229843e-18
1,0.02,1,6,0.027791341145833332,0.35595703125,0.044921875,0.3235677083333333,0.826241412625637,5.530356872167224e-05
1,0.02,16,6,0.027791341145833332,0.3568115234375,0.043212890625,0.3255208333333333,0.8279397078375791,1.1660426877820253e-18
1,0.02,256,6,0.027791341145833332,0.3539632161458333,0.040283203125,0.3157552083333333,0.822912748555394,3.548629804504356e-18
1,0.05,1,6,0.027791341145833332,0.6702880859375,0.412841796875,0.6380208333333334,0.8212161643217093,3.471995779169725e-05
1,0.05,16,6,0.027791341145833332,0.6680094401041666,0.416015625,0.6256510416666666,0.8247507313980658,4.664170751128101e-19
1,0.05,256,6,0.027791341145833332,0.6656901041666666,0.414794921875,0.6119791666666666,0.8242190368775717,3.24446153554684e-18
2,0.01,1,6,0.033284505208333336,0.18778483072916666,0.0,0.158203125,0.635654021395695,1.5732346814724987e-05
2,0.01,16,6,0.033284505208333336,0.18790690104166666,0.0,0.16666666666666666,0.6301840519532138,2.027788459716775e-18
2,0.01,256,6,0.033284505208333336,0.18949381510416666,0.0,0.16666666666666666,0.6420852144642512,3.759675962493675e-18
2,0.02,1,6,0.033284505208333336,0.5032958984375,0.056640625,0.4733072916666667,0.6398652737658777,5.530356872167224e-05
2,0.02,16,6,0.033284505208333336,0.5040690104166666,0.0537109375,0.46875,0.6405043876053393,1.1660426877820253e-18
2,0.02,256,6,0.033284505208333336,0.4970296223958333,0.051513671875,0.46484375,0.6451617166641661,2.5655849058433474e-18
2,0.05,1,6,0.033284505208333336,0.8419596354166666,0.623291015625,0.818359375,0.6350783975158358,3.471995779169725e-05
2,0.05,16,6,0.033284505208333336,0.8418375651041666,0.623046875,0.8196614583333334,0.6314841801286971,1.8250096137450973e-18
2,0.05,256,6,0.033284505208333336,0.8411458333333334,0.626220703125,0.8151041666666666,0.6335530835983673,3.24446153554684e-18
4,0.01,1,6,0.03955078125,0.260986328125,0.0,0.2265625,0.48498470681010597,3.000060044026237e-05
4,0.01,16,6,0.03955078125,0.2568766276041667,0.0,0.23307291666666666,0.49041714579993206,3.1017326690572813e-18
4,0.01,256,6,0.03955078125,0.2605387369791667,0.0,0.23567708333333334,0.47870779332626867,4.511611154992409e-18
4,0.02,1,6,0.03955078125,0.6292317708333334,0.067138671875,0.5983072916666666,0.4708021848650667,5.530356872167224e-05
4,0.02,16,6,0.03955078125,0.6270751953125,0.066650390625,0.599609375,0.4635347489059225,9.241703646053723e-19
4,0.02,256,6,0.03955078125,0.6224772135416666,0.062744140625,0.5989583333333334,0.4731191970618885,4.0811494072370884e-18
4,0.05,1,6,0.03955078125,0.9436848958333334,0.83544921875,0.9296875,0.465306236230991,3.220006770856466e-05
4,0.05,16,6,0.03955078125,0.945556640625,0.84130859375,0.9290364583333334,0.4633611571913282,5.175354041790085e-19
4,0.05,256,6,0.03955078125,0.944091796875,0.837158203125,0.9283854166666666,0.4621265381283265,2.8834115375687616e-18
8,0.01,1,6,0.049723307291666664,0.3931884765625,0.0,0.357421875,0.3794443921475952,3.000060044026237e-05
8,0.01,16,6,0.049723307291666664,0.3963623046875,0.0,0.359375,0.3785064587365983,3.1017326690572813e-18
8,0.01,256,6,0.049723307291666664,0.3931070963541667,0.0,0.3678385416666667,0.37872095114411874,3.4207798744577963e-18
