checkpoint,K,threshold,calibration_prompt_seed_draws,calibration_prompts,target_alpha_smoke_only,projection_family
prefill__C1,1,0.00017167822887801016,3072,6,0.01,gaussian
prefill__C1,2,0.00012383268068654038,3072,6,0.01,gaussian
prefill__C1,4,0.00010443821613098747,3072,6,0.01,gaussian
prefill__C1,8,8.006359949606104e-05,3072,6,0.01,gaussian
prefill__C1,16,6.478844191442703e-05,3072,6,0.01,gaussian
prefill__C1,32,5.805866247066184e-05,3072,6,0.01,gaussian
prefill__C1,64,5.139296982932489e-05,3072,6,0.01,gaussian
prefill__C2,1,0.0001753220491668257,3072,6,0.01,gaussian
prefill__C2,2,0.00013071785302639646,3072,6,0.01,gaussian
prefill__C2,4,0.00010244586165999292,3072,6,0.01,gaussian
prefill__C2,8,8.335575821827272e-05,3072,6,0.01,gaussian
prefill__C2,16,6.978369951930783e-05,3072,6,0.01,gaussian
prefill__C2,32,6.022426012562373e-05,3072,6,0.01,gaussian
prefill__C2,64,5.3191396055449185e-05,3072,6,0.01,gaussian
prefill__C3,1,0.0016489927015931783,3072,6,0.01,gaussian
prefill__C3,2,0.0011722168295239526,3072,6,0.01,gaussian
prefill__C3,4,0.0008697522971672951,3072,6,0.01,gaussian
prefill__C3,8,0.000681980368262736,3072,6,0.01,gaussian
prefill__C3,16,0.0005579925467446257,3072,6,0.01,gaussian
prefill__C3,32,0.0004750741698681593,3072,6,0.01,gaussian
prefill__C3,64,0.0004355764100330914,3072,6,0.01,gaussian
