prompt_id,checkpoint,N,K,rho,support,selected_candidate,candidate_portfolio,threshold,honest_fpr,adaptive_detection_rate,selection_detection_rate,honest_full_energy,attacked_full_energy,relative_l2,residual_dot,residual_cosine,median_estimator_relative_error,p90_estimator_relative_error,selection_draws,test_draws,projection_family
eval_001,prefill__C1,16384,4,0.02,1,0,3,0.00010172859944867314,0.0,0.875,0.75,3.788488441181147e-05,0.0004378848844118115,0.02,0.0,0.0,0.5764287466174145,0.9018477998036737,4,8,gaussian
eval_001,prefill__C1,16384,16,0.02,1,0,3,6.934696739083504e-05,0.0,1.0,1.0,3.788488441181147e-05,0.0004378848844118115,0.02,0.0,0.0,0.3748297916582637,0.5413375165562643,4,8,gaussian
eval_001,prefill__C1,16384,4,0.02,16,2,3,0.00010172859944867314,0.0,1.0,1.0,3.788488441181147e-05,0.00043788488441181156,0.02,-5.421010862427522e-20,-2.687802535427661e-20,0.32379553241040426,0.7008623629362974,4,8,gaussian
eval_001,prefill__C1,16384,16,0.02,16,2,3,6.934696739083504e-05,0.0,1.0,1.0,3.788488441181147e-05,0.00043788488441181156,0.02,-5.421010862427522e-20,-2.687802535427661e-20,0.34400043414378667,0.4895675669503891,4,8,gaussian
eval_001,prefill__C1,16384,4,0.02,256,2,3,0.00010172859944867314,0.0,0.875,0.75,3.788488441181147e-05,0.00043788488441181146,0.02,1.6263032587282567e-18,8.063407606282983e-19,0.552007486834431,0.8715417412934785,4,8,gaussian
eval_001,prefill__C1,16384,16,0.02,256,0,3,6.934696739083504e-05,0.0,1.0,1.0,3.788488441181147e-05,0.0004378848844118115,0.02,8.673617379884035e-19,4.3004840566842576e-19,0.21837038774147435,0.7034200732552987,4,8,gaussian
eval_001,prefill__C2,16384,4,0.02,1,0,3,6.263170651003422e-05,0.0,1.0,0.75,3.83204294507862e-05,0.0004383204294507862,0.02,0.0,0.0,0.35257003662518116,1.2471615777717362,4,8,gaussian
eval_001,prefill__C2,16384,16,0.02,1,0,3,3.4967422595022506e-05,0.375,1.0,1.0,3.83204294507862e-05,0.0004383204294507862,0.02,0.0,0.0,0.17491552058855245,0.5299449650956749,4,8,gaussian
eval_001,prefill__C2,16384,4,0.02,16,2,3,6.263170651003422e-05,0.0,1.0,1.0,3.83204294507862e-05,0.00043832042945078615,0.02,4.336808689942018e-19,2.1379874215361227e-19,0.24473297570674019,2.3920515344665207,4,8,gaussian
eval_001,prefill__C2,16384,16,0.02,16,0,3,3.4967422595022506e-05,0.375,1.0,1.0,3.83204294507862e-05,0.00043832042945078626,0.02,8.673617379884035e-19,4.2759748430722454e-19,0.25859253699005513,0.36119999813248194,4,8,gaussian
eval_001,prefill__C2,16384,4,0.02,256,0,3,6.263170651003422e-05,0.0,1.0,0.75,3.83204294507862e-05,0.0004383204294507862,0.02,0.0,0.0,0.32801558472766185,0.5672563596920573,4,8,gaussian
eval_001,prefill__C2,16384,16,0.02,256,1,3,3.4967422595022506e-05,0.375,1.0,1.0,3.83204294507862e-05,0.00043832042945078604,0.019999999999999997,1.3010426069826053e-18,6.413962264608368e-19,0.4100153016939664,0.512465011498669,4,8,gaussian
eval_001,prefill__C3,16384,4,0.02,1,1,3,0.0009438478409948617,0.0,0.375,0.0,0.00032980081512042585,0.0007298162052676616,0.02,0.0001260760861550999,2.118638797496973e-05,0.44479549235151794,0.960667872196659,4,8,gaussian
eval_001,prefill__C3,16384,16,0.02,1,1,3,0.0005339803426451629,0.0,0.125,0.0,0.00032980081512042585,0.0007298162052676616,0.02,0.0001260760861550999,2.118638797496973e-05,0.40889604126031037,0.6965182330454366,4,8,gaussian
eval_001,prefill__C3,16384,4,0.02,16,2,3,0.0009438478409948617,0.0,0.0,0.0,0.00032980081512042585,0.0007298008151204259,0.02,6.938893903907228e-18,1.1660426877820253e-18,0.5135997276548365,0.6974432491062396,4,8,gaussian
eval_001,prefill__C3,16384,16,0.02,16,0,3,0.0005339803426451629,0.0,0.375,0.0,0.00032980081512042585,0.0007298008151204259,0.02,-1.734723475976807e-18,-2.9151067194550633e-19,0.3355480666656815,0.49428080666704405,4,8,gaussian
eval_001,prefill__C3,16384,4,0.02,256,2,3,0.0009438478409948617,0.0,0.0,0.0,0.00032980081512042585,0.0007298008151204259,0.02,-2.6020852139652106e-18,-4.372660079182594e-19,0.6648241600440693,0.9150507993462448,4,8,gaussian
eval_001,prefill__C3,16384,16,0.02,256,0,3,0.0005339803426451629,0.0,0.0,0.0,0.00032980081512042585,0.0007298008151204259,0.02,-1.3877787807814457e-17,-2.3320853755640507e-18,0.4473209250374015,0.7524225642468586,4,8,gaussian
