prompt_id,checkpoint,K,rho,max_l2_error,max_null_relative,max_abs_cosine
eval_001,prefill__C1,8,0.01,1.734723475976807e-18,1.7914340494298524e-15,3.217971585540767e-16
eval_001,prefill__C1,8,0.02,6.938893903907228e-18,1.6162978207209992e-15,7.442525220599194e-17
eval_001,prefill__C1,8,0.05,1.3877787807814457e-17,1.7208607707540855e-15,1.6696629350076626e-16
eval_001,prefill__C1,32,0.01,3.469446951953614e-18,3.923783122713762e-15,6.899992278823119e-16
eval_001,prefill__C1,32,0.02,3.469446951953614e-18,3.747391391762099e-15,6.342542032975423e-16
eval_001,prefill__C1,32,0.05,1.3877787807814457e-17,3.99299281248314e-15,3.7491620006173347e-16
eval_001,prefill__C1,64,0.01,1.734723475976807e-18,7.947049077024699e-15,5.606117735799937e-16
eval_001,prefill__C1,64,0.02,3.469446951953614e-18,9.00981757373799e-15,6.592642058896966e-16
eval_001,prefill__C1,64,0.05,1.3877787807814457e-17,8.463220767299849e-15,5.767809216824925e-16
eval_001,prefill__C2,8,0.01,1.734723475976807e-18,1.883144008715392e-15,1.4695991038783927e-16
eval_001,prefill__C2,8,0.02,3.469446951953614e-18,1.8642682170224182e-15,2.1208835221638334e-16
eval_001,prefill__C2,8,0.05,1.3877787807814457e-17,1.9591674256588206e-15,9.509768050992675e-17
eval_001,prefill__C2,32,0.01,1.734723475976807e-18,3.977218561239825e-15,3.275129481365648e-16
eval_001,prefill__C2,32,0.02,3.469446951953614e-18,3.88416468611139e-15,4.516431615888136e-16
eval_001,prefill__C2,32,0.05,1.3877787807814457e-17,4.023247978559247e-15,3.7094081763651723e-16
eval_001,prefill__C2,64,0.01,1.734723475976807e-18,9.408194806810876e-15,9.82284958403387e-16
eval_001,prefill__C2,64,0.02,3.469446951953614e-18,8.132107359984497e-15,8.067428286738867e-16
eval_001,prefill__C2,64,0.05,1.3877787807814457e-17,8.804492365101879e-15,4.964513692177954e-16
eval_001,prefill__C3,8,0.01,1.734723475976807e-18,1.858806050326585e-15,1.3176282371936886e-16
eval_001,prefill__C3,8,0.02,6.938893903907228e-18,1.703416270254631e-15,1.148369853295329e-16
eval_001,prefill__C3,8,0.05,1.3877787807814457e-17,1.7326405573036791e-15,1.5288277190182078e-16
eval_001,prefill__C3,32,0.01,3.469446951953614e-18,4.000347905214147e-15,2.318238618646639e-16
eval_001,prefill__C3,32,0.02,3.469446951953614e-18,4.391434557031428e-15,1.4386051660510735e-16
eval_001,prefill__C3,32,0.05,1.3877787807814457e-17,3.851120303071762e-15,2.0720578561886588e-16
eval_001,prefill__C3,64,0.01,1.734723475976807e-18,8.621718562232153e-15,3.6604630687857297e-16
eval_001,prefill__C3,64,0.02,6.938893903907228e-18,8.097640079211613e-15,2.9493592234086596e-16
eval_001,prefill__C3,64,0.05,1.3877787807814457e-17,8.617750669349598e-15,2.8894537803238584e-16
eval_005,prefill__C1,8,0.01,3.469446951953614e-18,2.0443810002628324e-15,1.0425581443994957e-15
eval_005,prefill__C1,8,0.02,3.469446951953614e-18,1.9911572882254707e-15,3.141209266663465e-16
eval_005,prefill__C1,8,0.05,1.3877787807814457e-17,1.8845197843084756e-15,2.15166255333513e-16
eval_005,prefill__C1,32,0.01,1.734723475976807e-18,4.3507832248584305e-15,9.646623580515802e-16
eval_005,prefill__C1,32,0.02,3.469446951953614e-18,3.83860652500975e-15,8.237464720057869e-16
eval_005,prefill__C1,32,0.05,1.3877787807814457e-17,4.254332328467316e-15,1.271063906282747e-15
eval_005,prefill__C1,64,0.01,1.734723475976807e-18,8.74498367076114e-15,8.972187646040812e-16
eval_005,prefill__C1,64,0.02,3.469446951953614e-18,8.120188368822296e-15,9.421512982261493e-16
eval_005,prefill__C1,64,0.05,1.3877787807814457e-17,8.720303482857183e-15,1.3617546336152088e-15
eval_005,prefill__C2,8,0.01,1.734723475976807e-18,1.376814389594339e-15,1.0299878713526874e-16
eval_005,prefill__C2,8,0.02,3.469446951953614e-18,2.204760062354262e-15,3.405105708388494e-16
eval_005,prefill__C2,8,0.05,1.3877787807814457e-17,1.5720589537462974e-15,2.4568607057851516e-16
eval_005,prefill__C2,32,0.01,1.734723475976807e-18,3.768838129260018e-15,5.330845705634938e-16
eval_005,prefill__C2,32,0.02,3.469446951953614e-18,3.974104080975226e-15,5.033031805640858e-16
eval_005,prefill__C2,32,0.05,1.3877787807814457e-17,4.062904218945614e-15,8.818433619064463e-16
eval_005,prefill__C2,64,0.01,1.734723475976807e-18,9.323279686737343e-15,1.3006975873723265e-15
eval_005,prefill__C2,64,0.02,3.469446951953614e-18,7.899922404678383e-15,1.4697427872205963e-15
eval_005,prefill__C2,64,0.05,1.3877787807814457e-17,8.661887343375663e-15,9.491229644497174e-16
