prompt_id,checkpoint,N,K,rho,attack_support,draws,threshold,honest_detection_rate,known_seed_attack_detection_rate,rate_difference
eval_001,prefill__C1,16384,8,0.01,10,64,8.006359949606104e-05,0.015625,0.015625,0.0
eval_001,prefill__C1,16384,8,0.02,10,64,8.006359949606104e-05,0.015625,0.015625,0.0
eval_001,prefill__C1,16384,8,0.05,10,64,8.006359949606104e-05,0.015625,0.015625,0.0
eval_001,prefill__C1,16384,32,0.01,34,64,5.805866247066184e-05,0.0625,0.0625,0.0
eval_001,prefill__C1,16384,32,0.02,34,64,5.805866247066184e-05,0.0625,0.0625,0.0
eval_001,prefill__C1,16384,32,0.05,34,64,5.805866247066184e-05,0.0625,0.0625,0.0
eval_001,prefill__C1,16384,64,0.01,66,64,5.139296982932489e-05,0.03125,0.03125,0.0
eval_001,prefill__C1,16384,64,0.02,66,64,5.139296982932489e-05,0.03125,0.03125,0.0
eval_001,prefill__C1,16384,64,0.05,66,64,5.139296982932489e-05,0.03125,0.03125,0.0
eval_001,prefill__C2,16384,8,0.01,10,64,8.335575821827272e-05,0.015625,0.015625,0.0
eval_001,prefill__C2,16384,8,0.02,10,64,8.335575821827272e-05,0.015625,0.015625,0.0
eval_001,prefill__C2,16384,8,0.05,10,64,8.335575821827272e-05,0.015625,0.015625,0.0
eval_001,prefill__C2,16384,32,0.01,34,64,6.022426012562373e-05,0.046875,0.046875,0.0
eval_001,prefill__C2,16384,32,0.02,34,64,6.022426012562373e-05,0.046875,0.046875,0.0
eval_001,prefill__C2,16384,32,0.05,34,64,6.022426012562373e-05,0.046875,0.046875,0.0
eval_001,prefill__C2,16384,64,0.01,66,64,5.3191396055449185e-05,0.015625,0.015625,0.0
eval_001,prefill__C2,16384,64,0.02,66,64,5.3191396055449185e-05,0.015625,0.015625,0.0
eval_001,prefill__C2,16384,64,0.05,66,64,5.3191396055449185e-05,0.015625,0.015625,0.0
eval_001,prefill__C3,16384,8,0.01,10,64,0.000681980368262736,0.0,0.0,0.0
eval_001,prefill__C3,16384,8,0.02,10,64,0.000681980368262736,0.0,0.0,0.0
eval_001,prefill__C3,16384,8,0.05,10,64,0.000681980368262736,0.0,0.0,0.0
eval_001,prefill__C3,16384,32,0.01,34,64,0.0004750741698681593,0.09375,0.09375,0.0
eval_001,prefill__C3,16384,32,0.02,34,64,0.0004750741698681593,0.09375,0.09375,0.0
eval_001,prefill__C3,16384,32,0.05,34,64,0.0004750741698681593,0.09375,0.09375,0.0
eval_001,prefill__C3,16384,64,0.01,66,64,0.0004355764100330914,0.0625,0.0625,0.0
eval_001,prefill__C3,16384,64,0.02,66,64,0.0004355764100330914,0.0625,0.0625,0.0
eval_001,prefill__C3,16384,64,0.05,66,64,0.0004355764100330914,0.0625,0.0625,0.0
eval_005,prefill__C1,15360,8,0.01,10,64,8.006359949606104e-05,0.0,0.0,0.0
eval_005,prefill__C1,15360,8,0.02,10,64,8.006359949606104e-05,0.0,0.0,0.0
eval_005,prefill__C1,15360,8,0.05,10,64,8.006359949606104e-05,0.0,0.0,0.0
eval_005,prefill__C1,15360,32,0.01,34,64,5.805866247066184e-05,0.0,0.0,0.0
eval_005,prefill__C1,15360,32,0.02,34,64,5.805866247066184e-05,0.0,0.0,0.0
eval_005,prefill__C1,15360,32,0.05,34,64,5.805866247066184e-05,0.0,0.0,0.0
eval_005,prefill__C1,15360,64,0.01,66,64,5.139296982932489e-05,0.0,0.0,0.0
eval_005,prefill__C1,15360,64,0.02,66,64,5.139296982932489e-05,0.0,0.0,0.0
eval_005,prefill__C1,15360,64,0.05,66,64,5.139296982932489e-05,0.0,0.0,0.0
eval_005,prefill__C2,15360,8,0.01,10,64,8.335575821827272e-05,0.0,0.0,0.0
eval_005,prefill__C2,15360,8,0.02,10,64,8.335575821827272e-05,0.0,0.0,0.0
eval_005,prefill__C2,15360,8,0.05,10,64,8.335575821827272e-05,0.0,0.0,0.0
eval_005,prefill__C2,15360,32,0.01,34,64,6.022426012562373e-05,0.0,0.0,0.0
eval_005,prefill__C2,15360,32,0.02,34,64,6.022426012562373e-05,0.0,0.0,0.0
eval_005,prefill__C2,15360,32,0.05,34,64,6.022426012562373e-05,0.0,0.0,0.0
eval_005,prefill__C2,15360,64,0.01,66,64,5.3191396055449185e-05,0.0,0.0,0.0
eval_005,prefill__C2,15360,64,0.02,66,64,5.3191396055449185e-05,0.0,0.0,0.0
eval_005,prefill__C2,15360,64,0.05,66,64,5.3191396055449185e-05,0.0,0.0,0.0
eval_005,prefill__C3,15360,8,0.01,10,64,0.000681980368262736,0.203125,0.203125,0.0
eval_005,prefill__C3,15360,8,0.02,10,64,0.000681980368262736,0.203125,0.203125,0.0
eval_005,prefill__C3,15360,8,0.05,10,64,0.000681980368262736,0.203125,0.203125,0.0
eval_005,prefill__C3,15360,32,0.01,34,64,0.0004750741698681593,0.515625,0.515625,0.0
eval_005,prefill__C3,15360,32,0.02,34,64,0.0004750741698681593,0.515625,0.515625,0.0
eval_005,prefill__C3,15360,32,0.05,34,64,0.0004750741698681593,0.515625,0.515625,0.0
eval_005,prefill__C3,15360,64,0.01,66,64,0.0004355764100330914,0.6875,0.6875,0.0
eval_005,prefill__C3,15360,64,0.02,66,64,0.0004355764100330914,0.6875,0.6875,0.0
eval_005,prefill__C3,15360,64,0.05,66,64,0.0004355764100330914,0.6875,0.6875,0.0
