K,rho,support,pairs,mean_honest_fpr,mean_adaptive_detection_rate,min_adaptive_detection_rate,mean_selection_detection_rate,median_estimator_relative_error,max_abs_residual_cosine
1,0.01,1,6,0.0230712890625,0.16597493489583334,0.046142578125,0.13736979166666666,0.8255268967630507,3.889137096811617e-05
1,0.01,16,6,0.0230712890625,0.16536458333333334,0.0478515625,0.13411458333333334,0.8279624088524098,2.5347355746459686e-18
1,0.01,256,6,0.0230712890625,0.16239420572916666,0.0517578125,0.14192708333333334,0.8211309479448267,1.5038703849974698e-18
1,0.05,1,6,0.0230712890625,0.67236328125,0.449951171875,0.6321614583333334,0.8239829153388801,5.4792923452660436e-05
1,0.05,16,6,0.0230712890625,0.6708170572916666,0.44189453125,0.6321614583333334,0.8256333032393377,2.4333461516601298e-18
1,0.05,256,6,0.0230712890625,0.6732177734375,0.456298828125,0.6236979166666666,0.8258841059554269,3.3085148469944337e-18
4,0.01,1,6,0.033487955729166664,0.3885904947916667,0.075439453125,0.3411458333333333,0.46321252058389756,3.000060044026237e-05
4,0.01,16,6,0.033487955729166664,0.3859049479166667,0.07861328125,0.333984375,0.46326193302301244,2.402842947973968e-18
4,0.01,256,6,0.033487955729166664,0.3852945963541667,0.08203125,0.3541666666666667,0.4584248791087327,1.2827924529216737e-18
4,0.05,1,6,0.033487955729166664,0.9545084635416666,0.868408203125,0.9368489583333334,0.4719623101212243,4.1935395045339625e-05
4,0.05,16,6,0.033487955729166664,0.9572347005208334,0.8662109375,0.9427083333333334,0.46685542439288075,1.8656683004512403e-18
4,0.05,256,6,0.033487955729166664,0.9567464192708334,0.86767578125,0.9401041666666666,0.4566585513042593,1.804644461996964e-18
