family,support,K,nominal_marginal_coverage,empirical_marginal_coverage
lut8,1,1,0.99,0.98461
lut8,1,2,0.99,0.99282
lut8,1,4,0.99,0.99235
lut8,1,8,0.99,0.99155
lut8,1,16,0.99,0.99176
lut8,1,32,0.99,0.99174
lut8,1,all_Bonferroni,0.99,0.9949
lut8,16,1,0.99,0.99016
lut8,16,2,0.99,0.99042
lut8,16,4,0.99,0.99013
lut8,16,8,0.99,0.99001
lut8,16,16,0.99,0.98939
lut8,16,32,0.99,0.98929
lut8,16,all_Bonferroni,0.99,0.99185
lut8,256,1,0.99,0.9898
lut8,256,2,0.99,0.98984
lut8,256,4,0.99,0.9893
lut8,256,8,0.99,0.98958
lut8,256,16,0.99,0.98989
lut8,256,32,0.99,0.99006
lut8,256,all_Bonferroni,0.99,0.99154
gaussian,1,1,0.99,0.99014
gaussian,1,2,0.99,0.99051
gaussian,1,4,0.99,0.99036
gaussian,1,8,0.99,0.99016
gaussian,1,16,0.99,0.99019
gaussian,1,32,0.99,0.99035
gaussian,1,all_Bonferroni,0.99,0.99198
gaussian,16,1,0.99,0.9904
gaussian,16,2,0.99,0.9897
gaussian,16,4,0.99,0.99026
gaussian,16,8,0.99,0.99048
gaussian,16,16,0.99,0.9901
gaussian,16,32,0.99,0.98982
gaussian,16,all_Bonferroni,0.99,0.99191
gaussian,256,1,0.99,0.99025
gaussian,256,2,0.99,0.99019
gaussian,256,4,0.99,0.98968
gaussian,256,8,0.99,0.98975
gaussian,256,16,0.99,0.98969
gaussian,256,32,0.99,0.98996
gaussian,256,all_Bonferroni,0.99,0.99123
