family,K,support,energy_ratio,threshold_calibrated_on_support_256,rate,calibration_draws,test_draws
lut8,1,1,1.0,6.600795467117187,0.00769,100000,100000
lut8,1,1,1.4,6.600795467117187,0.03136,100000,100000
lut8,1,1,2.0,6.600795467117187,0.07031,100000,100000
lut8,1,1,8.0,6.600795467117187,0.36549,100000,100000
lut8,2,1,1.0,4.6012645308738085,0.00707,100000,100000
lut8,2,1,1.4,4.6012645308738085,0.03679,100000,100000
lut8,2,1,2.0,4.6012645308738085,0.10056,100000,100000
lut8,2,1,8.0,4.6012645308738085,0.56351,100000,100000
lut8,4,1,1.0,3.332280442536984,0.00659,100000,100000
lut8,4,1,1.4,3.332280442536984,0.04874,100000,100000
lut8,4,1,2.0,3.332280442536984,0.15639,100000,100000
lut8,4,1,8.0,3.332280442536984,0.79812,100000,100000
lut8,8,1,1.0,2.5125914059918752,0.00726,100000,100000
lut8,8,1,1.4,2.5125914059918752,0.06985,100000,100000
lut8,8,1,2.0,2.5125914059918752,0.2664,100000,100000
lut8,8,1,8.0,2.5125914059918752,0.9617,100000,100000
lut8,16,1,1.0,1.9995937010479006,0.00795,100000,100000
lut8,16,1,1.4,1.9995937010479006,0.11505,100000,100000
lut8,16,1,2.0,1.9995937010479006,0.46097,100000,100000
lut8,16,1,8.0,1.9995937010479006,0.99892,100000,100000
lut8,32,1,1.0,1.672125011470811,0.0079,100000,100000
lut8,32,1,1.4,1.672125011470811,0.20497,100000,100000
lut8,32,1,2.0,1.672125011470811,0.7352,100000,100000
lut8,32,1,8.0,1.672125011470811,1.0,100000,100000
lut8,1,16,1.0,6.600795467117187,0.01016,100000,100000
lut8,1,16,1.4,6.600795467117187,0.02985,100000,100000
lut8,1,16,2.0,6.600795467117187,0.0695,100000,100000
lut8,1,16,8.0,6.600795467117187,0.36363,100000,100000
lut8,2,16,1.0,4.6012645308738085,0.01006,100000,100000
lut8,2,16,1.4,4.6012645308738085,0.03815,100000,100000
lut8,2,16,2.0,4.6012645308738085,0.0996,100000,100000
lut8,2,16,8.0,4.6012645308738085,0.56299,100000,100000
lut8,4,16,1.0,3.332280442536984,0.01007,100000,100000
lut8,4,16,1.4,3.332280442536984,0.04965,100000,100000
lut8,4,16,2.0,3.332280442536984,0.15378,100000,100000
lut8,4,16,8.0,3.332280442536984,0.79718,100000,100000
lut8,8,16,1.0,2.5125914059918752,0.01036,100000,100000
lut8,8,16,1.4,2.5125914059918752,0.07347,100000,100000
lut8,8,16,2.0,2.5125914059918752,0.262,100000,100000
lut8,8,16,8.0,2.5125914059918752,0.96078,100000,100000
lut8,16,16,1.0,1.9995937010479006,0.01082,100000,100000
lut8,16,16,1.4,1.9995937010479006,0.11857,100000,100000
lut8,16,16,2.0,1.9995937010479006,0.4532,100000,100000
lut8,16,16,8.0,1.9995937010479006,0.99901,100000,100000
lut8,32,16,1.0,1.672125011470811,0.01004,100000,100000
lut8,32,16,1.4,1.672125011470811,0.20933,100000,100000
lut8,32,16,2.0,1.672125011470811,0.72954,100000,100000
lut8,32,16,8.0,1.672125011470811,1.0,100000,100000
lut8,1,256,1.0,6.600795467117187,0.01024,100000,100000
lut8,1,256,1.4,6.600795467117187,0.02974,100000,100000
lut8,1,256,2.0,6.600795467117187,0.06883,100000,100000
lut8,1,256,8.0,6.600795467117187,0.36308,100000,100000
lut8,2,256,1.0,4.6012645308738085,0.0103,100000,100000
lut8,2,256,1.4,4.6012645308738085,0.03809,100000,100000
lut8,2,256,2.0,4.6012645308738085,0.10223,100000,100000
