family,K,energy_ratio,min_rate,max_rate,support_spread
lut8,1,1.0,0.00769,0.01024,0.002550000000000001
lut8,1,1.4,0.02974,0.03136,0.00162
lut8,1,2.0,0.06883,0.07031,0.0014799999999999952
lut8,1,8.0,0.36308,0.36549,0.0024099999999999677
lut8,2,1.0,0.00707,0.0103,0.0032300000000000002
lut8,2,1.4,0.03679,0.03815,0.00136
lut8,2,2.0,0.0996,0.10223,0.0026300000000000073
lut8,2,8.0,0.56247,0.56351,0.0010399999999999299
lut8,4,1.0,0.00659,0.01032,0.003729999999999999
lut8,4,1.4,0.04874,0.05057,0.0018299999999999983
lut8,4,2.0,0.15378,0.15669,0.002909999999999996
lut8,4,8.0,0.79702,0.79812,0.001100000000000101
lut8,8,1.0,0.00726,0.01066,0.0033999999999999994
lut8,8,1.4,0.06985,0.0735,0.0036500000000000005
lut8,8,2.0,0.262,0.2664,0.004400000000000015
lut8,8,8.0,0.96078,0.9617,0.0009200000000000319
lut8,16,1.0,0.00795,0.01082,0.0028699999999999993
lut8,16,1.4,0.11505,0.11857,0.0035199999999999954
lut8,16,2.0,0.4532,0.46097,0.007769999999999999
lut8,16,8.0,0.99881,0.99901,0.00019999999999997797
lut8,32,1.0,0.0079,0.01004,0.0021399999999999995
lut8,32,1.4,0.20497,0.20933,0.004359999999999975
lut8,32,2.0,0.72954,0.7352,0.005659999999999998
lut8,32,8.0,1.0,1.0,0.0
gaussian,1,1.0,0.01003,0.01045,0.0004199999999999985
gaussian,1,1.4,0.02975,0.02986,0.00011000000000000246
gaussian,1,2.0,0.06815,0.06898,0.0008299999999999974
gaussian,1,8.0,0.36258,0.36404,0.0014599999999999613
gaussian,2,1.0,0.00981,0.01058,0.0007700000000000016
gaussian,2,1.4,0.03707,0.03885,0.0017800000000000038
gaussian,2,2.0,0.09956,0.10181,0.002250000000000002
gaussian,2,8.0,0.56389,0.56461,0.0007199999999999429
gaussian,4,1.0,0.00978,0.01011,0.0003299999999999987
gaussian,4,1.4,0.04972,0.05116,0.0014399999999999968
gaussian,4,2.0,0.15586,0.15654,0.0006800000000000139
gaussian,4,8.0,0.79896,0.80158,0.0026199999999999557
gaussian,8,1.0,0.00938,0.00999,0.0006100000000000012
gaussian,8,1.4,0.07077,0.07169,0.0009200000000000041
gaussian,8,2.0,0.25874,0.25883,8.999999999997899e-05
gaussian,8,8.0,0.96089,0.9613,0.00041000000000002146
gaussian,16,1.0,0.00947,0.01072,0.0012500000000000011
gaussian,16,1.4,0.11507,0.11568,0.0006099999999999994
gaussian,16,2.0,0.44943,0.45245,0.0030200000000000227
gaussian,16,8.0,0.9988,0.99897,0.00017000000000000348
gaussian,32,1.0,0.00981,0.01056,0.0007500000000000007
gaussian,32,1.4,0.20784,0.21013,0.0022900000000000142
gaussian,32,2.0,0.73025,0.73273,0.0024800000000000377
gaussian,32,8.0,1.0,1.0,0.0
