K,rho,support,pairs,mean_honest_fpr,mean_adaptive_detection_rate,min_adaptive_detection_rate,mean_selection_detection_rate,median_estimator_relative_error,max_abs_residual_cosine
1,0.01,1,6,0.041341145833333336,0.19694010416666666,0.068359375,0.1328125,0.840066329694277,3.478268580938777e-05
1,0.01,16,6,0.041341145833333336,0.2041015625,0.083984375,0.13541666666666666,0.833429687970453,2.027788459716775e-18
1,0.01,256,6,0.041341145833333336,0.19759114583333334,0.09375,0.140625,0.8471727109412772,3.759675962493675e-18
1,0.02,1,6,0.041341145833333336,0.416015625,0.177734375,0.3411458333333333,0.8209333723726855,4.309414815338033e-05
1,0.02,16,6,0.041341145833333336,0.4114583333333333,0.177734375,0.34375,0.8317548988169393,6.376775515777069e-18
1,0.02,256,6,0.041341145833333336,0.4111328125,0.17578125,0.3359375,0.8238241100547903,3.0077407699949395e-18
1,0.05,1,6,0.041341145833333336,0.6956380208333334,0.498046875,0.6041666666666666,0.8216570815262463,2.0390825143958277e-05
1,0.05,16,6,0.041341145833333336,0.6943359375,0.478515625,0.625,0.8295350750556765,6.996256126692152e-19
1,0.05,256,6,0.041341145833333336,0.705078125,0.505859375,0.609375,0.8229715425775277,2.070141616716034e-18
2,0.01,1,6,0.0419921875,0.2858072916666667,0.044921875,0.22135416666666666,0.6308926782416425,3.889137096811617e-05
2,0.01,16,6,0.0419921875,0.2848307291666667,0.04296875,0.21875,0.6349210245059073,1.9869662839015503e-18
2,0.01,256,6,0.0419921875,0.298828125,0.0625,0.21354166666666666,0.6331549481498604,1.1660426877820253e-18
2,0.02,1,6,0.0419921875,0.5797526041666666,0.1875,0.515625,0.624751496146095,4.309414815338033e-05
2,0.02,16,6,0.0419921875,0.5833333333333334,0.201171875,0.5,0.6566584101917377,8.745320158365189e-19
2,0.02,256,6,0.0419921875,0.5712890625,0.189453125,0.5130208333333334,0.6405094835972325,4.511611154992409e-18
2,0.05,1,6,0.0419921875,0.8626302083333334,0.693359375,0.8333333333333334,0.616708274731373,5.4792923452660436e-05
2,0.05,16,6,0.0419921875,0.8525390625,0.63671875,0.8046875,0.6419123818069262,1.8250096137450973e-18
2,0.05,256,6,0.0419921875,0.8548177083333334,0.65625,0.8020833333333334,0.6425664443587482,3.0077407699949395e-18
4,0.01,1,6,0.052734375,0.4459635416666667,0.07421875,0.3776041666666667,0.46737288456278003,3.478268580938777e-05
4,0.01,16,6,0.052734375,0.447265625,0.078125,0.3645833333333333,0.46718056718691137,1.1826331155881708e-18
4,0.01,256,6,0.052734375,0.4479166666666667,0.072265625,0.3541666666666667,0.48228255291983146,1.1660426877820253e-18
4,0.02,1,6,0.052734375,0.7408854166666666,0.255859375,0.6875,0.4595990980900683,5.552213665831261e-05
4,0.02,16,6,0.052734375,0.7392578125,0.26171875,0.671875,0.46818577862385735,1.201421473986984e-18
4,0.02,256,6,0.052734375,0.7529296875,0.318359375,0.6848958333333334,0.4659267250234902,2.3320853755640507e-18
4,0.05,1,6,0.052734375,0.9622395833333334,0.890625,0.9322916666666666,0.46132419634333854,5.2221074727349526e-05
4,0.05,16,6,0.052734375,0.95703125,0.875,0.9270833333333334,0.45898200246245713,1.2166730758300649e-18
4,0.05,256,6,0.052734375,0.9586588541666666,0.87109375,0.9375,0.4445151437060344,4.140283233432068e-18
8,0.01,1,6,0.06510416666666667,0.5999348958333334,0.115234375,0.5234375,0.3375712047989058,3.478268580938777e-05
8,0.01,16,6,0.06510416666666667,0.6048177083333334,0.142578125,0.5234375,0.33380355998278066,2.027788459716775e-18
8,0.01,256,6,0.06510416666666667,0.6025390625,0.11328125,0.5286458333333334,0.33074646863259805,4.511611154992409e-18
8,0.02,1,6,0.06510416666666667,0.8518880208333334,0.470703125,0.8177083333333334,0.32692830768152814,5.552213665831261e-05
8,0.02,16,6,0.06510416666666667,0.865234375,0.509765625,0.8229166666666666,0.3193758164394235,9.138528620454047e-19
8,0.02,256,6,0.06510416666666667,0.8570963541666666,0.5078125,0.8359375,0.34947120257556663,2.3320853755640507e-18
8,0.05,1,6,0.06510416666666667,0.9951171875,0.982421875,0.984375,0.3391101597471424,4.846523466813024e-05
8,0.05,16,6,0.06510416666666667,0.9954427083333334,0.982421875,0.9895833333333334,0.33322280409502936,1.4786725833685956e-18
8,0.05,256,6,0.06510416666666667,0.9957682291666666,0.982421875,0.9921875,0.3375925146989158,1.3683119497831185e-18
16,0.01,1,6,0.08235677083333333,0.7486979166666666,0.201171875,0.6953125,0.24150200714394765,3.478268580938777e-05
16,0.01,16,6,0.08235677083333333,0.7552083333333334,0.2109375,0.6927083333333334,0.23167868012606121,2.027788459716775e-18
16,0.01,256,6,0.08235677083333333,0.7513020833333334,0.171875,0.6927083333333334,0.22879052870643996,3.759675962493675e-18
16,0.02,1,6,0.08235677083333333,0.9391276041666666,0.76171875,0.9166666666666666,0.23377608652748988,5.002951460928734e-05
16,0.02,16,6,0.08235677083333333,0.93359375,0.73828125,0.9296875,0.23642813724692235,8.745320158365189e-19
16,0.02,256,6,0.08235677083333333,0.9300130208333334,0.697265625,0.9192708333333334,0.23470590122312515,3.0077407699949395e-18
16,0.05,1,6,0.08235677083333333,1.0,1.0,1.0,0.2335260998225645,5.4792923452660436e-05
16,0.05,16,6,0.08235677083333333,1.0,1.0,0.9973958333333334,0.2345735102780011,4.664170751128101e-19
16,0.05,256,6,0.08235677083333333,1.0,1.0,1.0,0.23805983484100013,1.804644461996964e-18
32,0.01,1,6,0.11197916666666667,0.8310546875,0.2421875,0.796875,0.17184218601764614,5.19780036587988e-05
32,0.01,16,6,0.11197916666666667,0.8388671875,0.265625,0.8098958333333334,0.16434956922515953,1.1826331155881708e-18
32,0.01,256,6,0.11197916666666667,0.8326822916666666,0.240234375,0.7994791666666666,0.1680475109489608,3.4207798744577963e-18
32,0.02,1,6,0.11197916666666667,0.986328125,0.931640625,0.9817708333333334,0.16416364908176057,5.0903786355848814e-05
32,0.02,16,6,0.11197916666666667,0.9830729166666666,0.912109375,0.9817708333333334,0.1668770014611938,6.469192552237606e-19
32,0.02,256,6,0.11197916666666667,0.9850260416666666,0.92578125,0.9739583333333334,0.16303219867804897,3.0077407699949395e-18
32,0.05,1,6,0.11197916666666667,1.0,1.0,1.0,0.1670855249946896,5.4792923452660436e-05
32,0.05,16,6,0.11197916666666667,1.0,1.0,1.0,0.16278169355761268,1.2166730758300649e-18
32,0.05,256,6,0.11197916666666667,1.0,1.0,1.0,0.16706140686828097,2.838903843603485e-18
64,0.01,1,6,0.14290364583333334,0.8844401041666666,0.38671875,0.8697916666666666,0.12117703531511942,1.4678356139579327e-05
64,0.01,16,6,0.14290364583333334,0.88671875,0.384765625,0.8723958333333334,0.11873298774465604,1.1758930818448676e-18
64,0.01,256,6,0.14290364583333334,0.8802083333333334,0.369140625,0.859375,0.11914754827905173,3.0416826895751622e-18
64,0.02,1,6,0.14290364583333334,0.9996744791666666,0.998046875,0.9973958333333334,0.11700511642648437,4.309414815338033e-05
64,0.02,16,6,0.14290364583333334,0.9983723958333334,0.990234375,0.9973958333333334,0.11897813640736513,1.1660426877820253e-18
64,0.02,256,6,0.14290364583333334,0.9990234375,0.994140625,0.9973958333333334,0.11736484371748818,4.511611154992409e-18
64,0.05,1,6,0.14290364583333334,1.0,1.0,1.0,0.11815009214675105,4.1766585706097303e-05
64,0.05,16,6,0.14290364583333334,1.0,1.0,1.0,0.123180100785161,1.4786725833685956e-18
64,0.05,256,6,0.14290364583333334,1.0,1.0,1.0,0.12076232881232571,2.838903843603485e-18
