checkpoint,K,threshold,calibration_prompt_seed_draws,calibration_prompts,target_alpha_smoke_only,projection_family
prefill__C1,1,0.00017550935566870823,384,6,0.01,lut8
prefill__C1,2,0.00012483261420777442,384,6,0.01,lut8
prefill__C1,4,9.507050662850309e-05,384,6,0.01,lut8
prefill__C1,8,7.999868949313476e-05,384,6,0.01,lut8
prefill__C1,16,6.530317542104487e-05,384,6,0.01,lut8
prefill__C1,32,6.140588550642625e-05,384,6,0.01,lut8
prefill__C1,64,5.058875461573699e-05,384,6,0.01,lut8
prefill__C2,1,0.0001786050277164016,384,6,0.01,lut8
prefill__C2,2,0.00011661849841099886,384,6,0.01,lut8
prefill__C2,4,8.135341383758258e-05,384,6,0.01,lut8
prefill__C2,8,7.076026238837274e-05,384,6,0.01,lut8
prefill__C2,16,6.408091703707431e-05,384,6,0.01,lut8
prefill__C2,32,5.439035672422975e-05,384,6,0.01,lut8
prefill__C2,64,4.8919947060238186e-05,384,6,0.01,lut8
prefill__C3,1,0.0013047097443189177,384,6,0.01,lut8
prefill__C3,2,0.0011592211423515234,384,6,0.01,lut8
prefill__C3,4,0.0009058327581082023,384,6,0.01,lut8
prefill__C3,8,0.0006562093051219657,384,6,0.01,lut8
prefill__C3,16,0.000547636124190039,384,6,0.01,lut8
prefill__C3,32,0.0004900843968414981,384,6,0.01,lut8
prefill__C3,64,0.0004472832081942115,384,6,0.01,lut8
