prompt_id,checkpoint,N,K,rho,support,selected_candidate,candidate_portfolio,threshold,honest_fpr,adaptive_detection_rate,selection_detection_rate,honest_full_energy,attacked_full_energy,relative_l2,residual_dot,residual_cosine,median_estimator_relative_error,p90_estimator_relative_error,selection_draws,test_draws
eval_001,prefill__C1,16384,1,0.01,1,3,8,0.00018796925085216507,0.01171875,0.32421875,0.265625,3.788488441181147e-05,0.00013788488441181148,0.01,0.0,0.0,0.7976207695090726,1.3244342022507765,64,256
eval_001,prefill__C1,16384,2,0.01,1,3,8,0.0001156585543446481,0.0234375,0.546875,0.5,3.788488441181147e-05,0.00013788488441181148,0.01,0.0,0.0,0.49479990031982224,0.9754158521087275,64,256
eval_001,prefill__C1,16384,4,0.01,1,3,8,8.460757824593674e-05,0.01953125,0.8046875,0.671875,3.788488441181147e-05,0.00013788488441181148,0.01,0.0,0.0,0.32546983661249385,0.7576446002916012,64,256
eval_001,prefill__C1,16384,8,0.01,1,3,8,6.854634316405817e-05,0.0390625,0.94921875,0.859375,3.788488441181147e-05,0.00013788488441181148,0.01,0.0,0.0,0.2252959005260205,0.5570429870072637,64,256
eval_001,prefill__C1,16384,16,0.01,1,3,8,5.691843773609327e-05,0.0546875,0.99609375,0.984375,3.788488441181147e-05,0.00013788488441181148,0.01,0.0,0.0,0.18624864036795663,0.38534950246015975,64,256
eval_001,prefill__C1,16384,32,0.01,1,0,8,5.380037539904728e-05,0.0078125,1.0,1.0,3.788488441181147e-05,0.00013788488441181148,0.01,0.0,0.0,0.10783250435651454,0.2797048113792883,64,256
eval_001,prefill__C1,16384,64,0.01,1,1,8,4.755271856417159e-05,0.02734375,1.0,1.0,3.788488441181147e-05,0.00013788488441181148,0.01,0.0,0.0,0.09001725673713053,0.19615725705029266,64,256
eval_001,prefill__C1,16384,1,0.01,16,6,8,0.00018796925085216507,0.01171875,0.2734375,0.28125,3.788488441181147e-05,0.00013788488441181148,0.01,1.0842021724855044e-19,1.0751210141710644e-19,0.7791609074072622,1.9202810608976826,64,256
eval_001,prefill__C1,16384,2,0.01,16,4,8,0.0001156585543446481,0.0234375,0.453125,0.4375,3.788488441181147e-05,0.00013788488441181148,0.01,0.0,0.0,0.676247103243903,1.3546248587508058,64,256
eval_001,prefill__C1,16384,4,0.01,16,4,8,8.460757824593674e-05,0.01953125,0.6953125,0.640625,3.788488441181147e-05,0.00013788488441181148,0.01,0.0,0.0,0.4439795759655877,0.9957851359239506,64,256
eval_001,prefill__C1,16384,8,0.01,16,2,8,6.854634316405817e-05,0.0390625,0.875,0.8125,3.788488441181147e-05,0.00013788488441181146,0.01,-1.1926223897340549e-18,-1.1826331155881708e-18,0.3075651842704002,0.7152169898965746,64,256
eval_001,prefill__C1,16384,16,0.01,16,2,8,5.691843773609327e-05,0.0546875,0.99609375,0.953125,3.788488441181147e-05,0.00013788488441181146,0.01,-1.1926223897340549e-18,-1.1826331155881708e-18,0.22267929544505438,0.48865308119264134,64,256
eval_001,prefill__C1,16384,32,0.01,16,2,8,5.380037539904728e-05,0.0078125,1.0,0.984375,3.788488441181147e-05,0.00013788488441181146,0.01,-1.1926223897340549e-18,-1.1826331155881708e-18,0.16020875636757426,0.40983472220944633,64,256
eval_001,prefill__C1,16384,64,0.01,16,2,8,4.755271856417159e-05,0.02734375,1.0,1.0,3.788488441181147e-05,0.00013788488441181146,0.01,-1.1926223897340549e-18,-1.1826331155881708e-18,0.11702043415094004,0.27428399281444665,64,256
eval_001,prefill__C1,16384,1,0.01,256,0,8,0.00018796925085216507,0.01171875,0.23828125,0.15625,3.788488441181147e-05,0.00013788488441181146,0.01,0.0,0.0,0.7830429677272435,1.5532885043958466,64,256
eval_001,prefill__C1,16384,2,0.01,256,5,8,0.0001156585543446481,0.0234375,0.44140625,0.375,3.788488441181147e-05,0.00013788488441181148,0.01,-2.6020852139652106e-18,-2.5802904340105547e-18,0.6430579116636115,1.2296477026334707,64,256
eval_001,prefill__C1,16384,4,0.01,256,0,8,8.460757824593674e-05,0.01953125,0.640625,0.53125,3.788488441181147e-05,0.00013788488441181146,0.01,0.0,0.0,0.4714261497259767,0.9141585825543028,64,256
eval_001,prefill__C1,16384,8,0.01,256,7,8,6.854634316405817e-05,0.0390625,0.84375,0.703125,3.788488441181147e-05,0.00013788488441181146,0.01,8.673617379884035e-19,8.600968113368515e-19,0.3246954787584204,0.6826061706678099,64,256
eval_001,prefill__C1,16384,16,0.01,256,7,8,5.691843773609327e-05,0.0546875,0.97265625,0.96875,3.788488441181147e-05,0.00013788488441181146,0.01,8.673617379884035e-19,8.600968113368515e-19,0.24492359695810473,0.5558520742546773,64,256
eval_001,prefill__C1,16384,32,0.01,256,7,8,5.380037539904728e-05,0.0078125,1.0,1.0,3.788488441181147e-05,0.00013788488441181146,0.01,8.673617379884035e-19,8.600968113368515e-19,0.1878350356481658,0.40036299121190205,64,256
