checkpoint,K,threshold,calibration_prompt_seed_draws,calibration_prompts,target_alpha_smoke_only
prefill__C1,1,0.00018796925085216507,384,6,0.01
prefill__C1,2,0.0001156585543446481,384,6,0.01
prefill__C1,4,8.460757824593674e-05,384,6,0.01
prefill__C1,8,6.854634316405817e-05,384,6,0.01
prefill__C1,16,5.691843773609327e-05,384,6,0.01
prefill__C1,32,5.380037539904728e-05,384,6,0.01
prefill__C1,64,4.755271856417159e-05,384,6,0.01
prefill__C2,1,0.0001766681082722999,384,6,0.01
prefill__C2,2,0.00010513686014195438,384,6,0.01
prefill__C2,4,9.410888221565363e-05,384,6,0.01
prefill__C2,8,7.13787149786651e-05,384,6,0.01
prefill__C2,16,6.400995418380497e-05,384,6,0.01
prefill__C2,32,5.249335088790836e-05,384,6,0.01
prefill__C2,64,5.0586824544253276e-05,384,6,0.01
prefill__C3,1,0.0013269824944864468,384,6,0.01
prefill__C3,2,0.0009929407987027431,384,6,0.01
prefill__C3,4,0.0008247635664812968,384,6,0.01
prefill__C3,8,0.0006062843402392971,384,6,0.01
prefill__C3,16,0.000600830622509261,384,6,0.01
prefill__C3,32,0.0004691358479269402,384,6,0.01
prefill__C3,64,0.0004463599814447638,384,6,0.01
