family,K,support,energy_ratio,threshold_calibrated_on_support_256,rate,calibration_draws,test_draws
rademacher,1,1,1.0,6.25,0.0,20000,20000
rademacher,1,1,1.4,6.25,0.0,20000,20000
rademacher,1,1,2.0,6.25,0.0,20000,20000
rademacher,1,1,8.0,6.25,1.0,20000,20000
rademacher,2,1,1.0,4.53125,0.0,20000,20000
rademacher,2,1,1.4,4.53125,0.0,20000,20000
rademacher,2,1,2.0,4.53125,0.0,20000,20000
rademacher,2,1,8.0,4.53125,1.0,20000,20000
rademacher,4,1,1.0,3.30859375,0.0,20000,20000
rademacher,4,1,1.4,3.30859375,0.0,20000,20000
rademacher,4,1,2.0,3.30859375,0.0,20000,20000
rademacher,4,1,8.0,3.30859375,1.0,20000,20000
rademacher,8,1,1.0,2.49609375,0.0,20000,20000
rademacher,8,1,1.4,2.49609375,0.0,20000,20000
rademacher,8,1,2.0,2.49609375,0.0,20000,20000
rademacher,8,1,8.0,2.49609375,1.0,20000,20000
rademacher,16,1,1.0,1.9677734375,0.0,20000,20000
rademacher,16,1,1.4,1.9677734375,0.0,20000,20000
rademacher,16,1,2.0,1.9677734375,1.0,20000,20000
rademacher,16,1,8.0,1.9677734375,1.0,20000,20000
rademacher,32,1,1.0,1.67236328125,0.0,20000,20000
rademacher,32,1,1.4,1.67236328125,0.0,20000,20000
rademacher,32,1,2.0,1.67236328125,1.0,20000,20000
rademacher,32,1,8.0,1.67236328125,1.0,20000,20000
rademacher,1,16,1.0,6.25,0.00415,20000,20000
rademacher,1,16,1.4,6.25,0.01955,20000,20000
rademacher,1,16,2.0,6.25,0.0764,20000,20000
rademacher,1,16,8.0,6.25,0.46105,20000,20000
rademacher,2,16,1.0,4.53125,0.0092,20000,20000
rademacher,2,16,1.4,4.53125,0.03765,20000,20000
rademacher,2,16,2.0,4.53125,0.0871,20000,20000
rademacher,2,16,8.0,4.53125,0.60965,20000,20000
rademacher,4,16,1.0,3.30859375,0.00845,20000,20000
rademacher,4,16,1.4,3.30859375,0.04905,20000,20000
rademacher,4,16,2.0,3.30859375,0.1583,20000,20000
rademacher,4,16,8.0,3.30859375,0.79625,20000,20000
rademacher,8,16,1.0,2.49609375,0.00925,20000,20000
rademacher,8,16,1.4,2.49609375,0.0703,20000,20000
rademacher,8,16,2.0,2.49609375,0.2748,20000,20000
rademacher,8,16,8.0,2.49609375,0.9667,20000,20000
rademacher,16,16,1.0,1.9677734375,0.00845,20000,20000
rademacher,16,16,1.4,1.9677734375,0.12395,20000,20000
rademacher,16,16,2.0,1.9677734375,0.4843,20000,20000
rademacher,16,16,8.0,1.9677734375,0.9994,20000,20000
rademacher,32,16,1.0,1.67236328125,0.0076,20000,20000
rademacher,32,16,1.4,1.67236328125,0.20865,20000,20000
rademacher,32,16,2.0,1.67236328125,0.7339,20000,20000
rademacher,32,16,8.0,1.67236328125,1.0,20000,20000
rademacher,1,256,1.0,6.25,0.0108,20000,20000
rademacher,1,256,1.4,6.25,0.03905,20000,20000
rademacher,1,256,2.0,6.25,0.07035,20000,20000
rademacher,1,256,8.0,6.25,0.3449,20000,20000
rademacher,2,256,1.0,4.53125,0.0118,20000,20000
rademacher,2,256,1.4,4.53125,0.04095,20000,20000
rademacher,2,256,2.0,4.53125,0.09895,20000,20000
