family,K,energy_ratio,min_rate,max_rate,support_spread
rademacher,1,1.0,0.0,0.0108,0.0108
rademacher,1,1.4,0.0,0.03905,0.03905
rademacher,1,2.0,0.0,0.0764,0.0764
rademacher,1,8.0,0.3449,1.0,0.6551
rademacher,2,1.0,0.0,0.0118,0.0118
rademacher,2,1.4,0.0,0.04095,0.04095
rademacher,2,2.0,0.0,0.09895,0.09895
rademacher,2,8.0,0.56925,1.0,0.43074999999999997
rademacher,4,1.0,0.0,0.0097,0.0097
rademacher,4,1.4,0.0,0.0504,0.0504
rademacher,4,2.0,0.0,0.1583,0.1583
rademacher,4,8.0,0.79625,1.0,0.20375
rademacher,8,1.0,0.0,0.01005,0.01005
rademacher,8,1.4,0.0,0.07355,0.07355
rademacher,8,2.0,0.0,0.2748,0.2748
rademacher,8,8.0,0.96515,1.0,0.03485000000000005
rademacher,16,1.0,0.0,0.01205,0.01205
rademacher,16,1.4,0.0,0.13105,0.13105
rademacher,16,2.0,0.47765,1.0,0.52235
rademacher,16,8.0,0.99895,1.0,0.0010499999999999954
rademacher,32,1.0,0.0,0.01025,0.01025
rademacher,32,1.4,0.0,0.20865,0.20865
rademacher,32,2.0,0.73275,1.0,0.26725
rademacher,32,8.0,1.0,1.0,0.0
qgauss3,1,1.0,0.00275,0.0118,0.009049999999999999
qgauss3,1,1.4,0.0221,0.04605,0.02395
qgauss3,1,2.0,0.04605,0.06905,0.023
qgauss3,1,8.0,0.31845,0.3973,0.07884999999999998
qgauss3,2,1.0,0.0069,0.01005,0.00315
qgauss3,2,1.4,0.03055,0.03365,0.0030999999999999986
qgauss3,2,2.0,0.08835,0.0957,0.007349999999999995
qgauss3,2,8.0,0.53075,0.55485,0.0240999999999999
qgauss3,4,1.0,0.0103,0.012,0.0017000000000000001
qgauss3,4,1.4,0.04875,0.0507,0.0019500000000000003
qgauss3,4,2.0,0.11905,0.1544,0.035350000000000006
qgauss3,4,8.0,0.7804,0.8026,0.022199999999999998
qgauss3,8,1.0,0.00795,0.0111,0.00315
qgauss3,8,1.4,0.07095,0.08165,0.010700000000000001
qgauss3,8,2.0,0.2502,0.26165,0.011450000000000016
qgauss3,8,8.0,0.95345,0.96235,0.008900000000000019
qgauss3,16,1.0,0.0077,0.01165,0.00395
qgauss3,16,1.4,0.10745,0.117,0.009550000000000003
qgauss3,16,2.0,0.4495,0.4725,0.022999999999999965
qgauss3,16,8.0,0.99795,0.9993,0.0013499999999999623
qgauss3,32,1.0,0.00925,0.01175,0.0025000000000000005
qgauss3,32,1.4,0.20875,0.21575,0.007000000000000006
qgauss3,32,2.0,0.73335,0.7358,0.0024500000000000632
qgauss3,32,8.0,1.0,1.0,0.0
qgauss4,1,1.0,0.00745,0.01315,0.0057
qgauss4,1,1.4,0.02795,0.0475,0.01955
qgauss4,1,2.0,0.0475,0.0698,0.0223
qgauss4,1,8.0,0.31595,0.369,0.053049999999999986
qgauss4,2,1.0,0.00915,0.012,0.00285
qgauss4,2,1.4,0.03225,0.0411,0.008849999999999997
qgauss4,2,2.0,0.0943,0.10315,0.00885000000000001
qgauss4,2,8.0,0.53115,0.56585,0.03469999999999995
qgauss4,4,1.0,0.0101,0.0106,0.0005000000000000004
qgauss4,4,1.4,0.0512,0.0541,0.0029
qgauss4,4,2.0,0.1582,0.17725,0.019049999999999984
qgauss4,4,8.0,0.7991,0.8282,0.029100000000000015
qgauss4,8,1.0,0.0097,0.0111,0.0014000000000000002
qgauss4,8,1.4,0.07065,0.07875,0.008099999999999996
qgauss4,8,2.0,0.26385,0.27205,0.00820000000000004
qgauss4,8,8.0,0.95225,0.96245,0.010199999999999987
qgauss4,16,1.0,0.01055,0.01115,0.0005999999999999998
qgauss4,16,1.4,0.12005,0.1265,0.006449999999999997
qgauss4,16,2.0,0.4577,0.4678,0.010099999999999998
qgauss4,16,8.0,0.99875,0.9991,0.00034999999999996145
qgauss4,32,1.0,0.0101,0.01135,0.0012500000000000011
qgauss4,32,1.4,0.2122,0.21885,0.006649999999999989
qgauss4,32,2.0,0.7307,0.73865,0.007950000000000013
qgauss4,32,8.0,1.0,1.0,0.0
qgauss8,1,1.0,0.00945,0.0111,0.0016500000000000004
qgauss8,1,1.4,0.0293,0.03175,0.002450000000000001
qgauss8,1,2.0,0.0701,0.07135,0.0012500000000000011
qgauss8,1,8.0,0.36595,0.3684,0.0024500000000000077
qgauss8,2,1.0,0.0085,0.0101,0.001599999999999999
qgauss8,2,1.4,0.0343,0.0381,0.0038000000000000048
qgauss8,2,2.0,0.09655,0.10065,0.004100000000000006
qgauss8,2,8.0,0.5632,0.56405,0.0008500000000000174
qgauss8,4,1.0,0.0088,0.00925,0.000449999999999999
qgauss8,4,1.4,0.04465,0.04745,0.002799999999999997
qgauss8,4,2.0,0.1465,0.1524,0.005900000000000016
qgauss8,4,8.0,0.7949,0.7986,0.0036999999999999256
qgauss8,8,1.0,0.0096,0.01125,0.0016500000000000004
qgauss8,8,1.4,0.0719,0.07635,0.004449999999999996
qgauss8,8,2.0,0.2595,0.26775,0.00824999999999998
qgauss8,8,8.0,0.96005,0.9635,0.003450000000000064
qgauss8,16,1.0,0.0087,0.00995,0.0012500000000000011
qgauss8,16,1.4,0.11175,0.1235,0.011749999999999997
qgauss8,16,2.0,0.4401,0.45115,0.011050000000000004
qgauss8,16,8.0,0.99865,0.99885,0.00019999999999997797
qgauss8,32,1.0,0.0084,0.00905,0.0006500000000000013
qgauss8,32,1.4,0.1986,0.2008,0.0022000000000000075
qgauss8,32,2.0,0.71995,0.7227,0.00275000000000003
qgauss8,32,8.0,1.0,1.0,0.0
gaussian,1,1.0,0.0092,0.01005,0.0008500000000000001
gaussian,1,1.4,0.02695,0.0294,0.0024499999999999973
gaussian,1,2.0,0.06475,0.06695,0.0021999999999999936
gaussian,1,8.0,0.35715,0.3598,0.0026499999999999857
gaussian,2,1.0,0.009,0.0103,0.0013000000000000008
gaussian,2,1.4,0.0363,0.03895,0.0026499999999999996
gaussian,2,2.0,0.09605,0.1027,0.006650000000000003
gaussian,2,8.0,0.56055,0.5644,0.00385000000000002
gaussian,4,1.0,0.00805,0.00955,0.0014999999999999996
gaussian,4,1.4,0.047,0.0498,0.002799999999999997
gaussian,4,2.0,0.14825,0.1526,0.0043500000000000205
gaussian,4,8.0,0.79465,0.8011,0.006450000000000067
gaussian,8,1.0,0.00835,0.0088,0.00045000000000000075
gaussian,8,1.4,0.0666,0.0688,0.0021999999999999936
gaussian,8,2.0,0.2476,0.25525,0.00764999999999999
gaussian,8,8.0,0.95955,0.9617,0.0021499999999999853
gaussian,16,1.0,0.00785,0.01185,0.004
gaussian,16,1.4,0.1137,0.1185,0.004799999999999999
gaussian,16,2.0,0.4505,0.45355,0.003049999999999997
gaussian,16,8.0,0.9986,0.99875,0.00014999999999998348
gaussian,32,1.0,0.00925,0.01145,0.0022000000000000006
gaussian,32,1.4,0.19985,0.2066,0.006750000000000006
gaussian,32,2.0,0.7239,0.7299,0.006000000000000005
gaussian,32,8.0,1.0,1.0,0.0
