family,K,support,energy_ratio,threshold_calibrated_on_support_256,rate,calibration_draws,test_draws
qgauss8,1,1,1.0,6.606818284923504,0.01069,100000,100000
qgauss8,1,1,1.4,6.606818284923504,0.02886,100000,100000
qgauss8,1,1,2.0,6.606818284923504,0.07011,100000,100000
qgauss8,1,1,8.0,6.606818284923504,0.36535,100000,100000
qgauss8,2,1,1.0,4.609295008538199,0.00963,100000,100000
qgauss8,2,1,1.4,4.609295008538199,0.03668,100000,100000
qgauss8,2,1,2.0,4.609295008538199,0.09887,100000,100000
qgauss8,2,1,8.0,4.609295008538199,0.56143,100000,100000
qgauss8,4,1,1.0,3.331065061273454,0.00964,100000,100000
qgauss8,4,1,1.4,3.331065061273454,0.04883,100000,100000
qgauss8,4,1,2.0,3.331065061273454,0.15548,100000,100000
qgauss8,4,1,8.0,3.331065061273454,0.79806,100000,100000
qgauss8,8,1,1.0,2.4983097826782004,0.01023,100000,100000
qgauss8,8,1,1.4,2.4983097826782004,0.07499,100000,100000
qgauss8,8,1,2.0,2.4983097826782004,0.26592,100000,100000
qgauss8,8,1,8.0,2.4983097826782004,0.96178,100000,100000
qgauss8,16,1,1.0,1.9971145568200996,0.00999,100000,100000
qgauss8,16,1,1.4,1.9971145568200996,0.12017,100000,100000
qgauss8,16,1,2.0,1.9971145568200996,0.45569,100000,100000
qgauss8,16,1,8.0,1.9971145568200996,0.99891,100000,100000
qgauss8,32,1,1.0,1.6739023517604097,0.01009,100000,100000
qgauss8,32,1,1.4,1.6739023517604097,0.20679,100000,100000
qgauss8,32,1,2.0,1.6739023517604097,0.7281,100000,100000
qgauss8,32,1,8.0,1.6739023517604097,1.0,100000,100000
qgauss8,1,16,1.0,6.606818284923504,0.01001,100000,100000
qgauss8,1,16,1.4,6.606818284923504,0.02974,100000,100000
qgauss8,1,16,2.0,6.606818284923504,0.06877,100000,100000
qgauss8,1,16,8.0,6.606818284923504,0.36183,100000,100000
qgauss8,2,16,1.0,4.609295008538199,0.0096,100000,100000
qgauss8,2,16,1.4,4.609295008538199,0.03653,100000,100000
qgauss8,2,16,2.0,4.609295008538199,0.09971,100000,100000
qgauss8,2,16,8.0,4.609295008538199,0.56,100000,100000
qgauss8,4,16,1.0,3.331065061273454,0.00975,100000,100000
qgauss8,4,16,1.4,3.331065061273454,0.04844,100000,100000
qgauss8,4,16,2.0,3.331065061273454,0.15298,100000,100000
qgauss8,4,16,8.0,3.331065061273454,0.79786,100000,100000
qgauss8,8,16,1.0,2.4983097826782004,0.00993,100000,100000
qgauss8,8,16,1.4,2.4983097826782004,0.0736,100000,100000
qgauss8,8,16,2.0,2.4983097826782004,0.26527,100000,100000
qgauss8,8,16,8.0,2.4983097826782004,0.9616,100000,100000
qgauss8,16,16,1.0,1.9971145568200996,0.00982,100000,100000
qgauss8,16,16,1.4,1.9971145568200996,0.11793,100000,100000
qgauss8,16,16,2.0,1.9971145568200996,0.45548,100000,100000
qgauss8,16,16,8.0,1.9971145568200996,0.99892,100000,100000
qgauss8,32,16,1.0,1.6739023517604097,0.00923,100000,100000
qgauss8,32,16,1.4,1.6739023517604097,0.20501,100000,100000
qgauss8,32,16,2.0,1.6739023517604097,0.72594,100000,100000
qgauss8,32,16,8.0,1.6739023517604097,1.0,100000,100000
qgauss8,1,256,1.0,6.606818284923504,0.01009,100000,100000
qgauss8,1,256,1.4,6.606818284923504,0.02916,100000,100000
qgauss8,1,256,2.0,6.606818284923504,0.06851,100000,100000
qgauss8,1,256,8.0,6.606818284923504,0.36101,100000,100000
qgauss8,2,256,1.0,4.609295008538199,0.00967,100000,100000
qgauss8,2,256,1.4,4.609295008538199,0.0358,100000,100000
qgauss8,2,256,2.0,4.609295008538199,0.09895,100000,100000
qgauss8,2,256,8.0,4.609295008538199,0.55994,100000,100000
qgauss8,4,256,1.0,3.331065061273454,0.0101,100000,100000
qgauss8,4,256,1.4,3.331065061273454,0.04792,100000,100000
qgauss8,4,256,2.0,3.331065061273454,0.15455,100000,100000
qgauss8,4,256,8.0,3.331065061273454,0.79664,100000,100000
qgauss8,8,256,1.0,2.4983097826782004,0.01062,100000,100000
qgauss8,8,256,1.4,2.4983097826782004,0.07354,100000,100000
qgauss8,8,256,2.0,2.4983097826782004,0.26318,100000,100000
qgauss8,8,256,8.0,2.4983097826782004,0.9607,100000,100000
qgauss8,16,256,1.0,1.9971145568200996,0.00974,100000,100000
qgauss8,16,256,1.4,1.9971145568200996,0.11737,100000,100000
qgauss8,16,256,2.0,1.9971145568200996,0.45161,100000,100000
qgauss8,16,256,8.0,1.9971145568200996,0.99881,100000,100000
qgauss8,32,256,1.0,1.6739023517604097,0.0096,100000,100000
qgauss8,32,256,1.4,1.6739023517604097,0.20683,100000,100000
qgauss8,32,256,2.0,1.6739023517604097,0.72699,100000,100000
qgauss8,32,256,8.0,1.6739023517604097,1.0,100000,100000
gaussian,1,1,1.0,6.6039168653151705,0.01012,100000,100000
gaussian,1,1,1.4,6.6039168653151705,0.02986,100000,100000
