family,K,energy_ratio,min_rate,max_rate,support_spread
qgauss8,1,1.0,0.01001,0.01069,0.00068
qgauss8,1,1.4,0.02886,0.02974,0.0008799999999999988
qgauss8,1,2.0,0.06851,0.07011,0.0016000000000000042
qgauss8,1,8.0,0.36101,0.36535,0.0043400000000000105
qgauss8,2,1.0,0.0096,0.00967,7.000000000000062e-05
qgauss8,2,1.4,0.0358,0.03668,0.0008799999999999988
qgauss8,2,2.0,0.09887,0.09971,0.0008399999999999935
qgauss8,2,8.0,0.55994,0.56143,0.0014899999999999913
qgauss8,4,1.0,0.00964,0.0101,0.00046000000000000034
qgauss8,4,1.4,0.04792,0.04883,0.0009100000000000011
qgauss8,4,2.0,0.15298,0.15548,0.0025000000000000022
qgauss8,4,8.0,0.79664,0.79806,0.0014199999999999768
qgauss8,8,1.0,0.00993,0.01062,0.0006899999999999996
qgauss8,8,1.4,0.07354,0.07499,0.0014500000000000068
qgauss8,8,2.0,0.26318,0.26592,0.0027399999999999647
qgauss8,8,8.0,0.9607,0.96178,0.0010799999999999699
qgauss8,16,1.0,0.00974,0.00999,0.0002500000000000002
qgauss8,16,1.4,0.11737,0.12017,0.002799999999999997
qgauss8,16,2.0,0.45161,0.45569,0.0040799999999999725
qgauss8,16,8.0,0.99881,0.99892,0.0001100000000000545
qgauss8,32,1.0,0.00923,0.01009,0.0008599999999999997
qgauss8,32,1.4,0.20501,0.20683,0.001820000000000016
qgauss8,32,2.0,0.72594,0.7281,0.0021599999999999397
qgauss8,32,8.0,1.0,1.0,0.0
gaussian,1,1.0,0.01003,0.01045,0.0004199999999999985
gaussian,1,1.4,0.02975,0.02986,0.00011000000000000246
gaussian,1,2.0,0.06815,0.06898,0.0008299999999999974
gaussian,1,8.0,0.36258,0.36404,0.0014599999999999613
gaussian,2,1.0,0.00981,0.01058,0.0007700000000000016
gaussian,2,1.4,0.03707,0.03885,0.0017800000000000038
gaussian,2,2.0,0.09956,0.10181,0.002250000000000002
gaussian,2,8.0,0.56389,0.56461,0.0007199999999999429
gaussian,4,1.0,0.00978,0.01011,0.0003299999999999987
gaussian,4,1.4,0.04972,0.05116,0.0014399999999999968
gaussian,4,2.0,0.15586,0.15654,0.0006800000000000139
gaussian,4,8.0,0.79896,0.80158,0.0026199999999999557
gaussian,8,1.0,0.00938,0.00999,0.0006100000000000012
gaussian,8,1.4,0.07077,0.07169,0.0009200000000000041
gaussian,8,2.0,0.25874,0.25883,8.999999999997899e-05
gaussian,8,8.0,0.96089,0.9613,0.00041000000000002146
gaussian,16,1.0,0.00947,0.01072,0.0012500000000000011
gaussian,16,1.4,0.11507,0.11568,0.0006099999999999994
gaussian,16,2.0,0.44943,0.45245,0.0030200000000000227
gaussian,16,8.0,0.9988,0.99897,0.00017000000000000348
gaussian,32,1.0,0.00981,0.01056,0.0007500000000000007
gaussian,32,1.4,0.20784,0.21013,0.0022900000000000142
gaussian,32,2.0,0.73025,0.73273,0.0024800000000000377
gaussian,32,8.0,1.0,1.0,0.0
