prompt_id,checkpoint,N,K,rho,support,selected_candidate,candidate_portfolio,threshold,honest_fpr,adaptive_detection_rate,selection_detection_rate,honest_full_energy,attacked_full_energy,relative_l2,residual_dot,residual_cosine,median_estimator_relative_error,p90_estimator_relative_error,selection_draws,test_draws
eval_001,prefill__C1,16384,4,0.02,1,1,3,6.066032466574016e-05,0.0,1.0,1.0,3.788488441181147e-05,0.0004378848844118115,0.02,0.0,0.0,0.20902115493602585,0.5254141887912901,4,8
eval_001,prefill__C1,16384,16,0.02,1,1,3,5.697314952013258e-05,0.0,1.0,1.0,3.788488441181147e-05,0.0004378848844118115,0.02,0.0,0.0,0.13351831225514252,0.2980754560781849,4,8
eval_001,prefill__C1,16384,4,0.02,16,2,3,6.066032466574016e-05,0.0,1.0,0.75,3.788488441181147e-05,0.00043788488441181156,0.02,-5.421010862427522e-20,-2.687802535427661e-20,0.32610378367128084,2.472747447234512,4,8
eval_001,prefill__C1,16384,16,0.02,16,1,3,5.697314952013258e-05,0.0,1.0,1.0,3.788488441181147e-05,0.0004378848844118115,0.02,-1.0842021724855044e-19,-5.375605070855322e-20,0.37373350081087864,0.6313305957864422,4,8
eval_001,prefill__C1,16384,4,0.02,256,2,3,6.066032466574016e-05,0.0,1.0,1.0,3.788488441181147e-05,0.00043788488441181146,0.02,1.6263032587282567e-18,8.063407606282983e-19,0.3687495689950789,0.5364629861539199,4,8
eval_001,prefill__C1,16384,16,0.02,256,1,3,5.697314952013258e-05,0.0,1.0,1.0,3.788488441181147e-05,0.0004378848844118116,0.020000000000000004,8.673617379884035e-19,4.3004840566842576e-19,0.234483226509665,0.5721633848767135,4,8
eval_001,prefill__C2,16384,4,0.02,1,0,3,7.874384747527723e-05,0.125,1.0,1.0,3.83204294507862e-05,0.0004383204294507862,0.02,0.0,0.0,0.20724316988278385,0.5365093572169333,4,8
eval_001,prefill__C2,16384,16,0.02,1,0,3,5.570706603655986e-05,0.0,1.0,1.0,3.83204294507862e-05,0.0004383204294507862,0.02,0.0,0.0,0.1091238065295339,0.19538801086311036,4,8
eval_001,prefill__C2,16384,4,0.02,16,0,3,7.874384747527723e-05,0.125,1.0,1.0,3.83204294507862e-05,0.00043832042945078626,0.02,8.673617379884035e-19,4.2759748430722454e-19,0.3701522583370085,0.784526413221871,4,8
eval_001,prefill__C2,16384,16,0.02,16,0,3,5.570706603655986e-05,0.0,1.0,1.0,3.83204294507862e-05,0.00043832042945078626,0.02,8.673617379884035e-19,4.2759748430722454e-19,0.25551982883980584,0.4396803115111665,4,8
eval_001,prefill__C2,16384,4,0.02,256,0,3,7.874384747527723e-05,0.125,1.0,1.0,3.83204294507862e-05,0.0004383204294507862,0.02,0.0,0.0,0.4967650291269161,0.8137060842933266,4,8
eval_001,prefill__C2,16384,16,0.02,256,2,3,5.570706603655986e-05,0.0,1.0,1.0,3.83204294507862e-05,0.00043832042945078615,0.02,4.336808689942018e-19,2.1379874215361227e-19,0.3109672149441186,1.1765966337370786,4,8
eval_001,prefill__C3,16384,4,0.02,1,0,3,0.0006570226061108353,0.0,0.375,0.0,0.00032980081512042585,0.000729819041793688,0.02,0.00014931290736355283,2.5091207076203977e-05,0.4348341564077216,0.7397866069596638,4,8
eval_001,prefill__C3,16384,16,0.02,1,1,3,0.00038493202264217914,0.375,1.0,0.75,0.00032980081512042585,0.0007298162052676616,0.02,0.0001260760861550999,2.118638797496973e-05,0.3502761265217988,0.6441174119234265,4,8
eval_001,prefill__C3,16384,4,0.02,16,2,3,0.0006570226061108353,0.0,0.25,0.5,0.00032980081512042585,0.0007298008151204259,0.02,6.938893903907228e-18,1.1660426877820253e-18,0.6794896235710169,0.8675205327186712,4,8
eval_001,prefill__C3,16384,16,0.02,16,2,3,0.00038493202264217914,0.375,1.0,0.75,0.00032980081512042585,0.0007298008151204259,0.02,6.938893903907228e-18,1.1660426877820253e-18,0.337601731116065,0.6379062101715836,4,8
eval_001,prefill__C3,16384,4,0.02,256,0,3,0.0006570226061108353,0.0,0.375,0.25,0.00032980081512042585,0.0007298008151204259,0.02,-1.3877787807814457e-17,-2.3320853755640507e-18,0.43126991147630733,1.320793258710993,4,8
eval_001,prefill__C3,16384,16,0.02,256,0,3,0.00038493202264217914,0.375,0.875,0.75,0.00032980081512042585,0.0007298008151204259,0.02,-1.3877787807814457e-17,-2.3320853755640507e-18,0.1558892282205931,0.4728810608737236,4,8
