prompt_id,checkpoint,n,q,rho,attack,support_size,selection_combined,statistic,test_rate,relative_l2,cosine_after_attack
eval_001,prefill__C1,16384,64,0.0,honest,0,,spike,0.00439453125,0.0,0.9999927276506787
eval_001,prefill__C1,16384,64,0.0,honest,0,,energy,0.00439453125,0.0,0.9999927276506787
eval_001,prefill__C1,16384,64,0.0,honest,0,,directional,0.00439453125,0.0,0.9999927276506787
eval_001,prefill__C1,16384,64,0.0,honest,0,,combined,0.00634765625,0.0,0.9999927276506787
eval_001,prefill__C1,16384,64,0.01,fixed_diffuse,16384,1.0,spike,0.00244140625,0.010000000000000004,0.999942643385097
eval_001,prefill__C1,16384,64,0.01,fixed_diffuse,16384,1.0,energy,1.0,0.010000000000000004,0.999942643385097
eval_001,prefill__C1,16384,64,0.01,fixed_diffuse,16384,1.0,directional,0.1845703125,0.010000000000000004,0.999942643385097
eval_001,prefill__C1,16384,64,0.01,fixed_diffuse,16384,1.0,combined,1.0,0.010000000000000004,0.999942643385097
eval_001,prefill__C1,16384,64,0.01,fixed_directional,16371,1.0,spike,0.00244140625,0.010000000000000009,0.9999432916304644
eval_001,prefill__C1,16384,64,0.01,fixed_directional,16371,1.0,energy,1.0,0.010000000000000009,0.9999432916304644
eval_001,prefill__C1,16384,64,0.01,fixed_directional,16371,1.0,directional,0.99755859375,0.010000000000000009,0.9999432916304644
eval_001,prefill__C1,16384,64,0.01,fixed_directional,16371,1.0,combined,1.0,0.010000000000000009,0.9999432916304644
eval_001,prefill__C1,16384,64,0.01,fixed_sparse16,16,0.078125,spike,0.0595703125,0.01,0.9999422445559634
eval_001,prefill__C1,16384,64,0.01,fixed_sparse16,16,0.078125,energy,0.0595703125,0.01,0.9999422445559634
eval_001,prefill__C1,16384,64,0.01,fixed_sparse16,16,0.078125,directional,0.05859375,0.01,0.9999422445559634
eval_001,prefill__C1,16384,64,0.01,fixed_sparse16,16,0.078125,combined,0.06103515625,0.01,0.9999422445559634
eval_001,prefill__C1,16384,64,0.01,adaptive_joint,16,0.04296875,spike,0.04052734375,0.009999999405562664,0.9999422370090076
eval_001,prefill__C1,16384,64,0.01,adaptive_joint,16,0.04296875,energy,0.04052734375,0.009999999405562664,0.9999422370090076
eval_001,prefill__C1,16384,64,0.01,adaptive_joint,16,0.04296875,directional,0.03662109375,0.009999999405562664,0.9999422370090076
eval_001,prefill__C1,16384,64,0.01,adaptive_joint,16,0.04296875,combined,0.04296875,0.009999999405562664,0.9999422370090076
eval_001,prefill__C1,16384,64,0.02,fixed_diffuse,16384,1.0,spike,0.013671875,0.020000000000000007,0.9997914728617174
eval_001,prefill__C1,16384,64,0.02,fixed_diffuse,16384,1.0,energy,1.0,0.020000000000000007,0.9997914728617174
eval_001,prefill__C1,16384,64,0.02,fixed_diffuse,16384,1.0,directional,0.51513671875,0.020000000000000007,0.9997914728617174
eval_001,prefill__C1,16384,64,0.02,fixed_diffuse,16384,1.0,combined,1.0,0.020000000000000007,0.9997914728617174
eval_001,prefill__C1,16384,64,0.02,fixed_directional,16371,1.0,spike,0.0126953125,0.020000000000000018,0.9997931136434115
eval_001,prefill__C1,16384,64,0.02,fixed_directional,16371,1.0,energy,1.0,0.020000000000000018,0.9997931136434115
eval_001,prefill__C1,16384,64,0.02,fixed_directional,16371,1.0,directional,1.0,0.020000000000000018,0.9997931136434115
eval_001,prefill__C1,16384,64,0.02,fixed_directional,16371,1.0,combined,1.0,0.020000000000000018,0.9997931136434115
eval_001,prefill__C1,16384,64,0.02,fixed_sparse16,16,0.0703125,spike,0.07080078125,0.02,0.9997902759975502
eval_001,prefill__C1,16384,64,0.02,fixed_sparse16,16,0.0703125,energy,0.07080078125,0.02,0.9997902759975502
eval_001,prefill__C1,16384,64,0.02,fixed_sparse16,16,0.0703125,directional,0.06884765625,0.02,0.9997902759975502
eval_001,prefill__C1,16384,64,0.02,fixed_sparse16,16,0.0703125,combined,0.072265625,0.02,0.9997902759975502
eval_001,prefill__C1,16384,64,0.02,adaptive_joint,16,0.07421875,spike,0.056640625,0.019999998192912607,0.9997906295118704
eval_001,prefill__C1,16384,64,0.02,adaptive_joint,16,0.07421875,energy,0.05712890625,0.019999998192912607,0.9997906295118704
eval_001,prefill__C1,16384,64,0.02,adaptive_joint,16,0.07421875,directional,0.05615234375,0.019999998192912607,0.9997906295118704
eval_001,prefill__C1,16384,64,0.02,adaptive_joint,16,0.07421875,combined,0.05859375,0.019999998192912607,0.9997906295118704
eval_001,prefill__C1,16384,64,0.05,fixed_diffuse,16384,1.0,spike,0.5517578125,0.05000000000000002,0.9987319856405827
eval_001,prefill__C1,16384,64,0.05,fixed_diffuse,16384,1.0,energy,1.0,0.05000000000000002,0.9987319856405827
eval_001,prefill__C1,16384,64,0.05,fixed_diffuse,16384,1.0,directional,0.77734375,0.05000000000000002,0.9987319856405827
eval_001,prefill__C1,16384,64,0.05,fixed_diffuse,16384,1.0,combined,1.0,0.05000000000000002,0.9987319856405827
eval_001,prefill__C1,16384,64,0.05,fixed_directional,16371,1.0,spike,0.4873046875,0.050000000000000044,0.9987412609462031
eval_001,prefill__C1,16384,64,0.05,fixed_directional,16371,1.0,energy,1.0,0.050000000000000044,0.9987412609462031
eval_001,prefill__C1,16384,64,0.05,fixed_directional,16371,1.0,directional,1.0,0.050000000000000044,0.9987412609462031
eval_001,prefill__C1,16384,64,0.05,fixed_directional,16371,1.0,combined,1.0,0.050000000000000044,0.9987412609462031
eval_001,prefill__C1,16384,64,0.05,fixed_sparse16,16,0.06640625,spike,0.06005859375,0.05,0.9987351854204151
eval_001,prefill__C1,16384,64,0.05,fixed_sparse16,16,0.06640625,energy,0.06005859375,0.05,0.9987351854204151
eval_001,prefill__C1,16384,64,0.05,fixed_sparse16,16,0.06640625,directional,0.06005859375,0.05,0.9987351854204151
eval_001,prefill__C1,16384,64,0.05,fixed_sparse16,16,0.06640625,combined,0.06201171875,0.05,0.9987351854204151
eval_001,prefill__C1,16384,64,0.05,adaptive_joint,16,0.076171875,spike,0.06396484375,0.05000000338884814,0.9987318269003773
eval_001,prefill__C1,16384,64,0.05,adaptive_joint,16,0.076171875,energy,0.06396484375,0.05000000338884814,0.9987318269003773
eval_001,prefill__C1,16384,64,0.05,adaptive_joint,16,0.076171875,directional,0.06298828125,0.05000000338884814,0.9987318269003773
eval_001,prefill__C1,16384,64,0.05,adaptive_joint,16,0.076171875,combined,0.06591796875,0.05000000338884814,0.9987318269003773
