q,rho,attack,mean_test_rate,min_test_rate,max_test_rate,pair_count
64,0.0,honest,0.038736979166666664,0.005859375,0.1806640625,6
64,0.01,adaptive_joint,0.07185872395833333,0.00732421875,0.2109375,6
64,0.01,fixed_diffuse,0.721923828125,0.046875,1.0,6
64,0.01,fixed_directional,0.9444173177083334,0.77734375,1.0,6
64,0.01,fixed_sparse16,0.09659830729166667,0.06103515625,0.228515625,6
64,0.02,adaptive_joint,0.09114583333333333,0.0537109375,0.228515625,6
64,0.02,fixed_diffuse,0.8982747395833334,0.572265625,1.0,6
64,0.02,fixed_directional,1.0,1.0,1.0,6
64,0.02,fixed_sparse16,0.09619140625,0.06640625,0.22900390625,6
64,0.05,adaptive_joint,0.09700520833333333,0.06298828125,0.23681640625,6
64,0.05,fixed_diffuse,1.0,1.0,1.0,6
64,0.05,fixed_directional,1.0,1.0,1.0,6
64,0.05,fixed_sparse16,0.09749348958333333,0.05908203125,0.24365234375,6
128,0.0,honest,0.053304036458333336,0.0,0.27197265625,6
128,0.01,adaptive_joint,0.061442057291666664,0.0,0.32666015625,6
128,0.01,fixed_diffuse,0.09798177083333333,0.0,0.4912109375,6
128,0.01,fixed_directional,0.9955240885416666,0.978515625,1.0,6
128,0.01,fixed_sparse16,0.09016927083333333,0.00390625,0.36474609375,6
128,0.02,adaptive_joint,0.098388671875,0.03076171875,0.3369140625,6
128,0.02,fixed_diffuse,0.35302734375,0.02392578125,0.99560546875,6
128,0.02,fixed_directional,1.0,1.0,1.0,6
128,0.02,fixed_sparse16,0.15576171875,0.09521484375,0.36181640625,6
128,0.05,adaptive_joint,0.142822265625,0.08203125,0.353515625,6
128,0.05,fixed_diffuse,1.0,1.0,1.0,6
128,0.05,fixed_directional,1.0,1.0,1.0,6
128,0.05,fixed_sparse16,0.16324869791666666,0.1162109375,0.35693359375,6
256,0.0,honest,0.08536783854166667,0.0,0.4580078125,6
256,0.01,adaptive_joint,0.11075846354166667,0.00146484375,0.5517578125,6
256,0.01,fixed_diffuse,0.16072591145833334,0.00146484375,0.79931640625,6
256,0.01,fixed_directional,1.0,1.0,1.0,6
256,0.01,fixed_sparse16,0.15218098958333334,0.01171875,0.57666015625,6
256,0.02,adaptive_joint,0.18693033854166666,0.07568359375,0.568359375,6
256,0.02,fixed_diffuse,0.4056803385416667,0.09326171875,1.0,6
256,0.02,fixed_directional,1.0,1.0,1.0,6
256,0.02,fixed_sparse16,0.2869466145833333,0.2109375,0.58349609375,6
256,0.05,adaptive_joint,0.24674479166666666,0.12939453125,0.57421875,6
256,0.05,fixed_diffuse,1.0,1.0,1.0,6
256,0.05,fixed_directional,1.0,1.0,1.0,6
256,0.05,fixed_sparse16,0.281982421875,0.2001953125,0.5732421875,6
512,0.0,honest,0.13802083333333334,0.0,0.75244140625,6
512,0.01,adaptive_joint,0.17106119791666666,0.00439453125,0.78466796875,6
512,0.01,fixed_diffuse,0.24943033854166666,0.00927734375,0.9921875,6
512,0.01,fixed_directional,1.0,1.0,1.0,6
512,0.01,fixed_sparse16,0.233154296875,0.017578125,0.8544921875,6
512,0.02,adaptive_joint,0.3048502604166667,0.16015625,0.8330078125,6
512,0.02,fixed_diffuse,0.452392578125,0.1572265625,1.0,6
512,0.02,fixed_directional,1.0,1.0,1.0,6
512,0.02,fixed_sparse16,0.4693196614583333,0.36669921875,0.8564453125,6
512,0.05,adaptive_joint,0.3626302083333333,0.19482421875,0.83935546875,6
512,0.05,fixed_diffuse,1.0,1.0,1.0,6
512,0.05,fixed_directional,1.0,1.0,1.0,6
512,0.05,fixed_sparse16,0.4862467447916667,0.384765625,0.85498046875,6
