prompt_id,checkpoint,n,q,rho,attack,support_size,selection_combined,statistic,test_rate,relative_l2,final_relative_residual,delta_residual_cosine,cosine_after_attack
eval_001,prefill__C1,16384,64,0.0,honest,0,,spike,0.001953125,0.0,0.006155069813723601,0.0,0.9999927276506787
eval_001,prefill__C1,16384,64,0.0,honest,0,,energy,0.001953125,0.0,0.006155069813723601,0.0,0.9999927276506787
eval_001,prefill__C1,16384,64,0.0,honest,0,,directional,0.001953125,0.0,0.006155069813723601,0.0,0.9999927276506787
eval_001,prefill__C1,16384,64,0.0,honest,0,,combined,0.001953125,0.0,0.006155069813723601,0.0,0.9999927276506787
eval_001,prefill__C1,16384,64,0.02,fixed_diffuse,16384,1.0,spike,0.00390625,0.02,0.02092569913794546,8.221316005239358e-18,0.99979152931683
eval_001,prefill__C1,16384,64,0.02,fixed_diffuse,16384,1.0,energy,1.0,0.02,0.02092569913794546,8.221316005239358e-18,0.99979152931683
eval_001,prefill__C1,16384,64,0.02,fixed_diffuse,16384,1.0,directional,0.390625,0.02,0.02092569913794546,8.221316005239358e-18,0.99979152931683
eval_001,prefill__C1,16384,64,0.02,fixed_diffuse,16384,1.0,combined,1.0,0.02,0.02092569913794546,8.221316005239358e-18,0.99979152931683
eval_001,prefill__C1,16384,64,0.02,fixed_directional,16371,1.0,spike,0.0078125,0.019999999999999997,0.020925699137945463,-2.1233640029878523e-18,0.999791234810511
eval_001,prefill__C1,16384,64,0.02,fixed_directional,16371,1.0,energy,1.0,0.019999999999999997,0.020925699137945463,-2.1233640029878523e-18,0.999791234810511
eval_001,prefill__C1,16384,64,0.02,fixed_directional,16371,1.0,directional,1.0,0.019999999999999997,0.020925699137945463,-2.1233640029878523e-18,0.999791234810511
eval_001,prefill__C1,16384,64,0.02,fixed_directional,16371,1.0,combined,1.0,0.019999999999999997,0.020925699137945463,-2.1233640029878523e-18,0.999791234810511
eval_001,prefill__C1,16384,64,0.02,fixed_sparse16,16,0.078125,spike,0.076171875,0.02,0.020925699137945467,-5.980360641326546e-19,0.9997908352730334
eval_001,prefill__C1,16384,64,0.02,fixed_sparse16,16,0.078125,energy,0.076171875,0.02,0.020925699137945467,-5.980360641326546e-19,0.9997908352730334
eval_001,prefill__C1,16384,64,0.02,fixed_sparse16,16,0.078125,directional,0.076171875,0.02,0.020925699137945467,-5.980360641326546e-19,0.9997908352730334
eval_001,prefill__C1,16384,64,0.02,fixed_sparse16,16,0.078125,combined,0.076171875,0.02,0.020925699137945467,-5.980360641326546e-19,0.9997908352730334
eval_001,prefill__C1,16384,64,0.02,adaptive_joint,16,0.0546875,spike,0.041015625,0.019999999960375235,0.020925699101235054,1.974329698979963e-10,0.9997908488588426
eval_001,prefill__C1,16384,64,0.02,adaptive_joint,16,0.0546875,energy,0.041015625,0.019999999960375235,0.020925699101235054,1.974329698979963e-10,0.9997908488588426
eval_001,prefill__C1,16384,64,0.02,adaptive_joint,16,0.0546875,directional,0.037109375,0.019999999960375235,0.020925699101235054,1.974329698979963e-10,0.9997908488588426
eval_001,prefill__C1,16384,64,0.02,adaptive_joint,16,0.0546875,combined,0.041015625,0.019999999960375235,0.020925699101235054,1.974329698979963e-10,0.9997908488588426
