checkpoint,q,attack,timing,rho,statistic,detected,trials,rate
prefill__C1,64,diffuse_balanced,post_commit,0.002,combined,7,768,0.009114583333333334
prefill__C1,64,diffuse_balanced,post_commit,0.002,directional,3,768,0.00390625
prefill__C1,64,diffuse_balanced,post_commit,0.002,energy,5,768,0.006510416666666667
prefill__C1,64,diffuse_balanced,post_commit,0.002,spike,4,768,0.005208333333333333
prefill__C1,64,diffuse_balanced,post_commit,0.005,combined,47,768,0.061197916666666664
prefill__C1,64,diffuse_balanced,post_commit,0.005,directional,23,768,0.029947916666666668
prefill__C1,64,diffuse_balanced,post_commit,0.005,energy,26,768,0.033854166666666664
prefill__C1,64,diffuse_balanced,post_commit,0.005,spike,3,768,0.00390625
prefill__C1,64,diffuse_balanced,post_commit,0.01,combined,768,768,1.0
prefill__C1,64,diffuse_balanced,post_commit,0.01,directional,151,768,0.19661458333333334
prefill__C1,64,diffuse_balanced,post_commit,0.01,energy,768,768,1.0
prefill__C1,64,diffuse_balanced,post_commit,0.01,spike,4,768,0.005208333333333333
prefill__C1,64,diffuse_balanced,post_commit,0.02,combined,768,768,1.0
prefill__C1,64,diffuse_balanced,post_commit,0.02,directional,382,768,0.4973958333333333
prefill__C1,64,diffuse_balanced,post_commit,0.02,energy,768,768,1.0
prefill__C1,64,diffuse_balanced,post_commit,0.02,spike,12,768,0.015625
prefill__C1,64,diffuse_balanced,post_commit,0.05,combined,768,768,1.0
prefill__C1,64,diffuse_balanced,post_commit,0.05,directional,606,768,0.7890625
prefill__C1,64,diffuse_balanced,post_commit,0.05,energy,768,768,1.0
prefill__C1,64,diffuse_balanced,post_commit,0.05,spike,433,768,0.5638020833333334
prefill__C1,64,diffuse_balanced,post_commit,0.1,combined,768,768,1.0
prefill__C1,64,diffuse_balanced,post_commit,0.1,directional,685,768,0.8919270833333334
prefill__C1,64,diffuse_balanced,post_commit,0.1,energy,768,768,1.0
prefill__C1,64,diffuse_balanced,post_commit,0.1,spike,768,768,1.0
prefill__C1,64,directional,post_commit,0.002,combined,470,768,0.6119791666666666
prefill__C1,64,directional,post_commit,0.002,directional,466,768,0.6067708333333334
prefill__C1,64,directional,post_commit,0.002,energy,7,768,0.009114583333333334
prefill__C1,64,directional,post_commit,0.002,spike,4,768,0.005208333333333333
prefill__C1,64,directional,post_commit,0.005,combined,768,768,1.0
prefill__C1,64,directional,post_commit,0.005,directional,768,768,1.0
prefill__C1,64,directional,post_commit,0.005,energy,15,768,0.01953125
prefill__C1,64,directional,post_commit,0.005,spike,2,768,0.0026041666666666665
prefill__C1,64,directional,post_commit,0.01,combined,768,768,1.0
prefill__C1,64,directional,post_commit,0.01,directional,767,768,0.9986979166666666
prefill__C1,64,directional,post_commit,0.01,energy,768,768,1.0
prefill__C1,64,directional,post_commit,0.01,spike,2,768,0.0026041666666666665
prefill__C1,64,directional,post_commit,0.02,combined,768,768,1.0
prefill__C1,64,directional,post_commit,0.02,directional,768,768,1.0
prefill__C1,64,directional,post_commit,0.02,energy,768,768,1.0
prefill__C1,64,directional,post_commit,0.02,spike,6,768,0.0078125
prefill__C1,64,directional,post_commit,0.05,combined,768,768,1.0
prefill__C1,64,directional,post_commit,0.05,directional,768,768,1.0
prefill__C1,64,directional,post_commit,0.05,energy,768,768,1.0
prefill__C1,64,directional,post_commit,0.05,spike,348,768,0.453125
prefill__C1,64,directional,post_commit,0.1,combined,768,768,1.0
prefill__C1,64,directional,post_commit,0.1,directional,768,768,1.0
prefill__C1,64,directional,post_commit,0.1,energy,768,768,1.0
prefill__C1,64,directional,post_commit,0.1,spike,768,768,1.0
prefill__C1,64,honest,none,0.0,combined,6,768,0.0078125
prefill__C1,64,honest,none,0.0,directional,2,768,0.0026041666666666665
prefill__C1,64,honest,none,0.0,energy,5,768,0.006510416666666667
prefill__C1,64,honest,none,0.0,spike,4,768,0.005208333333333333
prefill__C1,64,sample_null,known_coordinates,0.002,combined,6,768,0.0078125
prefill__C1,64,sample_null,known_coordinates,0.002,directional,2,768,0.0026041666666666665
prefill__C1,64,sample_null,known_coordinates,0.002,energy,5,768,0.006510416666666667
prefill__C1,64,sample_null,known_coordinates,0.002,spike,4,768,0.005208333333333333
prefill__C1,64,sample_null,known_coordinates,0.005,combined,6,768,0.0078125
prefill__C1,64,sample_null,known_coordinates,0.005,directional,2,768,0.0026041666666666665
prefill__C1,64,sample_null,known_coordinates,0.005,energy,5,768,0.006510416666666667
prefill__C1,64,sample_null,known_coordinates,0.005,spike,4,768,0.005208333333333333
prefill__C1,64,sample_null,known_coordinates,0.01,combined,6,768,0.0078125
prefill__C1,64,sample_null,known_coordinates,0.01,directional,2,768,0.0026041666666666665
prefill__C1,64,sample_null,known_coordinates,0.01,energy,5,768,0.006510416666666667
prefill__C1,64,sample_null,known_coordinates,0.01,spike,4,768,0.005208333333333333
prefill__C1,64,sample_null,known_coordinates,0.02,combined,6,768,0.0078125
prefill__C1,64,sample_null,known_coordinates,0.02,directional,2,768,0.0026041666666666665
prefill__C1,64,sample_null,known_coordinates,0.02,energy,5,768,0.006510416666666667
prefill__C1,64,sample_null,known_coordinates,0.02,spike,4,768,0.005208333333333333
prefill__C1,64,sample_null,known_coordinates,0.05,combined,6,768,0.0078125
prefill__C1,64,sample_null,known_coordinates,0.05,directional,2,768,0.0026041666666666665
prefill__C1,64,sample_null,known_coordinates,0.05,energy,5,768,0.006510416666666667
prefill__C1,64,sample_null,known_coordinates,0.05,spike,4,768,0.005208333333333333
prefill__C1,64,sample_null,known_coordinates,0.1,combined,6,768,0.0078125
prefill__C1,64,sample_null,known_coordinates,0.1,directional,2,768,0.0026041666666666665
prefill__C1,64,sample_null,known_coordinates,0.1,energy,5,768,0.006510416666666667
prefill__C1,64,sample_null,known_coordinates,0.1,spike,4,768,0.005208333333333333
prefill__C1,64,sample_null,post_commit,0.002,combined,7,768,0.009114583333333334
prefill__C1,64,sample_null,post_commit,0.002,directional,2,768,0.0026041666666666665
