checkpoint,q,attack,timing,rho,statistic,detected,trials,rate
all,64,diffuse_balanced,post_commit,0.002,combined,43,2304,0.018663194444444444
all,64,diffuse_balanced,post_commit,0.002,directional,9,2304,0.00390625
all,64,diffuse_balanced,post_commit,0.002,energy,34,2304,0.014756944444444444
all,64,diffuse_balanced,post_commit,0.002,spike,20,2304,0.008680555555555556
all,64,diffuse_balanced,post_commit,0.005,combined,106,2304,0.04600694444444445
all,64,diffuse_balanced,post_commit,0.005,directional,44,2304,0.019097222222222224
all,64,diffuse_balanced,post_commit,0.005,energy,67,2304,0.029079861111111112
all,64,diffuse_balanced,post_commit,0.005,spike,19,2304,0.008246527777777778
all,64,diffuse_balanced,post_commit,0.01,combined,1588,2304,0.6892361111111112
all,64,diffuse_balanced,post_commit,0.01,directional,297,2304,0.12890625
all,64,diffuse_balanced,post_commit,0.01,energy,1581,2304,0.6861979166666666
all,64,diffuse_balanced,post_commit,0.01,spike,20,2304,0.008680555555555556
all,64,diffuse_balanced,post_commit,0.02,combined,1890,2304,0.8203125
all,64,diffuse_balanced,post_commit,0.02,directional,753,2304,0.3268229166666667
all,64,diffuse_balanced,post_commit,0.02,energy,1886,2304,0.8185763888888888
all,64,diffuse_balanced,post_commit,0.02,spike,42,2304,0.018229166666666668
all,64,diffuse_balanced,post_commit,0.05,combined,2304,2304,1.0
all,64,diffuse_balanced,post_commit,0.05,directional,1394,2304,0.6050347222222222
all,64,diffuse_balanced,post_commit,0.05,energy,2304,2304,1.0
all,64,diffuse_balanced,post_commit,0.05,spike,906,2304,0.3932291666666667
all,64,diffuse_balanced,post_commit,0.1,combined,2304,2304,1.0
all,64,diffuse_balanced,post_commit,0.1,directional,1805,2304,0.7834201388888888
all,64,diffuse_balanced,post_commit,0.1,energy,2304,2304,1.0
all,64,diffuse_balanced,post_commit,0.1,spike,1859,2304,0.8068576388888888
all,64,directional,post_commit,0.002,combined,920,2304,0.3993055555555556
all,64,directional,post_commit,0.002,directional,889,2304,0.3858506944444444
all,64,directional,post_commit,0.002,energy,33,2304,0.014322916666666666
all,64,directional,post_commit,0.002,spike,19,2304,0.008246527777777778
all,64,directional,post_commit,0.005,combined,1622,2304,0.7039930555555556
all,64,directional,post_commit,0.005,directional,1603,2304,0.6957465277777778
all,64,directional,post_commit,0.005,energy,51,2304,0.022135416666666668
all,64,directional,post_commit,0.005,spike,15,2304,0.006510416666666667
all,64,directional,post_commit,0.01,combined,2202,2304,0.9557291666666666
all,64,directional,post_commit,0.01,directional,2193,2304,0.9518229166666666
all,64,directional,post_commit,0.01,energy,1573,2304,0.6827256944444444
all,64,directional,post_commit,0.01,spike,15,2304,0.006510416666666667
all,64,directional,post_commit,0.02,combined,2304,2304,1.0
all,64,directional,post_commit,0.02,directional,2304,2304,1.0
all,64,directional,post_commit,0.02,energy,1822,2304,0.7907986111111112
all,64,directional,post_commit,0.02,spike,31,2304,0.013454861111111112
all,64,directional,post_commit,0.05,combined,2304,2304,1.0
all,64,directional,post_commit,0.05,directional,2304,2304,1.0
all,64,directional,post_commit,0.05,energy,2304,2304,1.0
all,64,directional,post_commit,0.05,spike,762,2304,0.3307291666666667
all,64,directional,post_commit,0.1,combined,2304,2304,1.0
all,64,directional,post_commit,0.1,directional,2304,2304,1.0
all,64,directional,post_commit,0.1,energy,2304,2304,1.0
all,64,directional,post_commit,0.1,spike,1834,2304,0.7960069444444444
all,64,honest,none,0.0,combined,39,2304,0.016927083333333332
all,64,honest,none,0.0,directional,6,2304,0.0026041666666666665
