checkpoint,q,statistic,threshold,calibration_draws,target_alpha_combined,target_alpha_statistic
prefill__C1,64,directional,0.0017174127237281488,12288,0.01,0.0033333333333333335
prefill__C1,64,energy,7.41217833336845e-05,12288,0.01,0.0033333333333333335
prefill__C1,64,spike,0.06250889127484414,12288,0.01,0.0033333333333333335
prefill__C1,128,directional,0.004054027569881536,12288,0.01,0.0033333333333333335
prefill__C1,128,energy,0.0022215472854606056,12288,0.01,0.0033333333333333335
prefill__C1,128,spike,0.5314546174180836,12288,0.01,0.0033333333333333335
prefill__C1,256,directional,0.0020505340789772116,12288,0.01,0.0033333333333333335
prefill__C1,256,energy,0.0011258834491142768,12288,0.01,0.0033333333333333335
prefill__C1,256,spike,0.5314546174180836,12288,0.01,0.0033333333333333335
prefill__C1,512,directional,0.0012470381719799821,12288,0.01,0.0033333333333333335
prefill__C1,512,energy,0.0006294957573858021,12288,0.01,0.0033333333333333335
prefill__C1,512,spike,0.5613146619484041,12288,0.01,0.0033333333333333335
prefill__C2,64,directional,0.0018280531724202743,12288,0.01,0.0033333333333333335
prefill__C2,64,energy,8.14877549133266e-05,12288,0.01,0.0033333333333333335
prefill__C2,64,spike,0.06248526759603596,12288,0.01,0.0033333333333333335
prefill__C2,128,directional,0.0036992531281656166,12288,0.01,0.0033333333333333335
prefill__C2,128,energy,0.002218918504403934,12288,0.01,0.0033333333333333335
prefill__C2,128,spike,0.5312353953667807,12288,0.01,0.0033333333333333335
prefill__C2,256,directional,0.002185813391935602,12288,0.01,0.0033333333333333335
prefill__C2,256,energy,0.0012340371301573412,12288,0.01,0.0033333333333333335
prefill__C2,256,spike,0.5610406861911184,12288,0.01,0.0033333333333333335
prefill__C2,512,directional,0.0012333949660583014,12288,0.01,0.0033333333333333335
prefill__C2,512,energy,0.0006282761862060651,12288,0.01,0.0033333333333333335
prefill__C2,512,spike,0.5610406861911184,12288,0.01,0.0033333333333333335
prefill__C3,64,directional,0.007130244405909353,12288,0.01,0.0033333333333333335
prefill__C3,64,energy,0.0006926381942801654,12288,0.01,0.0033333333333333335
prefill__C3,64,spike,0.1493242772686861,12288,0.01,0.0033333333333333335
prefill__C3,128,directional,0.005545444110048214,12288,0.01,0.0033333333333333335
prefill__C3,128,energy,0.0005690131828446285,12288,0.01,0.0033333333333333335
prefill__C3,128,spike,0.15834560309790682,12288,0.01,0.0033333333333333335
prefill__C3,256,directional,0.004385492204067153,12288,0.01,0.0033333333333333335
prefill__C3,256,energy,0.0004961317174522271,12288,0.01,0.0033333333333333335
prefill__C3,256,spike,0.16058642163657444,12288,0.01,0.0033333333333333335
prefill__C3,512,directional,0.0035749203584444205,12288,0.01,0.0033333333333333335
prefill__C3,512,energy,0.00043797618015343424,12288,0.01,0.0033333333333333335
prefill__C3,512,spike,0.21911140314382552,12288,0.01,0.0033333333333333335
