prompt_id,checkpoint,q,repeat,n
eval_001,prefill__C1,64,0,16384
eval_001,prefill__C1,64,1,16384
eval_001,prefill__C1,64,2,16384
eval_001,prefill__C1,64,3,16384
eval_001,prefill__C1,256,0,16384
eval_001,prefill__C1,256,1,16384
eval_001,prefill__C1,256,2,16384
eval_001,prefill__C1,256,3,16384
eval_001,prefill__C2,64,0,16384
eval_001,prefill__C2,64,1,16384
eval_001,prefill__C2,64,2,16384
eval_001,prefill__C2,64,3,16384
eval_001,prefill__C2,256,0,16384
eval_001,prefill__C2,256,1,16384
eval_001,prefill__C2,256,2,16384
eval_001,prefill__C2,256,3,16384
eval_001,prefill__C3,64,0,16384
eval_001,prefill__C3,64,1,16384
eval_001,prefill__C3,64,2,16384
eval_001,prefill__C3,64,3,16384
eval_001,prefill__C3,256,0,16384
eval_001,prefill__C3,256,1,16384
eval_001,prefill__C3,256,2,16384
eval_001,prefill__C3,256,3,16384
eval_002,prefill__C1,64,0,17408
eval_002,prefill__C1,64,1,17408
eval_002,prefill__C1,64,2,17408
eval_002,prefill__C1,64,3,17408
eval_002,prefill__C1,256,0,17408
eval_002,prefill__C1,256,1,17408
eval_002,prefill__C1,256,2,17408
eval_002,prefill__C1,256,3,17408
eval_002,prefill__C2,64,0,17408
eval_002,prefill__C2,64,1,17408
eval_002,prefill__C2,64,2,17408
eval_002,prefill__C2,64,3,17408
eval_002,prefill__C2,256,0,17408
eval_002,prefill__C2,256,1,17408
eval_002,prefill__C2,256,2,17408
eval_002,prefill__C2,256,3,17408
eval_002,prefill__C3,64,0,17408
eval_002,prefill__C3,64,1,17408
eval_002,prefill__C3,64,2,17408
eval_002,prefill__C3,64,3,17408
eval_002,prefill__C3,256,0,17408
eval_002,prefill__C3,256,1,17408
eval_002,prefill__C3,256,2,17408
eval_002,prefill__C3,256,3,17408
eval_003,prefill__C1,64,0,15360
eval_003,prefill__C1,64,1,15360
eval_003,prefill__C1,64,2,15360
eval_003,prefill__C1,64,3,15360
eval_003,prefill__C1,256,0,15360
eval_003,prefill__C1,256,1,15360
eval_003,prefill__C1,256,2,15360
eval_003,prefill__C1,256,3,15360
eval_003,prefill__C2,64,0,15360
eval_003,prefill__C2,64,1,15360
eval_003,prefill__C2,64,2,15360
eval_003,prefill__C2,64,3,15360
eval_003,prefill__C2,256,0,15360
eval_003,prefill__C2,256,1,15360
eval_003,prefill__C2,256,2,15360
eval_003,prefill__C2,256,3,15360
eval_003,prefill__C3,64,0,15360
eval_003,prefill__C3,64,1,15360
eval_003,prefill__C3,64,2,15360
eval_003,prefill__C3,64,3,15360
eval_003,prefill__C3,256,0,15360
eval_003,prefill__C3,256,1,15360
eval_003,prefill__C3,256,2,15360
eval_003,prefill__C3,256,3,15360
eval_004,prefill__C1,64,0,15360
eval_004,prefill__C1,64,1,15360
eval_004,prefill__C1,64,2,15360
eval_004,prefill__C1,64,3,15360
eval_004,prefill__C1,256,0,15360
eval_004,prefill__C1,256,1,15360
eval_004,prefill__C1,256,2,15360
eval_004,prefill__C1,256,3,15360
eval_004,prefill__C2,64,0,15360
eval_004,prefill__C2,64,1,15360
eval_004,prefill__C2,64,2,15360
eval_004,prefill__C2,64,3,15360
eval_004,prefill__C2,256,0,15360
eval_004,prefill__C2,256,1,15360
eval_004,prefill__C2,256,2,15360
eval_004,prefill__C2,256,3,15360
eval_004,prefill__C3,64,0,15360
eval_004,prefill__C3,64,1,15360
eval_004,prefill__C3,64,2,15360
eval_004,prefill__C3,64,3,15360
eval_004,prefill__C3,256,0,15360
eval_004,prefill__C3,256,1,15360
eval_004,prefill__C3,256,2,15360
eval_004,prefill__C3,256,3,15360
eval_005,prefill__C1,64,0,15360
eval_005,prefill__C1,64,1,15360
eval_005,prefill__C1,64,2,15360
eval_005,prefill__C1,64,3,15360
eval_005,prefill__C1,256,0,15360
eval_005,prefill__C1,256,1,15360
eval_005,prefill__C1,256,2,15360
eval_005,prefill__C1,256,3,15360
eval_005,prefill__C2,64,0,15360
eval_005,prefill__C2,64,1,15360
eval_005,prefill__C2,64,2,15360
eval_005,prefill__C2,64,3,15360
eval_005,prefill__C2,256,0,15360
eval_005,prefill__C2,256,1,15360
eval_005,prefill__C2,256,2,15360
eval_005,prefill__C2,256,3,15360
eval_005,prefill__C3,64,0,15360
eval_005,prefill__C3,64,1,15360
eval_005,prefill__C3,64,2,15360
eval_005,prefill__C3,64,3,15360
eval_005,prefill__C3,256,0,15360
eval_005,prefill__C3,256,1,15360
eval_005,prefill__C3,256,2,15360
eval_005,prefill__C3,256,3,15360
eval_006,prefill__C1,64,0,15360
eval_006,prefill__C1,64,1,15360
eval_006,prefill__C1,64,2,15360
eval_006,prefill__C1,64,3,15360
eval_006,prefill__C1,256,0,15360
eval_006,prefill__C1,256,1,15360
eval_006,prefill__C1,256,2,15360
eval_006,prefill__C1,256,3,15360
