checkpoint,q,attack,timing,rho,statistic,detected,trials,rate
prefill__C1,64,diffuse_balanced,post_commit,0.01,combined,48,48,1.0
prefill__C1,64,diffuse_balanced,post_commit,0.01,directional,15,48,0.3125
prefill__C1,64,diffuse_balanced,post_commit,0.01,energy,48,48,1.0
prefill__C1,64,diffuse_balanced,post_commit,0.01,spike,1,48,0.020833333333333332
prefill__C1,64,diffuse_balanced,post_commit,0.1,combined,48,48,1.0
prefill__C1,64,diffuse_balanced,post_commit,0.1,directional,46,48,0.9583333333333334
prefill__C1,64,diffuse_balanced,post_commit,0.1,energy,48,48,1.0
prefill__C1,64,diffuse_balanced,post_commit,0.1,spike,48,48,1.0
prefill__C1,64,directional,post_commit,0.01,combined,48,48,1.0
prefill__C1,64,directional,post_commit,0.01,directional,48,48,1.0
prefill__C1,64,directional,post_commit,0.01,energy,48,48,1.0
prefill__C1,64,directional,post_commit,0.01,spike,1,48,0.020833333333333332
prefill__C1,64,directional,post_commit,0.1,combined,48,48,1.0
prefill__C1,64,directional,post_commit,0.1,directional,48,48,1.0
prefill__C1,64,directional,post_commit,0.1,energy,48,48,1.0
prefill__C1,64,directional,post_commit,0.1,spike,48,48,1.0
prefill__C1,64,honest,none,0.0,combined,2,48,0.041666666666666664
prefill__C1,64,honest,none,0.0,directional,1,48,0.020833333333333332
prefill__C1,64,honest,none,0.0,energy,1,48,0.020833333333333332
prefill__C1,64,honest,none,0.0,spike,0,48,0.0
prefill__C1,64,sample_null,known_coordinates,0.01,combined,2,48,0.041666666666666664
prefill__C1,64,sample_null,known_coordinates,0.01,directional,1,48,0.020833333333333332
prefill__C1,64,sample_null,known_coordinates,0.01,energy,1,48,0.020833333333333332
prefill__C1,64,sample_null,known_coordinates,0.01,spike,0,48,0.0
prefill__C1,64,sample_null,known_coordinates,0.1,combined,2,48,0.041666666666666664
prefill__C1,64,sample_null,known_coordinates,0.1,directional,1,48,0.020833333333333332
prefill__C1,64,sample_null,known_coordinates,0.1,energy,1,48,0.020833333333333332
prefill__C1,64,sample_null,known_coordinates,0.1,spike,0,48,0.0
prefill__C1,64,sample_null,post_commit,0.01,combined,48,48,1.0
prefill__C1,64,sample_null,post_commit,0.01,directional,18,48,0.375
prefill__C1,64,sample_null,post_commit,0.01,energy,48,48,1.0
prefill__C1,64,sample_null,post_commit,0.01,spike,1,48,0.020833333333333332
prefill__C1,64,sample_null,post_commit,0.1,combined,48,48,1.0
prefill__C1,64,sample_null,post_commit,0.1,directional,41,48,0.8541666666666666
prefill__C1,64,sample_null,post_commit,0.1,energy,48,48,1.0
prefill__C1,64,sample_null,post_commit,0.1,spike,48,48,1.0
prefill__C1,64,sparse_16,post_commit,0.01,combined,7,48,0.14583333333333334
prefill__C1,64,sparse_16,post_commit,0.01,directional,6,48,0.125
prefill__C1,64,sparse_16,post_commit,0.01,energy,6,48,0.125
prefill__C1,64,sparse_16,post_commit,0.01,spike,5,48,0.10416666666666667
prefill__C1,64,sparse_16,post_commit,0.1,combined,6,48,0.125
prefill__C1,64,sparse_16,post_commit,0.1,directional,5,48,0.10416666666666667
prefill__C1,64,sparse_16,post_commit,0.1,energy,5,48,0.10416666666666667
prefill__C1,64,sparse_16,post_commit,0.1,spike,4,48,0.08333333333333333
prefill__C1,64,spike_1,post_commit,0.01,combined,2,48,0.041666666666666664
prefill__C1,64,spike_1,post_commit,0.01,directional,1,48,0.020833333333333332
prefill__C1,64,spike_1,post_commit,0.01,energy,1,48,0.020833333333333332
prefill__C1,64,spike_1,post_commit,0.01,spike,0,48,0.0
prefill__C1,64,spike_1,post_commit,0.1,combined,2,48,0.041666666666666664
prefill__C1,64,spike_1,post_commit,0.1,directional,1,48,0.020833333333333332
prefill__C1,64,spike_1,post_commit,0.1,energy,1,48,0.020833333333333332
prefill__C1,64,spike_1,post_commit,0.1,spike,0,48,0.0
prefill__C1,256,diffuse_balanced,post_commit,0.01,combined,48,48,1.0
prefill__C1,256,diffuse_balanced,post_commit,0.01,directional,13,48,0.2708333333333333
prefill__C1,256,diffuse_balanced,post_commit,0.01,energy,48,48,1.0
prefill__C1,256,diffuse_balanced,post_commit,0.01,spike,0,48,0.0
prefill__C1,256,diffuse_balanced,post_commit,0.1,combined,48,48,1.0
prefill__C1,256,diffuse_balanced,post_commit,0.1,directional,44,48,0.9166666666666666
prefill__C1,256,diffuse_balanced,post_commit,0.1,energy,48,48,1.0
prefill__C1,256,diffuse_balanced,post_commit,0.1,spike,48,48,1.0
prefill__C1,256,directional,post_commit,0.01,combined,48,48,1.0
prefill__C1,256,directional,post_commit,0.01,directional,48,48,1.0
prefill__C1,256,directional,post_commit,0.01,energy,48,48,1.0
prefill__C1,256,directional,post_commit,0.01,spike,0,48,0.0
prefill__C1,256,directional,post_commit,0.1,combined,48,48,1.0
prefill__C1,256,directional,post_commit,0.1,directional,48,48,1.0
prefill__C1,256,directional,post_commit,0.1,energy,48,48,1.0
prefill__C1,256,directional,post_commit,0.1,spike,48,48,1.0
prefill__C1,256,honest,none,0.0,combined,0,48,0.0
prefill__C1,256,honest,none,0.0,directional,0,48,0.0
prefill__C1,256,honest,none,0.0,energy,0,48,0.0
prefill__C1,256,honest,none,0.0,spike,0,48,0.0
prefill__C1,256,sample_null,known_coordinates,0.01,combined,0,48,0.0
prefill__C1,256,sample_null,known_coordinates,0.01,directional,0,48,0.0
prefill__C1,256,sample_null,known_coordinates,0.01,energy,0,48,0.0
prefill__C1,256,sample_null,known_coordinates,0.01,spike,0,48,0.0
prefill__C1,256,sample_null,known_coordinates,0.1,combined,0,48,0.0
prefill__C1,256,sample_null,known_coordinates,0.1,directional,0,48,0.0
prefill__C1,256,sample_null,known_coordinates,0.1,energy,0,48,0.0
prefill__C1,256,sample_null,known_coordinates,0.1,spike,0,48,0.0
prefill__C1,256,sample_null,post_commit,0.01,combined,48,48,1.0
prefill__C1,256,sample_null,post_commit,0.01,directional,8,48,0.16666666666666666
prefill__C1,256,sample_null,post_commit,0.01,energy,48,48,1.0
prefill__C1,256,sample_null,post_commit,0.01,spike,0,48,0.0
prefill__C1,256,sample_null,post_commit,0.1,combined,48,48,1.0
prefill__C1,256,sample_null,post_commit,0.1,directional,42,48,0.875
prefill__C1,256,sample_null,post_commit,0.1,energy,48,48,1.0
prefill__C1,256,sample_null,post_commit,0.1,spike,48,48,1.0
prefill__C1,256,sparse_16,post_commit,0.01,combined,16,48,0.3333333333333333
prefill__C1,256,sparse_16,post_commit,0.01,directional,15,48,0.3125
prefill__C1,256,sparse_16,post_commit,0.01,energy,16,48,0.3333333333333333
prefill__C1,256,sparse_16,post_commit,0.01,spike,16,48,0.3333333333333333
prefill__C1,256,sparse_16,post_commit,0.1,combined,12,48,0.25
prefill__C1,256,sparse_16,post_commit,0.1,directional,12,48,0.25
prefill__C1,256,sparse_16,post_commit,0.1,energy,12,48,0.25
prefill__C1,256,sparse_16,post_commit,0.1,spike,12,48,0.25
prefill__C1,256,spike_1,post_commit,0.01,combined,0,48,0.0
prefill__C1,256,spike_1,post_commit,0.01,directional,0,48,0.0
prefill__C1,256,spike_1,post_commit,0.01,energy,0,48,0.0
prefill__C1,256,spike_1,post_commit,0.01,spike,0,48,0.0
prefill__C1,256,spike_1,post_commit,0.1,combined,0,48,0.0
prefill__C1,256,spike_1,post_commit,0.1,directional,0,48,0.0
prefill__C1,256,spike_1,post_commit,0.1,energy,0,48,0.0
prefill__C1,256,spike_1,post_commit,0.1,spike,0,48,0.0
