checkpoint,q,statistic,threshold,calibration_draws,target_alpha_combined,target_alpha_statistic
prefill__C1,64,directional,0.0012776033657614081,96,0.01,0.0033333333333333335
prefill__C1,64,energy,4.602358147012767e-05,96,0.01,0.0033333333333333335
prefill__C1,64,spike,0.04988766347112974,96,0.01,0.0033333333333333335
prefill__C1,256,directional,0.0007991195142649191,96,0.01,0.0033333333333333335
prefill__C1,256,energy,3.5831183170730404e-05,96,0.01,0.0033333333333333335
prefill__C1,256,spike,0.06876822533866499,96,0.01,0.0033333333333333335
prefill__C2,64,directional,0.0014508489260498226,96,0.01,0.0033333333333333335
prefill__C2,64,energy,6.877322095964494e-05,96,0.01,0.0033333333333333335
prefill__C2,64,spike,0.040133037366698654,96,0.01,0.0033333333333333335
prefill__C2,256,directional,0.0021518711516685645,96,0.01,0.0033333333333333335
prefill__C2,256,energy,0.0012436745923470262,96,0.01,0.0033333333333333335
prefill__C2,256,spike,0.5610406861911184,96,0.01,0.0033333333333333335
prefill__C3,64,directional,0.008284752647269026,96,0.01,0.0033333333333333335
prefill__C3,64,energy,0.0005530538277089153,96,0.01,0.0033333333333333335
prefill__C3,64,spike,0.12657840519665076,96,0.01,0.0033333333333333335
prefill__C3,256,directional,0.0039253682472835585,96,0.01,0.0033333333333333335
prefill__C3,256,energy,0.00048489294657366386,96,0.01,0.0033333333333333335
prefill__C3,256,spike,0.1493242772686861,96,0.01,0.0033333333333333335
