mode_id,p_a,u,E_C_verify,cost_ratio_vs_duplicate,within_cost_cap
V0_passive,0,0,0.03,0.03,True
V0_passive,0.001,0,0.03,0.03,True
V0_passive,0.002,0,0.03,0.03,True
V0_passive,0.005,0,0.03,0.03,True
V0_passive,0.01,0,0.03,0.03,True
V0_passive,0.02,0,0.03,0.03,True
V0_passive,0.05,0,0.03,0.03,True
V0_passive,0.1,0,0.03,0.03,True
V0_passive,0.2,0,0.03,0.03,True
V0_passive,0.5,0,0.03,0.03,True
V0_passive,1.0,0,0.03,0.03,True
V0_passive,0,0.01,0.03,0.03,True
V0_passive,0.001,0.01,0.03,0.03,True
V0_passive,0.002,0.01,0.03,0.03,True
V0_passive,0.005,0.01,0.03,0.03,True
V0_passive,0.01,0.01,0.03,0.03,True
V0_passive,0.02,0.01,0.03,0.03,True
V0_passive,0.05,0.01,0.03,0.03,True
V0_passive,0.1,0.01,0.03,0.03,True
V0_passive,0.2,0.01,0.03,0.03,True
V0_passive,0.5,0.01,0.03,0.03,True
V0_passive,1.0,0.01,0.03,0.03,True
V0_passive,0,0.1,0.03,0.03,True
V0_passive,0.001,0.1,0.03,0.03,True
V0_passive,0.002,0.1,0.03,0.03,True
V0_passive,0.005,0.1,0.03,0.03,True
V0_passive,0.01,0.1,0.03,0.03,True
V0_passive,0.02,0.1,0.03,0.03,True
V0_passive,0.05,0.1,0.03,0.03,True
V0_passive,0.1,0.1,0.03,0.03,True
V0_passive,0.2,0.1,0.03,0.03,True
V0_passive,0.5,0.1,0.03,0.03,True
V0_passive,1.0,0.1,0.03,0.03,True
V0_passive,0,0.5,0.03,0.03,True
V0_passive,0.001,0.5,0.03,0.03,True
V0_passive,0.002,0.5,0.03,0.03,True
V0_passive,0.005,0.5,0.03,0.03,True
V0_passive,0.01,0.5,0.03,0.03,True
V0_passive,0.02,0.5,0.03,0.03,True
V0_passive,0.05,0.5,0.03,0.03,True
V0_passive,0.1,0.5,0.03,0.03,True
V0_passive,0.2,0.5,0.03,0.03,True
V0_passive,0.5,0.5,0.03,0.03,True
V0_passive,1.0,0.5,0.03,0.03,True
V0_passive,0,1.0,0.03,0.03,True
V0_passive,0.001,1.0,0.03,0.03,True
V0_passive,0.002,1.0,0.03,0.03,True
V0_passive,0.005,1.0,0.03,0.03,True
V0_passive,0.01,1.0,0.03,0.03,True
V0_passive,0.02,1.0,0.03,0.03,True
V0_passive,0.05,1.0,0.03,0.03,True
V0_passive,0.1,1.0,0.03,0.03,True
V0_passive,0.2,1.0,0.03,0.03,True
V0_passive,0.5,1.0,0.03,0.03,True
V0_passive,1.0,1.0,0.03,0.03,True
L1_prefill_local,0,0,0.05,0.05,True
L1_prefill_local,0.001,0,0.05034,0.05034,True
L1_prefill_local,0.002,0,0.05068,0.05068,True
L1_prefill_local,0.005,0,0.0517,0.0517,True
L1_prefill_local,0.01,0,0.0534,0.0534,True
L1_prefill_local,0.02,0,0.0568,0.0568,True
L1_prefill_local,0.05,0,0.067,0.067,True
L1_prefill_local,0.1,0,0.08399999999999999,0.08399999999999999,True
L1_prefill_local,0.2,0,0.118,0.118,True
L1_prefill_local,0.5,0,0.21999999999999997,0.21999999999999997,True
L1_prefill_local,1.0,0,0.38999999999999996,0.38999999999999996,True
L1_prefill_local,0,0.01,0.05,0.05,True
L1_prefill_local,0.001,0.01,0.050341500000000004,0.050341500000000004,True
