mode_id,d,u,p_a_min_for_risk,feasible_p_a,n_feasible,feasible
V0_passive,0.5,0,infeasible,[],0,False
V0_passive,0.5,0.01,infeasible,[],0,False
V0_passive,0.5,0.1,infeasible,[],0,False
V0_passive,0.5,0.5,infeasible,[],0,False
V0_passive,0.5,1.0,infeasible,[],0,False
V0_passive,0.9,0,infeasible,[],0,False
V0_passive,0.9,0.01,infeasible,[],0,False
V0_passive,0.9,0.1,infeasible,[],0,False
V0_passive,0.9,0.5,infeasible,[],0,False
V0_passive,0.9,1.0,infeasible,[],0,False
V0_passive,0.95,0,infeasible,[],0,False
V0_passive,0.95,0.01,infeasible,[],0,False
V0_passive,0.95,0.1,infeasible,[],0,False
V0_passive,0.95,0.5,infeasible,[],0,False
V0_passive,0.95,1.0,infeasible,[],0,False
V0_passive,0.99,0,1.0,[1],1,True
V0_passive,0.99,0.01,1.0,[1],1,True
V0_passive,0.99,0.1,1.0,[1],1,True
V0_passive,0.99,0.5,1.0,[1],1,True
V0_passive,0.99,1.0,1.0,[1],1,True
V0_passive,1.0,0,0.99,[1],1,True
V0_passive,1.0,0.01,0.99,[1],1,True
V0_passive,1.0,0.1,0.99,[1],1,True
V0_passive,1.0,0.5,0.99,[1],1,True
V0_passive,1.0,1.0,0.99,[1],1,True
L1_prefill_local,0.5,0,infeasible,[],0,False
L1_prefill_local,0.5,0.01,infeasible,[],0,False
L1_prefill_local,0.5,0.1,infeasible,[],0,False
L1_prefill_local,0.5,0.5,infeasible,[],0,False
L1_prefill_local,0.5,1.0,infeasible,[],0,False
L1_prefill_local,0.9,0,infeasible,[],0,False
L1_prefill_local,0.9,0.01,infeasible,[],0,False
L1_prefill_local,0.9,0.1,infeasible,[],0,False
L1_prefill_local,0.9,0.5,infeasible,[],0,False
L1_prefill_local,0.9,1.0,infeasible,[],0,False
L1_prefill_local,0.95,0,infeasible,[],0,False
L1_prefill_local,0.95,0.01,infeasible,[],0,False
L1_prefill_local,0.95,0.1,infeasible,[],0,False
L1_prefill_local,0.95,0.5,infeasible,[],0,False
L1_prefill_local,0.95,1.0,infeasible,[],0,False
L1_prefill_local,0.99,0,1.0,[1],1,True
L1_prefill_local,0.99,0.01,1.0,[1],1,True
L1_prefill_local,0.99,0.1,1.0,[1],1,True
L1_prefill_local,0.99,0.5,1.0,[1],1,True
L1_prefill_local,0.99,1.0,1.0,[],0,False
L1_prefill_local,1.0,0,0.99,[1],1,True
L1_prefill_local,1.0,0.01,0.99,[1],1,True
L1_prefill_local,1.0,0.1,0.99,[1],1,True
L1_prefill_local,1.0,0.5,0.99,[1],1,True
L1_prefill_local,1.0,1.0,0.99,[],0,False
L2_decode_local,0.5,0,infeasible,[],0,False
L2_decode_local,0.5,0.01,infeasible,[],0,False
L2_decode_local,0.5,0.1,infeasible,[],0,False
L2_decode_local,0.5,0.5,infeasible,[],0,False
L2_decode_local,0.5,1.0,infeasible,[],0,False
L2_decode_local,0.9,0,infeasible,[],0,False
L2_decode_local,0.9,0.01,infeasible,[],0,False
L2_decode_local,0.9,0.1,infeasible,[],0,False
L2_decode_local,0.9,0.5,infeasible,[],0,False
L2_decode_local,0.9,1.0,infeasible,[],0,False
L2_decode_local,0.95,0,infeasible,[],0,False
L2_decode_local,0.95,0.01,infeasible,[],0,False
L2_decode_local,0.95,0.1,infeasible,[],0,False
L2_decode_local,0.95,0.5,infeasible,[],0,False
L2_decode_local,0.95,1.0,infeasible,[],0,False
L2_decode_local,0.99,0,1.0,[],0,False
L2_decode_local,0.99,0.01,1.0,[],0,False
L2_decode_local,0.99,0.1,1.0,[],0,False
L2_decode_local,0.99,0.5,1.0,[],0,False
L2_decode_local,0.99,1.0,1.0,[],0,False
L2_decode_local,1.0,0,0.99,[],0,False
L2_decode_local,1.0,0.01,0.99,[],0,False
L2_decode_local,1.0,0.1,0.99,[],0,False
L2_decode_local,1.0,0.5,0.99,[],0,False
L2_decode_local,1.0,1.0,0.99,[],0,False
D0_duplicate,0.5,0,infeasible,[],0,False
D0_duplicate,0.5,0.01,infeasible,[],0,False
D0_duplicate,0.5,0.1,infeasible,[],0,False
D0_duplicate,0.5,0.5,infeasible,[],0,False
D0_duplicate,0.5,1.0,infeasible,[],0,False
D0_duplicate,0.9,0,infeasible,[],0,False
D0_duplicate,0.9,0.01,infeasible,[],0,False
D0_duplicate,0.9,0.1,infeasible,[],0,False
D0_duplicate,0.9,0.5,infeasible,[],0,False
D0_duplicate,0.9,1.0,infeasible,[],0,False
D0_duplicate,0.95,0,infeasible,[],0,False
D0_duplicate,0.95,0.01,infeasible,[],0,False
D0_duplicate,0.95,0.1,infeasible,[],0,False
D0_duplicate,0.95,0.5,infeasible,[],0,False
D0_duplicate,0.95,1.0,infeasible,[],0,False
D0_duplicate,0.99,0,1.0,[],0,False
D0_duplicate,0.99,0.01,1.0,[],0,False
D0_duplicate,0.99,0.1,1.0,[],0,False
D0_duplicate,0.99,0.5,1.0,[],0,False
D0_duplicate,0.99,1.0,1.0,[],0,False
D0_duplicate,1.0,0,0.99,[],0,False
D0_duplicate,1.0,0.01,0.99,[],0,False
D0_duplicate,1.0,0.1,0.99,[],0,False
D0_duplicate,1.0,0.5,0.99,[],0,False
D0_duplicate,1.0,1.0,0.99,[],0,False
