mode_id,target,d,p_a_min
V0_passive,0.9,0.5,infeasible
V0_passive,0.9,0.9,1.0
V0_passive,0.9,0.95,0.9473684210526316
V0_passive,0.9,0.99,0.9090909090909092
V0_passive,0.9,1.0,0.9
V0_passive,0.95,0.5,infeasible
V0_passive,0.95,0.9,infeasible
V0_passive,0.95,0.95,1.0
V0_passive,0.95,0.99,0.9595959595959596
V0_passive,0.95,1.0,0.95
V0_passive,0.99,0.5,infeasible
V0_passive,0.99,0.9,infeasible
V0_passive,0.99,0.95,infeasible
V0_passive,0.99,0.99,1.0
V0_passive,0.99,1.0,0.99
L1_prefill_local,0.9,0.5,infeasible
L1_prefill_local,0.9,0.9,1.0
L1_prefill_local,0.9,0.95,0.9473684210526316
L1_prefill_local,0.9,0.99,0.9090909090909092
L1_prefill_local,0.9,1.0,0.9
L1_prefill_local,0.95,0.5,infeasible
L1_prefill_local,0.95,0.9,infeasible
L1_prefill_local,0.95,0.95,1.0
L1_prefill_local,0.95,0.99,0.9595959595959596
L1_prefill_local,0.95,1.0,0.95
L1_prefill_local,0.99,0.5,infeasible
L1_prefill_local,0.99,0.9,infeasible
L1_prefill_local,0.99,0.95,infeasible
L1_prefill_local,0.99,0.99,1.0
L1_prefill_local,0.99,1.0,0.99
L2_decode_local,0.9,0.5,infeasible
L2_decode_local,0.9,0.9,1.0
L2_decode_local,0.9,0.95,0.9473684210526316
L2_decode_local,0.9,0.99,0.9090909090909092
L2_decode_local,0.9,1.0,0.9
L2_decode_local,0.95,0.5,infeasible
L2_decode_local,0.95,0.9,infeasible
L2_decode_local,0.95,0.95,1.0
L2_decode_local,0.95,0.99,0.9595959595959596
L2_decode_local,0.95,1.0,0.95
L2_decode_local,0.99,0.5,infeasible
L2_decode_local,0.99,0.9,infeasible
L2_decode_local,0.99,0.95,infeasible
L2_decode_local,0.99,0.99,1.0
L2_decode_local,0.99,1.0,0.99
D0_duplicate,0.9,0.5,infeasible
D0_duplicate,0.9,0.9,1.0
D0_duplicate,0.9,0.95,0.9473684210526316
D0_duplicate,0.9,0.99,0.9090909090909092
D0_duplicate,0.9,1.0,0.9
D0_duplicate,0.95,0.5,infeasible
D0_duplicate,0.95,0.9,infeasible
D0_duplicate,0.95,0.95,1.0
D0_duplicate,0.95,0.99,0.9595959595959596
D0_duplicate,0.95,1.0,0.95
D0_duplicate,0.99,0.5,infeasible
D0_duplicate,0.99,0.9,infeasible
D0_duplicate,0.99,0.95,infeasible
D0_duplicate,0.99,0.99,1.0
D0_duplicate,0.99,1.0,0.99
