pair_id,pair_label,variant,family,prompt_id,checkpoint,gap_metric,gap_value,threshold,over_threshold
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_001,C1,mean_sampled_abs_gap,0.00793457,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_001,C2,mean_sampled_abs_gap,0.030151367,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_001,C3,mean_sampled_abs_gap,0.091033212,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_002,C1,mean_sampled_abs_gap,0.009506226,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_002,C2,mean_sampled_abs_gap,0.078857422,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_002,C3,mean_sampled_abs_gap,0.040860066,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_003,C1,mean_sampled_abs_gap,0.010471344,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_003,C2,mean_sampled_abs_gap,0.065155029,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_003,C3,mean_sampled_abs_gap,0.072059778,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_004,C1,mean_sampled_abs_gap,0.0078125,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_004,C2,mean_sampled_abs_gap,0.019287109,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_004,C3,mean_sampled_abs_gap,0.035275163,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_005,C1,mean_sampled_abs_gap,0.010925293,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_005,C2,mean_sampled_abs_gap,0.037658691,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_005,C3,mean_sampled_abs_gap,0.100436446,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_006,C1,mean_sampled_abs_gap,0.009643555,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_006,C2,mean_sampled_abs_gap,0.043182373,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_006,C3,mean_sampled_abs_gap,0.049652615,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_007,C1,mean_sampled_abs_gap,0.008666992,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_007,C2,mean_sampled_abs_gap,0.025360107,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_007,C3,mean_sampled_abs_gap,0.032434749,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_008,C1,mean_sampled_abs_gap,0.009002686,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_008,C2,mean_sampled_abs_gap,0.030822754,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_008,C3,mean_sampled_abs_gap,0.035961929,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_009,C1,mean_sampled_abs_gap,0.009124756,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_009,C2,mean_sampled_abs_gap,0.055145264,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_009,C3,mean_sampled_abs_gap,0.041625058,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_010,C1,mean_sampled_abs_gap,0.008544922,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_010,C2,mean_sampled_abs_gap,0.023864746,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_010,C3,mean_sampled_abs_gap,0.033190685,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_011,C1,mean_sampled_abs_gap,0.013671875,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_011,C2,mean_sampled_abs_gap,0.02331543,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_011,C3,mean_sampled_abs_gap,0.034666546,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_012,C1,mean_sampled_abs_gap,0.012664795,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_012,C2,mean_sampled_abs_gap,0.044586182,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_012,C3,mean_sampled_abs_gap,0.029399302,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_013,C1,mean_sampled_abs_gap,0.011672974,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_013,C2,mean_sampled_abs_gap,0.02923584,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_013,C3,mean_sampled_abs_gap,0.031861901,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_014,C1,mean_sampled_abs_gap,0.009155273,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_014,C2,mean_sampled_abs_gap,0.028930664,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_014,C3,mean_sampled_abs_gap,0.028609238,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_015,C1,mean_sampled_abs_gap,0.01171875,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_015,C2,mean_sampled_abs_gap,0.019104004,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_015,C3,mean_sampled_abs_gap,0.032194552,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_016,C1,mean_sampled_abs_gap,0.013305664,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_016,C2,mean_sampled_abs_gap,0.022857666,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_016,C3,mean_sampled_abs_gap,0.0257356,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_017,C1,mean_sampled_abs_gap,0.008972168,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_017,C2,mean_sampled_abs_gap,0.017120361,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_017,C3,mean_sampled_abs_gap,0.038260955,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_018,C1,mean_sampled_abs_gap,0.007476807,4.3359375,0
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_018,C2,mean_sampled_abs_gap,0.030822754,4.3359375,0
