pair_id,pair_label,variant,family,prompt_id,detected,first_mismatch_checkpoint
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_001,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_002,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_003,1,C3
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_004,1,C3
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_005,1,C3
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_006,1,C3
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_007,1,C3
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_008,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_009,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_010,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_011,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_012,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_013,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_014,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_015,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_016,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_017,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_018,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_019,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_020,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_021,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_022,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_023,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_024,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_025,1,C3
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_026,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_027,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_028,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_029,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_030,1,C3
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_031,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_032,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_033,1,C3
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_034,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_035,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_036,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_037,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_038,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_039,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_040,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_041,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_042,1,C3
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_043,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_044,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_045,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_046,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_047,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_048,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_049,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_050,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_051,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_052,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_053,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_054,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_055,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_056,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_057,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_058,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_059,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_060,1,C3
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_061,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_062,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_063,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_064,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_065,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_066,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_067,1,C3
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_068,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_069,1,C3
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_070,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_071,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_072,1,C3
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_073,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_074,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_075,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_076,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_077,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_078,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_079,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_080,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_081,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_082,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_083,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_084,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_085,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_086,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_087,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_088,1,C3
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_089,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_090,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_091,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_092,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_093,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_094,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_095,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_096,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_097,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_098,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_099,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_100,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_101,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_102,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_103,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_104,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_105,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_106,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_107,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_108,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_109,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_110,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_111,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_112,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_113,1,C3
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_114,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_115,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_116,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_117,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_118,0,
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_119,0,
