pair_id,pair_label,variant,family,tolerance_mode,percentile,tolerance_scale,token_samples,channel_samples,projection_dim,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,calib_honest_hetero_fpr,calib_tamper_tpr,calib_tamper_locacc,calib_prompt_count,calib_feasible_count,selected_from_feasible,selection_fallback_reason,eval_honest_hetero_fpr,eval_tamper_tpr,eval_tamper_locacc,eval_runtime_ms_per_trace_hetero,eval_runtime_ms_per_trace_tamper,eval_dominant_mismatch_checkpoint,eval_mismatch_c1_count,eval_mismatch_c2_count,eval_mismatch_c3_count,eval_tamper_dominant_mismatch_checkpoint,eval_tamper_mismatch_c1_count,eval_tamper_mismatch_c2_count,eval_tamper_mismatch_c3_count,eval_prompt_count,selection_rule
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,global_shared,99.99,1.5,1,16,0,16,64,0.125,1.0,1.0,40,0,0,no calibration candidate with FPR <= 0.10,0.15,1.0,1.0,3.608672,1.907657,C3,0,11,19,C2,0,200,0,200,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.99,2.0,1,64,0,64,256,0.475,1.0,1.0,40,0,0,no calibration candidate with FPR <= 0.10,0.415,1.0,1.0,3.61062,1.920574,C3,2,29,52,C2,0,200,0,200,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.0,1.5,16,0,4,64,256,0.0,1.0,1.0,40,35,1,,0.02,1.0,1.0,4.066852,2.167871,C1,3,1,0,C2,0,200,0,200,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.0,1.5,16,0,8,128,512,0.0,1.0,1.0,40,30,1,,0.08,1.0,1.0,4.282837,2.27164,C3,3,3,10,C2,0,200,0,200,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,checkpoint_specific,99.0,1.5,16,0,16,256,1024,0.0,1.0,1.0,40,30,1,,0.12,1.0,1.0,4.660925,2.472423,C3,7,3,14,C2,0,200,0,200,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,global_shared,99.99,2.0,1,16,0,16,64,0.175,1.0,1.0,40,0,0,no calibration candidate with FPR <= 0.10,0.11,1.0,1.0,3.701926,1.995269,C3,0,5,17,C2,0,200,0,200,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar64,scalar,global_shared,99.99,2.0,1,64,0,64,256,0.5,1.0,1.0,40,0,0,no calibration candidate with FPR <= 0.10,0.305,1.0,1.0,3.708467,1.961894,C3,5,18,38,C2,0,200,0,200,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos4,projcos,checkpoint_specific,99.0,1.5,16,0,4,64,256,0.0,1.0,1.0,40,30,1,,0.045,1.0,1.0,4.139415,2.212884,C1,7,2,0,C2,0,200,0,200,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos8,projcos,checkpoint_specific,99.0,1.5,16,0,8,128,512,0.0,1.0,1.0,40,30,1,,0.075,1.0,1.0,4.382042,2.324031,C3,0,4,11,C2,0,200,0,200,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos16,projcos,checkpoint_specific,99.0,1.5,16,0,16,256,1024,0.0,1.0,1.0,40,30,1,,0.135,1.0,1.0,4.715971,2.496908,C3,5,1,21,C2,0,200,0,200,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
