pair_id,pair_label,variant,family,prompt_id,detected,localization_correct,first_mismatch_checkpoint
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_001,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_002,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_003,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_004,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_005,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_006,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_007,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_008,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_009,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_010,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_011,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_012,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_013,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_014,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_015,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_016,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_017,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_018,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_019,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_020,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_021,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_022,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_023,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_024,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_025,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_026,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_027,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_028,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_029,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_030,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_031,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_032,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_033,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_034,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_035,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_036,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_037,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_038,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_039,1,1,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,eval_040,1,1,C2
