pair_id,pair_label,prompt_id,attack_family,attack_checkpoint,attack_strength,donor_source,output_affecting_available,output_affecting_reason,output_affecting,top1_changed,top5_jaccard,top20_jaccard,logit_l2_delta,logit_linf_delta,clean_top1_id,attacked_top1_id,clean_top5_ids,attacked_top5_ids,clean_top5_probs,attacked_top5_probs
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_001,gaussian,C2,0.15,gaussian_noise,1,replay_to_logits_topk_label,1,1,0.0,0.0,2014.949355,24.335938,7281,4462,7281 22406 576 1096 4710,4462 12039 16954 21738 4831,0.44982222 0.11462489 0.09355411 0.06582353 0.05808907,0.22869091 0.20660502 0.14997916 0.07600574 0.06400325
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_001,cross_prompt_stale_substitution,C2,,same_stack_rerun,1,replay_to_logits_topk_label,1,0,0.428571,0.333333,444.441276,5.816406,7281,7281,7281 22406 576 1096 4710,7281 22406 3555 10339 576,0.44982222 0.11462489 0.09355411 0.06582353 0.05808907,0.41164811 0.16894004 0.06667675 0.05838412 0.05703165
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_001,wrong_shard_output,C2,,same_run_next_prompt,1,replay_to_logits_topk_label,1,0,0.666667,0.73913,142.256489,1.792969,7281,7281,7281 22406 576 1096 4710,7281 22406 576 4710 8886,0.44982222 0.11462489 0.09355411 0.06582353 0.05808907,0.53984093 0.21811545 0.06809897 0.03560637 0.02466381
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_001,layer_skip,C2,,C1_to_C2,1,replay_to_logits_topk_label,1,1,0.25,0.25,517.604093,7.807129,7281,576,7281 22406 576 1096 4710,576 1096 10339 3555 1416,0.44982222 0.11462489 0.09355411 0.06582353 0.05808907,0.17597023 0.17055620 0.12975231 0.09717999 0.04519289
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_001,scale_perturbation,C2,0.15,scale_delta,1,replay_to_logits_topk_label,1,0,0.666667,0.818182,57.126574,0.761719,7281,7281,7281 22406 576 1096 4710,7281 22406 576 4710 8886,0.44982222 0.11462489 0.09355411 0.06582353 0.05808907,0.42229542 0.10677300 0.07811680 0.07571340 0.06375707
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_002,gaussian,C2,0.15,gaussian_noise,1,replay_to_logits_topk_label,1,1,0.0,0.0,1479.415866,18.484375,7281,53930,7281 22406 576 4710 8886,53930 2487 151643 51461 95256,0.53984093 0.21811545 0.06809897 0.03560637 0.02466381,0.20928238 0.18469106 0.15192272 0.08522092 0.06483266
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_002,cross_prompt_stale_substitution,C2,,same_stack_rerun,1,replay_to_logits_topk_label,1,0,0.666667,0.73913,142.256489,1.792969,7281,7281,7281 22406 576 4710 8886,7281 22406 576 1096 4710,0.53984093 0.21811545 0.06809897 0.03560637 0.02466381,0.44982222 0.11462489 0.09355411 0.06582353 0.05808907
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_002,wrong_shard_output,C2,,same_run_next_prompt,1,replay_to_logits_topk_label,1,0,0.666667,0.6,251.249966,2.759766,7281,7281,7281 22406 576 4710 8886,7281 22406 4710 1096 576,0.53984093 0.21811545 0.06809897 0.03560637 0.02466381,0.23434763 0.18830361 0.12941905 0.11969306 0.10000729
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_002,layer_skip,C2,,C1_to_C2,1,replay_to_logits_topk_label,1,1,0.111111,0.37931,517.94144,7.550781,7281,1096,7281 22406 576 4710 8886,1096 3555 576 10339 4615,0.53984093 0.21811545 0.06809897 0.03560637 0.02466381,0.21479648 0.15231351 0.07365400 0.06865308 0.06758871
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,eval_002,scale_perturbation,C2,0.15,scale_delta,1,replay_to_logits_topk_label,0,0,1.0,1.0,51.971916,0.640625,7281,7281,7281 22406 576 4710 8886,7281 22406 576 4710 8886,0.53984093 0.21811545 0.06809897 0.03560637 0.02466381,0.51872675 0.20472953 0.06195308 0.05056463 0.03043033
