pair_id,variant,attack_family,prompt_count,output_affecting_prompt_count,output_affecting_rate,all_sample_detection_rate,all_sample_localization_acc,output_affecting_detection_rate,output_affecting_localization_acc,mean_logit_l2_delta,mean_top5_jaccard
t4strict_pair_a_vs_b_40_200,projcos4,cross_prompt_stale_substitution,200,188,0.94,1.0,1.0,1.0,1.0,270.313745,0.502758
t4strict_pair_a_vs_b_40_200,projcos4,gaussian,200,200,1.0,1.0,1.0,1.0,1.0,1740.92218,0.001667
t4strict_pair_a_vs_b_40_200,projcos4,layer_skip,200,200,1.0,1.0,1.0,1.0,1.0,571.219005,0.174087
t4strict_pair_a_vs_b_40_200,projcos4,scale_perturbation,200,78,0.39,0.0,0.0,0.0,0.0,56.753905,0.897619
t4strict_pair_a_vs_b_40_200,projcos4,wrong_shard_output,200,188,0.94,1.0,1.0,1.0,1.0,270.313745,0.502758
t4strict_pair_a_vs_b_40_200,scalar16,cross_prompt_stale_substitution,200,188,0.94,0.76,0.76,0.75,0.75,270.313745,0.502758
t4strict_pair_a_vs_b_40_200,scalar16,gaussian,200,200,1.0,1.0,1.0,1.0,1.0,1740.92218,0.001667
t4strict_pair_a_vs_b_40_200,scalar16,layer_skip,200,200,1.0,0.83,0.83,0.83,0.83,571.219005,0.174087
t4strict_pair_a_vs_b_40_200,scalar16,scale_perturbation,200,78,0.39,0.52,0.52,0.525641,0.525641,56.753905,0.897619
t4strict_pair_a_vs_b_40_200,scalar16,wrong_shard_output,200,188,0.94,0.76,0.76,0.75,0.75,270.313745,0.502758
t4strict_pair_a_vs_b_rtxint8_40_200,projcos4,cross_prompt_stale_substitution,200,188,0.94,1.0,1.0,1.0,1.0,270.313745,0.502758
t4strict_pair_a_vs_b_rtxint8_40_200,projcos4,gaussian,200,200,1.0,1.0,1.0,1.0,1.0,1740.92218,0.001667
t4strict_pair_a_vs_b_rtxint8_40_200,projcos4,layer_skip,200,200,1.0,1.0,1.0,1.0,1.0,571.219005,0.174087
t4strict_pair_a_vs_b_rtxint8_40_200,projcos4,scale_perturbation,200,78,0.39,0.0,0.0,0.0,0.0,56.753905,0.897619
t4strict_pair_a_vs_b_rtxint8_40_200,projcos4,wrong_shard_output,200,188,0.94,1.0,1.0,1.0,1.0,270.313745,0.502758
t4strict_pair_a_vs_b_rtxint8_40_200,scalar16,cross_prompt_stale_substitution,200,188,0.94,0.655,0.655,0.654255,0.654255,270.313745,0.502758
t4strict_pair_a_vs_b_rtxint8_40_200,scalar16,gaussian,200,200,1.0,1.0,1.0,1.0,1.0,1740.92218,0.001667
t4strict_pair_a_vs_b_rtxint8_40_200,scalar16,layer_skip,200,200,1.0,0.6,0.6,0.6,0.6,571.219005,0.174087
t4strict_pair_a_vs_b_rtxint8_40_200,scalar16,scale_perturbation,200,78,0.39,0.37,0.37,0.448718,0.448718,56.753905,0.897619
t4strict_pair_a_vs_b_rtxint8_40_200,scalar16,wrong_shard_output,200,188,0.94,0.655,0.655,0.654255,0.654255,270.313745,0.502758
t4strict_pair_a_vs_c_40_200,projcos4,cross_prompt_stale_substitution,200,186,0.93,1.0,1.0,1.0,1.0,270.539603,0.505
t4strict_pair_a_vs_c_40_200,projcos4,gaussian,200,200,1.0,1.0,1.0,1.0,1.0,1740.195143,0.001667
