pair_id,pair_label,projection_seed,variant,family,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,eval_honest_hetero_fpr,eval_tamper_tpr,eval_tamper_locacc,eval_prompt_count,eval_runtime_ms_per_trace_hetero,eval_runtime_ms_per_trace_tamper
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,777,projscalar1_abs,projabs,16,64,0.025,1.0,1.0,200,3.62328,2.103275
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,1001,projscalar1_abs,projabs,16,64,0.0,1.0,1.0,200,3.749385,2.18227
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,2027,projscalar1_abs,projabs,16,64,0.015,1.0,1.0,200,3.786285,2.173795
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,3407,projscalar1_abs,projabs,16,64,0.005,1.0,1.0,200,3.61261,2.055225
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,9001,projscalar1_abs,projabs,16,64,0.025,1.0,1.0,200,3.727455,2.144055
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,777,projscalar1_abs,projabs,16,64,0.005,1.0,1.0,200,3.740265,2.142475
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,1001,projscalar1_abs,projabs,16,64,0.0,1.0,1.0,200,3.749065,2.239315
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,2027,projscalar1_abs,projabs,16,64,0.005,1.0,1.0,200,3.751005,2.119075
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,3407,projscalar1_abs,projabs,16,64,0.005,1.0,1.0,200,3.720245,2.16968
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,9001,projscalar1_abs,projabs,16,64,0.005,1.0,1.0,200,3.87129,2.25001
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,777,projscalar1_abs,projabs,16,64,0.01,1.0,1.0,200,3.61958,2.17959
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,1001,projscalar1_abs,projabs,16,64,0.005,1.0,1.0,200,3.65003,2.124
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,2027,projscalar1_abs,projabs,16,64,0.005,1.0,1.0,200,3.69675,2.09295
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,3407,projscalar1_abs,projabs,16,64,0.005,1.0,1.0,200,3.76118,2.10317
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,9001,projscalar1_abs,projabs,16,64,0.005,1.0,1.0,200,3.694205,2.09028
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,777,projscalar1_abs,projabs,16,64,0.02,1.0,1.0,200,3.71799,2.19129
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,1001,projscalar1_abs,projabs,16,64,0.0,1.0,1.0,200,3.71767,2.11359
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,2027,projscalar1_abs,projabs,16,64,0.01,1.0,1.0,200,3.71757,2.205875
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,3407,projscalar1_abs,projabs,16,64,0.01,1.0,1.0,200,3.657905,2.16251
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,9001,projscalar1_abs,projabs,16,64,0.01,1.0,1.0,200,3.742735,2.121475
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,777,projscalar1_abs,projabs,16,64,0.01,1.0,1.0,200,3.69983,2.150915
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,1001,projscalar1_abs,projabs,16,64,0.01,1.0,1.0,200,3.63886,2.21809
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,2027,projscalar1_abs,projabs,16,64,0.01,1.0,1.0,200,3.66023,2.10688
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,3407,projscalar1_abs,projabs,16,64,0.0,1.0,1.0,200,3.738795,2.088235
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,9001,projscalar1_abs,projabs,16,64,0.0,1.0,1.0,200,3.754555,2.16152
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,777,projscalar1_abs,projabs,16,64,0.01,1.0,1.0,200,3.797915,2.192565
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,1001,projscalar1_abs,projabs,16,64,0.0,1.0,1.0,200,3.72226,2.13234
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,2027,projscalar1_abs,projabs,16,64,0.0,1.0,1.0,200,3.829735,2.36631
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,3407,projscalar1_abs,projabs,16,64,0.005,1.0,1.0,200,3.731705,2.14181
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,9001,projscalar1_abs,projabs,16,64,0.005,1.0,1.0,200,3.7656,2.1623
