pair_id,pair_label,projection_seed,variant,family,attack_family,attack_strength,prompt_count,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,detection_rate,localization_acc,dominant_mismatch_checkpoint
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,777,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,777,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,777,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,777,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,777,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,1001,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,1001,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,1001,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,1001,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,1001,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,2027,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,2027,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,2027,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,2027,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,2027,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,3407,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,3407,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,3407,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,3407,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,3407,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,9001,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,9001,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,9001,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,9001,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,9001,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,777,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,777,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,777,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,777,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,777,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,1001,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,1001,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,1001,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,1001,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,1001,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,2027,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,2027,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,2027,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,2027,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,2027,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,3407,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,3407,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,3407,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,3407,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,3407,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,9001,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,9001,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,9001,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,9001,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,9001,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,777,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,777,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,777,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,777,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,777,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,1001,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,1001,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,1001,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,1001,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,1001,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,2027,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,2027,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,2027,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,2027,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,2027,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,3407,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,3407,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,3407,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,3407,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,3407,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,9001,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,9001,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,9001,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,9001,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,9001,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,777,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,777,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,777,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,777,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,777,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,1001,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,1001,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,1001,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,1001,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,1001,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,2027,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,2027,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,2027,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,2027,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,2027,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,3407,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,3407,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,3407,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,3407,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,3407,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,9001,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,9001,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,9001,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,9001,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,9001,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,777,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,777,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,777,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,777,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,777,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,1001,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,1001,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,1001,projscalar1_abs,projabs,wrong_shard_output,,200,16,64,1.0,1.0,C2
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,1001,projscalar1_abs,projabs,layer_skip,,200,16,64,1.0,1.0,C2
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,1001,projscalar1_abs,projabs,scale_perturbation,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,2027,projscalar1_abs,projabs,gaussian,0.15,200,16,64,1.0,1.0,C2
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,2027,projscalar1_abs,projabs,cross_prompt_stale_substitution,,200,16,64,1.0,1.0,C2
