variant,family,scenario,prompt_id,tolerance_mode,percentile,tolerance_scale,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,reveal_payload_bytes_per_trace,reference_capture_file_bytes,candidate_capture_file_bytes,metadata_bytes,commitment_head_bytes,commitment_chain_bytes,reference_storage_head_bytes,candidate_working_set_head_bytes,challenge_working_set_head_bytes,challenge_working_set_full_chain_bytes,reference_capture_load_ms,candidate_capture_load_ms,commitment_generation_ms,replay_ms,compare_ms,challenge_latency_no_commit_ms,challenge_latency_ms,detected,first_mismatch_stage,first_mismatch_checkpoint,verdict_bytes
scalar16,scalar,honest_homo,eval_001,global_shared,99.99,1.5,16,64,192,125387,125387,2132,32,96,126453,126453,253124,253188,1.831209,1.626417,12.291792,0.077416,0.003458,3.5385,15.830292,0,,,186
scalar16,scalar,honest_homo,eval_002,global_shared,99.99,1.5,16,64,192,133175,133175,2132,32,96,134241,134241,268700,268764,1.851542,1.625291,0.098541,0.068,0.002708,3.547541,3.646082,0,,,186
scalar16,scalar,honest_homo,eval_003,global_shared,99.99,1.5,16,64,192,117824,117824,2132,32,96,118890,118890,237998,238062,1.637584,1.608042,0.116709,0.071208,0.002792,3.319626,3.436335,0,,,186
scalar16,scalar,honest_homo,eval_004,global_shared,99.99,1.5,16,64,192,117850,117850,2132,32,96,118916,118916,238050,238114,1.644,1.685209,0.124125,0.073917,0.003125,3.406251,3.530376,0,,,186
scalar16,scalar,honest_homo,eval_005,global_shared,99.99,1.5,16,64,192,117819,117819,2132,32,96,118885,118885,237988,238052,1.669792,1.61525,0.10375,0.067292,0.002708,3.355042,3.458792,0,,,186
scalar16,scalar,honest_homo,eval_006,global_shared,99.99,1.5,16,64,192,117847,117847,2132,32,96,118913,118913,238044,238108,1.813167,1.723875,0.147792,0.070542,0.003084,3.610668,3.75846,0,,,186
scalar16,scalar,honest_homo,eval_007,global_shared,99.99,1.5,16,64,192,148372,148372,2132,32,96,149438,149438,299094,299158,1.696875,1.582292,0.085875,0.065958,0.0025,3.347625,3.4335,0,,,186
scalar16,scalar,honest_homo,eval_008,global_shared,99.99,1.5,16,64,192,148442,148442,2132,32,96,149508,149508,299234,299298,1.606125,1.777417,0.132708,0.071292,0.00275,3.457584,3.590292,0,,,186
scalar16,scalar,honest_homo,eval_009,global_shared,99.99,1.5,16,64,192,148502,148502,2132,32,96,149568,149568,299354,299418,1.812208,1.602084,0.088458,0.066709,0.00275,3.483751,3.572209,0,,,186
scalar16,scalar,honest_homo,eval_010,global_shared,99.99,1.5,16,64,192,117752,117752,2132,32,96,118818,118818,237854,237918,1.559042,1.510292,0.080875,0.065708,0.002458,3.1375,3.218375,0,,,186
scalar16,scalar,honest_homo,eval_011,global_shared,99.99,1.5,16,64,192,94634,94634,2132,32,96,95700,95700,191618,191682,1.65625,1.698791,0.129875,0.07075,0.003,3.428791,3.558666,0,,,186
scalar16,scalar,honest_homo,eval_012,global_shared,99.99,1.5,16,64,192,102368,102368,2132,32,96,103434,103434,207086,207150,1.602083,1.557416,0.086,0.068042,0.002542,3.230083,3.316083,0,,,186
scalar16,scalar,honest_homo,eval_013,global_shared,99.99,1.5,16,64,192,86927,86927,2132,32,96,87993,87993,176204,176268,1.553584,1.574625,0.091333,0.066917,0.0025,3.197626,3.288959,0,,,186
scalar16,scalar,honest_homo,eval_014,global_shared,99.99,1.5,16,64,192,87044,87044,2132,32,96,88110,88110,176438,176502,1.522125,1.899875,0.1175,0.06925,0.00275,3.494,3.6115,0,,,186
