pair_id,pair_label,variant,family,budget_class,tolerance_mode,percentile,tolerance_scale,token_samples,channel_samples,projection_dim,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,reveal_payload_bytes_per_trace,commitment_head_bytes,commitment_chain_bytes,eval_prompt_count,calib_honest_hetero_fpr,eval_honest_hetero_fpr,eval_honest_homo_fpr,eval_honest_hetero_detect_count,eval_honest_hetero_dominant_mismatch,honest_homo_source,eval_honest_homo_dominant_mismatch,gaussian_tpr,cross_prompt_stale_substitution_tpr,wrong_shard_output_tpr,layer_skip_tpr,same_prompt_old_run_replay_tpr,scale_perturbation_tpr,gaussian_locacc,cross_prompt_stale_substitution_locacc,wrong_shard_output_locacc,layer_skip_locacc,same_prompt_old_run_replay_locacc,scale_perturbation_locacc,material_tpr_min,material_tpr_mean,material_locacc_min,material_locacc_mean,material_risk_scope,negative_control_scope,limitation_scope,reference_replay_runtime_ms,challenge_latency_ms,risk_class,feasible_under_alpha_beta,alpha_threshold,beta_threshold,overhead_source,selection_rule
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,large,checkpoint_specific,99.0,1.5,16,0,16,256,1024,3072,32.0,96.0,200,0.0,0.12,0.0,24,C3,same_stack_rerun,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,2.084876,4.040801,medium-risk,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,small,checkpoint_specific,99.0,1.5,16,0,4,64,256,768,32.0,96.0,200,0.0,0.02,0.0,4,C1,same_stack_rerun,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.785521,3.79823,low-risk,1,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,medium,checkpoint_specific,99.0,1.5,16,0,8,128,512,1536,32.0,96.0,200,0.0,0.08,0.0,16,C3,same_stack_rerun,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.885223,3.919516,low-risk,1,0.1,0.9,estimated_interp_from_projcos4_projcos16,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,tiny,global_shared,99.99,1.5,1,16,0,16,64,192,32.0,96.0,200,0.125,0.15,0.0,30,C3,same_stack_rerun,,1.0,0.76,0.76,0.83,0.0,0.52,1.0,0.76,0.76,0.83,0.0,0.52,0.76,0.8375,0.76,0.8375,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.556788,3.603487,high-risk,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,small,global_shared,99.99,2.0,1,64,0,64,256,768,32.0,96.0,200,0.475,0.415,0.0,83,C3,same_stack_rerun,,1.0,0.855,0.855,0.98,0.0,0.88,1.0,0.855,0.855,0.98,0.0,0.88,0.855,0.9225,0.855,0.9225,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.494924,3.468791,unverifiable,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos16,projcos,large,checkpoint_specific,99.0,1.5,16,0,16,256,1024,3072,32.0,96.0,200,0.0,0.08,,16,C1,same_run_prev_prompt,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.811126,4.040801,low-risk,1,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos4,projcos,small,checkpoint_specific,99.0,1.5,16,0,4,64,256,768,32.0,96.0,200,0.0,0.02,,4,C1,same_run_prev_prompt,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.530282,3.79823,low-risk,1,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos8,projcos,medium,checkpoint_specific,99.0,1.5,16,0,8,128,512,1536,32.0,96.0,200,0.0,0.035,,7,C1,same_run_prev_prompt,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.627599,3.919516,low-risk,1,0.1,0.9,estimated_interp_from_projcos4_projcos16,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,tiny,global_shared,99.99,2.0,1,16,0,16,64,192,32.0,96.0,200,0.1,0.155,,31,C3,same_run_prev_prompt,,1.0,0.655,0.655,0.6,0.655,0.37,1.0,0.655,0.655,0.6,0.655,0.37,0.6,0.7275,0.6,0.7275,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.356312,3.603487,high-risk,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar64,scalar,small,global_shared,99.99,2.0,1,64,0,64,256,768,32.0,96.0,200,0.45,0.52,,104,C3,same_run_prev_prompt,,1.0,0.855,0.855,0.98,0.855,0.88,1.0,0.855,0.855,0.98,0.855,0.88,0.855,0.9225,0.855,0.9225,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.264972,3.468791,unverifiable,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos16,projcos,large,checkpoint_specific,99.0,1.5,16,0,16,256,1024,3072,32.0,96.0,200,0.0,0.135,0.0,27,C3,absrepro_same_stack,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,2.117571,4.040801,medium-risk,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos4,projcos,small,checkpoint_specific,99.0,1.5,16,0,4,64,256,768,32.0,96.0,200,0.0,0.045,0.0,9,C1,absrepro_same_stack,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.854097,3.79823,low-risk,1,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos8,projcos,medium,checkpoint_specific,99.0,1.5,16,0,8,128,512,1536,32.0,96.0,200,0.0,0.075,0.0,15,C3,absrepro_same_stack,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.920333,3.919516,low-risk,1,0.1,0.9,estimated_interp_from_projcos4_projcos16,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,tiny,global_shared,99.99,2.0,1,16,0,16,64,192,32.0,96.0,200,0.175,0.11,0.0,22,C3,absrepro_same_stack,,1.0,0.645,0.645,0.585,0.0,0.355,1.0,0.645,0.645,0.585,0.0,0.355,0.585,0.71875,0.585,0.71875,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.664829,3.603487,high-risk,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar64,scalar,small,global_shared,99.99,2.0,1,64,0,64,256,768,32.0,96.0,200,0.5,0.305,0.0,61,C3,absrepro_same_stack,,1.0,0.875,0.875,0.98,0.0,0.93,1.0,0.875,0.875,0.98,0.0,0.93,0.875,0.9325,0.875,0.9325,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.563295,3.468791,unverifiable,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,projcos16,projcos,large,checkpoint_specific,99.0,1.5,16,0,16,256,1024,3072,32.0,96.0,200,0.0,0.065,0.0,13,C3,absrepro_same_stack,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,2.092683,4.040801,low-risk,1,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,projcos4,projcos,small,checkpoint_specific,99.0,1.5,16,0,4,64,256,768,32.0,96.0,200,0.0,0.02,0.0,4,C1,absrepro_same_stack,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.852395,3.79823,low-risk,1,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,projcos8,projcos,medium,checkpoint_specific,99.0,1.5,16,0,8,128,512,1536,32.0,96.0,200,0.0,0.065,0.0,13,C3,absrepro_same_stack,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.92901,3.919516,low-risk,1,0.1,0.9,estimated_interp_from_projcos4_projcos16,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,scalar16,scalar,tiny,global_shared,99.99,2.0,1,16,0,16,64,192,32.0,96.0,200,0.025,0.09,0.0,18,C3,absrepro_same_stack,,1.0,0.555,0.555,0.51,0.0,0.22,1.0,0.555,0.555,0.51,0.0,0.22,0.51,0.655,0.51,0.655,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.776668,3.603487,high-risk,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_a_vs_d_40_200,stack_a_vs_stack_d,scalar64,scalar,small,global_shared,99.99,2.0,1,64,0,64,256,768,32.0,96.0,200,0.175,0.38,0.0,76,C3,absrepro_same_stack,,1.0,0.795,0.795,0.95,0.0,0.815,1.0,0.795,0.795,0.95,0.0,0.815,0.795,0.885,0.795,0.885,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.563021,3.468791,unverifiable,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos16,projcos,large,checkpoint_specific,99.0,1.5,16,0,16,256,1024,3072,32.0,96.0,200,0.0,0.065,0.0,13,C3,absrepro_same_stack,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,2.093856,4.040801,low-risk,1,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,small,checkpoint_specific,99.0,1.5,16,0,4,64,256,768,32.0,96.0,200,0.0,0.075,0.0,15,C1,absrepro_same_stack,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.818556,3.79823,low-risk,1,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos8,projcos,medium,checkpoint_specific,99.0,1.5,16,0,8,128,512,1536,32.0,96.0,200,0.0,0.075,0.0,15,C3,absrepro_same_stack,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.927439,3.919516,low-risk,1,0.1,0.9,estimated_interp_from_projcos4_projcos16,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,scalar16,scalar,tiny,global_shared,99.99,1.5,1,16,0,16,64,192,32.0,96.0,200,0.2,0.245,0.0,49,C2,absrepro_same_stack,,1.0,0.95,0.95,1.0,0.0,0.72,1.0,0.95,0.95,1.0,0.0,0.72,0.95,0.975,0.95,0.975,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.572036,3.603487,high-risk,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,scalar64,scalar,small,global_shared,99.99,2.0,1,64,0,64,256,768,32.0,96.0,200,0.625,0.59,0.0,118,C3,absrepro_same_stack,,1.0,1.0,1.0,1.0,0.0,0.995,1.0,1.0,1.0,1.0,0.0,0.995,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.548374,3.468791,unverifiable,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos16,projcos,large,global_shared,99.5,2.0,16,0,16,256,1024,3072,32.0,96.0,200,0.0,0.03,,6,C1,same_run_prev_prompt,,1.0,1.0,1.0,1.0,1.0,0.005,1.0,1.0,1.0,1.0,1.0,0.005,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.801303,4.040801,low-risk,1,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos4,projcos,small,checkpoint_specific,99.0,0.5,16,0,4,64,256,768,32.0,96.0,200,0.05,0.105,,21,C2,same_run_prev_prompt,,1.0,1.0,1.0,1.0,1.0,0.06,0.985,0.985,0.985,0.985,0.985,0.01,1.0,1.0,0.985,0.985,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.543285,3.79823,medium-risk,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,projcos8,projcos,medium,global_shared,99.0,2.0,16,0,8,128,512,1536,32.0,96.0,200,0.0,0.005,,1,C2,same_run_prev_prompt,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.655591,3.919516,low-risk,1,0.1,0.9,estimated_interp_from_projcos4_projcos16,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar16,scalar,tiny,global_shared,99.99,2.0,1,16,0,16,64,192,32.0,96.0,200,0.225,0.165,,33,C2,same_run_prev_prompt,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.398401,3.603487,medium-risk,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
t4strict_pair_e_vs_f_40_200,stack_e_vs_stack_f,scalar64,scalar,small,global_shared,99.99,2.0,1,64,0,64,256,768,32.0,96.0,200,0.55,0.615,,123,C2,same_run_prev_prompt,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,gaussian+cross_prompt_stale_substitution+wrong_shard_output+layer_skip,same_prompt_old_run_replay,scale_perturbation,1.311101,3.468791,unverifiable,0,0.1,0.9,measured_e4_ab,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
