candidate_id,group_size,provider_set,shard_map,pair_ids,network_latency_s,execution_latency_s,availability_cost,reputation,capacity_ok,backend_mix
cand_homo_ff,1,P00,C1:P00;C2:P00;C3:P00,F/F,1.21,1.21,0.1,0.95,1,homogeneous
cand_lan_a_b,3,P1;P2;P12,C1:P1;C2:P2;C3:P12,A/B,0.924,0.8668,0.175,0.922,1,heterogeneous
cand_wan_a_b,3,P1;P2;P12,C1:P1;C2:P2;C3:P12,A/B,1.039,0.9588,0.2,0.907,1,heterogeneous
cand_lan_a_brtxint8,3,P3;P4;P14,C1:P3;C2:P4;C3:P14,A/B-RTXint8,0.948,0.8836,0.19,0.904,1,heterogeneous
cand_wan_a_brtxint8,3,P3;P4;P14,C1:P3;C2:P4;C3:P14,A/B-RTXint8,1.063,0.9756,0.215,0.889,1,heterogeneous
cand_lan_a_c,3,P5;P6;P16,C1:P5;C2:P6;C3:P16,A/C,0.996,0.9172,0.205,0.886,1,heterogeneous
cand_wan_a_c,3,P5;P6;P16,C1:P5;C2:P6;C3:P16,A/C,1.111,1.0092,0.23,0.871,1,heterogeneous
cand_lan_a_d,3,P7;P8;P18,C1:P7;C2:P8;C3:P18,A/D,0.972,0.9004,0.22,0.868,1,heterogeneous
cand_wan_a_d,3,P7;P8;P18,C1:P7;C2:P8;C3:P18,A/D,1.087,0.9924,0.245,0.853,1,heterogeneous
cand_lan_b_d,3,P9;P10;P20,C1:P9;C2:P10;C3:P20,B/D,1.02,0.934,0.235,0.85,1,heterogeneous
cand_wan_b_d,3,P9;P10;P20,C1:P9;C2:P10;C3:P20,B/D,1.135,1.026,0.26,0.835,1,heterogeneous
cand_lan_e_f,3,P11;P12;P22,C1:P11;C2:P12;C3:P22,E/F,0.9,0.85,0.25,0.832,1,heterogeneous
cand_wan_e_f,3,P11;P12;P22,C1:P11;C2:P12;C3:P22,E/F,1.015,0.942,0.275,0.817,1,heterogeneous
