profile_id,pair_id,stack_a,stack_b,boundary,sketch,bytes_ckpt,bytes_trace,fpr,tpr_primary,tpr_scale,locacc,verify_ms_honest,verify_ms_tamper,risk_class,source
AB_projcos16,A/B,A,B,C1-C3,projcos16,1024,3072,0.12,1.0,0.0,1.0,4.040801,4.040801,medium-risk,measured_profile_matrix_20260512
AB_projcos4,A/B,A,B,C1-C3,projcos4,256,768,0.02,1.0,0.0,1.0,3.79823,3.79823,low-risk,measured_profile_matrix_20260512
AB_projcos8,A/B,A,B,C1-C3,projcos8,512,1536,0.08,1.0,0.0,1.0,3.919516,3.919516,low-risk,measured_profile_matrix_20260512
AB_scalar16,A/B,A,B,C1-C3,scalar16,64,192,0.15,0.76,0.52,0.76,3.603487,3.603487,high-risk,measured_profile_matrix_20260512
AB_scalar64,A/B,A,B,C1-C3,scalar64,256,768,0.415,0.855,0.88,0.855,3.468791,3.468791,unverifiable,measured_profile_matrix_20260512
AB-RTXint8_projcos16,A/B-RTXint8,A,B-RTXint8,C1-C3,projcos16,1024,3072,0.08,1.0,0.0,1.0,4.040801,4.040801,low-risk,measured_profile_matrix_20260512
AB-RTXint8_projcos4,A/B-RTXint8,A,B-RTXint8,C1-C3,projcos4,256,768,0.02,1.0,0.0,1.0,3.79823,3.79823,low-risk,measured_profile_matrix_20260512
AB-RTXint8_projcos8,A/B-RTXint8,A,B-RTXint8,C1-C3,projcos8,512,1536,0.035,1.0,0.0,1.0,3.919516,3.919516,low-risk,measured_profile_matrix_20260512
AB-RTXint8_scalar16,A/B-RTXint8,A,B-RTXint8,C1-C3,scalar16,64,192,0.155,0.6,0.37,0.6,3.603487,3.603487,high-risk,measured_profile_matrix_20260512
AB-RTXint8_scalar64,A/B-RTXint8,A,B-RTXint8,C1-C3,scalar64,256,768,0.52,0.855,0.88,0.855,3.468791,3.468791,unverifiable,measured_profile_matrix_20260512
AC_projcos16,A/C,A,C,C1-C3,projcos16,1024,3072,0.135,1.0,0.0,1.0,4.040801,4.040801,medium-risk,measured_profile_matrix_20260512
AC_projcos4,A/C,A,C,C1-C3,projcos4,256,768,0.045,1.0,0.0,1.0,3.79823,3.79823,low-risk,measured_profile_matrix_20260512
AC_projcos8,A/C,A,C,C1-C3,projcos8,512,1536,0.075,1.0,0.0,1.0,3.919516,3.919516,low-risk,measured_profile_matrix_20260512
AC_scalar16,A/C,A,C,C1-C3,scalar16,64,192,0.11,0.585,0.355,0.585,3.603487,3.603487,high-risk,measured_profile_matrix_20260512
AC_scalar64,A/C,A,C,C1-C3,scalar64,256,768,0.305,0.875,0.93,0.875,3.468791,3.468791,unverifiable,measured_profile_matrix_20260512
AD_projcos16,A/D,A,D,C1-C3,projcos16,1024,3072,0.065,1.0,0.0,1.0,4.040801,4.040801,low-risk,measured_profile_matrix_20260512
AD_projcos4,A/D,A,D,C1-C3,projcos4,256,768,0.02,1.0,0.0,1.0,3.79823,3.79823,low-risk,measured_profile_matrix_20260512
AD_projcos8,A/D,A,D,C1-C3,projcos8,512,1536,0.065,1.0,0.0,1.0,3.919516,3.919516,low-risk,measured_profile_matrix_20260512
AD_scalar16,A/D,A,D,C1-C3,scalar16,64,192,0.09,0.51,0.22,0.51,3.603487,3.603487,high-risk,measured_profile_matrix_20260512
AD_scalar64,A/D,A,D,C1-C3,scalar64,256,768,0.38,0.795,0.815,0.795,3.468791,3.468791,unverifiable,measured_profile_matrix_20260512
BD_projcos16,B/D,B,D,C1-C3,projcos16,1024,3072,0.065,1.0,0.0,1.0,4.040801,4.040801,low-risk,measured_profile_matrix_20260512
BD_projcos4,B/D,B,D,C1-C3,projcos4,256,768,0.075,1.0,0.0,1.0,3.79823,3.79823,low-risk,measured_profile_matrix_20260512
BD_projcos8,B/D,B,D,C1-C3,projcos8,512,1536,0.075,1.0,0.0,1.0,3.919516,3.919516,low-risk,measured_profile_matrix_20260512
BD_scalar16,B/D,B,D,C1-C3,scalar16,64,192,0.245,0.95,0.72,0.95,3.603487,3.603487,high-risk,measured_profile_matrix_20260512
BD_scalar64,B/D,B,D,C1-C3,scalar64,256,768,0.59,1.0,0.995,1.0,3.468791,3.468791,unverifiable,measured_profile_matrix_20260512
EF_projcos16,E/F,E,F,C1-C3,projcos16,1024,3072,0.03,1.0,0.005,1.0,4.040801,4.040801,low-risk,measured_profile_matrix_20260512
EF_projcos4,E/F,E,F,C1-C3,projcos4,256,768,0.105,1.0,0.06,0.985,3.79823,3.79823,medium-risk,measured_profile_matrix_20260512
EF_projcos8,E/F,E,F,C1-C3,projcos8,512,1536,0.005,1.0,0.0,1.0,3.919516,3.919516,low-risk,measured_profile_matrix_20260512
EF_scalar16,E/F,E,F,C1-C3,scalar16,64,192,0.165,1.0,1.0,1.0,3.603487,3.603487,medium-risk,measured_profile_matrix_20260512
EF_scalar64,E/F,E,F,C1-C3,scalar64,256,768,0.615,1.0,1.0,1.0,3.468791,3.468791,unverifiable,measured_profile_matrix_20260512
single_homo_scalar16,F/F,F,F,C1-C3,scalar16,64,192,0.0,1.0,1.0,1.0,3.603487,3.603487,low-risk,homogeneous_control_from_profile_template
single_homo_projcos4,F/F,F,F,C1-C3,projcos4,256,768,0.0,1.0,1.0,1.0,3.79823,3.79823,low-risk,homogeneous_control_from_profile_template
single_homo_projcos8,F/F,F,F,C1-C3,projcos8,512,1536,0.0,1.0,1.0,1.0,3.919516,3.919516,low-risk,homogeneous_control_from_profile_template
single_homo_projcos16,F/F,F,F,C1-C3,projcos16,1024,3072,0.0,1.0,1.0,1.0,4.040801,4.040801,low-risk,homogeneous_control_from_profile_template
