task_id,workload,arrival_s,deadline_s,demand,payload_mb,alpha,beta,sketch_budget_bytes,verify_budget_ms,max_group_size,challenge_prob,prompt_chars
eval_001,single,0.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,87
eval_002,single,5.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,89
eval_003,single,10.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,87
eval_004,single,15.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,87
eval_005,single,20.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,88
eval_006,single,25.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,84
eval_007,single,30.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,108
eval_008,single,35.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,106
eval_009,single,40.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,104
eval_010,single,45.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,87
eval_011,single,50.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,68
eval_012,single,55.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,70
eval_013,single,60.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,68
eval_014,single,65.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,68
eval_015,single,70.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,69
eval_016,single,75.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,65
eval_017,single,80.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,89
eval_018,single,85.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,87
eval_019,single,90.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,85
eval_020,single,95.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,68
eval_021,single,100.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,59
eval_022,single,105.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,61
eval_023,single,110.0,5.0,small,100,sweep:0.05|0.10|0.20,0.9,3072,5.0,4,0.1,59
