run_id,seed,workload,alpha,beta,policy,task_id,candidate_count,feasible_count,selected_candidate,selected_group_size,selected_sketch,admitted,latency_s,goodput_contrib,challenge_ms_task,false_risk,infeasible,low_risk,reason
a_min_000001,20260513,single,0.05,0.9,random,eval_001,13,11,cand_wan_a_b,3,scalar16,1,1.03663,1,0.360349,0.015,1,0,random_scalar16
a_min_000002,20260513,single,0.05,0.9,random,eval_002,13,11,cand_wan_e_f,3,scalar16,1,1.02001,1,0.360349,0.0165,1,0,random_scalar16
a_min_000003,20260513,single,0.05,0.9,random,eval_003,13,11,cand_lan_a_d,3,scalar16,1,0.97823,1,0.360349,0.009,1,0,random_scalar16
a_min_000004,20260513,single,0.05,0.9,random,eval_004,13,11,cand_lan_b_d,3,scalar16,1,1.01183,1,0.360349,0.0245,1,0,random_scalar16
a_min_000005,20260513,single,0.05,0.9,random,eval_005,13,11,cand_wan_a_d,3,scalar16,1,1.07032,1,0.360349,0.009,1,0,random_scalar16
a_min_000006,20260513,single,0.05,0.9,random,eval_006,13,11,cand_wan_a_brtxint8,3,scalar16,1,1.05316,1,0.360349,0.0155,1,0,random_scalar16
a_min_000007,20260513,single,0.05,0.9,random,eval_007,13,11,cand_lan_a_brtxint8,3,scalar16,1,0.96332,1,0.360349,0.0155,1,0,random_scalar16
a_min_000008,20260513,single,0.05,0.9,random,eval_008,13,11,cand_homo_ff,1,scalar16,1,1.21954,1,0.360349,0.0,0,1,random_scalar16
a_min_000009,20260513,single,0.05,0.9,random,eval_009,13,11,cand_wan_b_d,3,scalar16,1,1.10536,1,0.360349,0.0245,1,0,random_scalar16
a_min_000010,20260513,single,0.05,0.9,random,eval_010,13,11,cand_wan_a_c,3,scalar16,1,1.08703,1,0.360349,0.011,1,0,random_scalar16
a_min_000011,20260513,single,0.05,0.9,random,eval_011,13,11,cand_lan_a_c,3,scalar16,1,0.99332,1,0.360349,0.011,1,0,random_scalar16
a_min_000012,20260513,single,0.05,0.9,random,eval_012,13,11,cand_lan_a_brtxint8,3,scalar16,1,0.9599,1,0.360349,0.0155,1,0,random_scalar16
a_min_000013,20260513,single,0.05,0.9,random,eval_013,13,11,cand_lan_a_b,3,scalar16,1,0.94292,1,0.360349,0.015,1,0,random_scalar16
a_min_000014,20260513,single,0.05,0.9,random,eval_014,13,11,cand_wan_a_b,3,scalar16,1,1.03492,1,0.360349,0.015,1,0,random_scalar16
a_min_000015,20260513,single,0.05,0.9,random,eval_015,13,11,cand_wan_a_c,3,scalar16,1,1.08541,1,0.360349,0.011,1,0,random_scalar16
a_min_000016,20260513,single,0.05,0.9,random,eval_016,13,11,cand_lan_a_brtxint8,3,scalar16,1,0.95945,1,0.360349,0.0155,1,0,random_scalar16
a_min_000017,20260513,single,0.05,0.9,random,eval_017,13,11,cand_homo_ff,1,scalar16,1,1.21801,1,0.360349,0.0,0,1,random_scalar16
a_min_000018,20260513,single,0.05,0.9,random,eval_018,13,11,cand_wan_a_brtxint8,3,scalar16,1,1.05343,1,0.360349,0.0155,1,0,random_scalar16
a_min_000019,20260513,single,0.05,0.9,random,eval_019,13,11,cand_lan_e_f,3,scalar16,1,0.92765,1,0.360349,0.0165,1,0,random_scalar16
a_min_000020,20260513,single,0.05,0.9,random,eval_020,13,11,cand_lan_a_c,3,scalar16,1,0.99332,1,0.360349,0.011,1,0,random_scalar16
a_min_000021,20260513,single,0.05,0.9,random,eval_021,13,11,cand_wan_a_c,3,scalar16,1,1.08451,1,0.360349,0.011,1,0,random_scalar16
a_min_000022,20260513,single,0.05,0.9,random,eval_022,13,11,cand_wan_e_f,3,scalar16,1,1.01749,1,0.360349,0.0165,1,0,random_scalar16
a_min_000023,20260513,single,0.05,0.9,random,eval_023,13,11,cand_lan_a_b,3,scalar16,1,0.94211,1,0.360349,0.015,1,0,random_scalar16
a_min_000024,20260513,single,0.05,0.9,random,eval_024,13,11,cand_wan_e_f,3,scalar16,1,1.01731,1,0.360349,0.0165,1,0,random_scalar16
a_min_000025,20260513,single,0.05,0.9,random,eval_025,13,11,cand_wan_a_b,3,scalar16,1,1.0342,1,0.360349,0.015,1,0,random_scalar16
a_min_000026,20260513,single,0.05,0.9,random,eval_026,13,11,cand_wan_a_brtxint8,3,scalar16,1,1.05064,1,0.360349,0.0155,1,0,random_scalar16
a_min_000027,20260513,single,0.05,0.9,random,eval_027,13,11,cand_wan_b_d,3,scalar16,1,1.1032,1,0.360349,0.0245,1,0,random_scalar16
a_min_000028,20260513,single,0.05,0.9,random,eval_028,13,11,cand_wan_a_d,3,scalar16,1,1.06942,1,0.360349,0.009,1,0,random_scalar16
a_min_000029,20260513,single,0.05,0.9,random,eval_029,13,11,cand_lan_a_b,3,scalar16,1,0.94364,1,0.360349,0.015,1,0,random_scalar16
a_min_000030,20260513,single,0.05,0.9,random,eval_030,13,11,cand_homo_ff,1,scalar16,1,1.21531,1,0.360349,0.0,0,1,random_scalar16
a_min_000031,20260513,single,0.05,0.9,random,eval_031,13,11,cand_lan_a_b,3,scalar16,1,0.94373,1,0.360349,0.015,1,0,random_scalar16
a_min_000032,20260513,single,0.05,0.9,random,eval_032,13,11,cand_lan_a_d,3,scalar16,1,0.97751,1,0.360349,0.009,1,0,random_scalar16
a_min_000033,20260513,single,0.05,0.9,random,eval_033,13,11,cand_wan_a_d,3,scalar16,1,1.06933,1,0.360349,0.009,1,0,random_scalar16
a_min_000034,20260513,single,0.05,0.9,random,eval_034,13,11,cand_lan_a_c,3,scalar16,1,0.99413,1,0.360349,0.011,1,0,random_scalar16
a_min_000035,20260513,single,0.05,0.9,random,eval_035,13,11,cand_wan_a_brtxint8,3,scalar16,1,1.05262,1,0.360349,0.0155,1,0,random_scalar16
a_min_000036,20260513,single,0.05,0.9,random,eval_036,13,11,cand_wan_a_d,3,scalar16,1,1.06906,1,0.360349,0.009,1,0,random_scalar16
a_min_000037,20260513,single,0.05,0.9,random,eval_037,13,11,cand_wan_a_c,3,scalar16,1,1.08802,1,0.360349,0.011,1,0,random_scalar16
a_min_000038,20260513,single,0.05,0.9,random,eval_038,13,11,cand_lan_a_d,3,scalar16,1,0.97904,1,0.360349,0.009,1,0,random_scalar16
a_min_000039,20260513,single,0.05,0.9,random,eval_039,13,11,cand_wan_a_c,3,scalar16,1,1.08766,1,0.360349,0.011,1,0,random_scalar16
a_min_000040,20260513,single,0.05,0.9,random,eval_040,13,11,cand_lan_a_brtxint8,3,scalar16,1,0.96053,1,0.360349,0.0155,1,0,random_scalar16
a_min_000041,20260513,single,0.05,0.9,random,eval_041,13,11,cand_lan_e_f,3,scalar16,1,0.92693,1,0.360349,0.0165,1,0,random_scalar16
a_min_000042,20260513,single,0.05,0.9,random,eval_042,13,11,cand_lan_a_d,3,scalar16,1,0.97751,1,0.360349,0.009,1,0,random_scalar16
a_min_000043,20260513,single,0.05,0.9,random,eval_043,13,11,cand_lan_a_brtxint8,3,scalar16,1,0.96053,1,0.360349,0.0155,1,0,random_scalar16
a_min_000044,20260513,single,0.05,0.9,random,eval_044,13,11,cand_homo_ff,1,scalar16,1,1.21693,1,0.360349,0.0,0,1,random_scalar16
a_min_000045,20260513,single,0.05,0.9,random,eval_045,13,11,cand_wan_a_d,3,scalar16,1,1.06942,1,0.360349,0.009,1,0,random_scalar16
a_min_000046,20260513,single,0.05,0.9,random,eval_046,13,11,cand_lan_a_d,3,scalar16,1,0.97706,1,0.360349,0.009,1,0,random_scalar16
a_min_000047,20260513,single,0.05,0.9,random,eval_047,13,11,cand_wan_a_b,3,scalar16,1,1.03762,1,0.360349,0.015,1,0,random_scalar16
a_min_000048,20260513,single,0.05,0.9,random,eval_048,13,11,cand_wan_b_d,3,scalar16,1,1.10464,1,0.360349,0.0245,1,0,random_scalar16
a_min_000049,20260513,single,0.05,0.9,random,eval_049,13,11,cand_wan_a_b,3,scalar16,1,1.03726,1,0.360349,0.015,1,0,random_scalar16
a_min_000050,20260513,single,0.05,0.9,random,eval_050,13,11,cand_lan_e_f,3,scalar16,1,0.92693,1,0.360349,0.0165,1,0,random_scalar16
a_min_000051,20260513,single,0.05,0.9,random,eval_051,13,11,cand_wan_a_brtxint8,3,scalar16,1,1.05352,1,0.360349,0.0155,1,0,random_scalar16
a_min_000052,20260513,single,0.05,0.9,random,eval_052,13,11,cand_lan_b_d,3,scalar16,1,1.0121,1,0.360349,0.0245,1,0,random_scalar16
a_min_000053,20260513,single,0.05,0.9,random,eval_053,13,11,cand_lan_a_c,3,scalar16,1,0.99512,1,0.360349,0.011,1,0,random_scalar16
a_min_000054,20260513,single,0.05,0.9,random,eval_054,13,11,cand_wan_e_f,3,scalar16,1,1.01992,1,0.360349,0.0165,1,0,random_scalar16
a_min_000055,20260513,single,0.05,0.9,random,eval_055,13,11,cand_wan_a_d,3,scalar16,1,1.07041,1,0.360349,0.009,1,0,random_scalar16
a_min_000056,20260513,single,0.05,0.9,random,eval_056,13,11,cand_wan_a_b,3,scalar16,1,1.03645,1,0.360349,0.015,1,0,random_scalar16
a_min_000057,20260513,single,0.05,0.9,random,eval_057,13,11,cand_lan_b_d,3,scalar16,1,1.01381,1,0.360349,0.0245,1,0,random_scalar16
