workload,alpha,beta,policy,seed_count,latency_median_s,latency_p95_s,goodput,challenge_ms_task_mean,false_risk_mean,infeasible_rate,low_risk_share,admission_rate,feasible_candidate_mean
queued-8,0.05,0.9,adaptive_verifier,5,91.844145,173.576465,1.059751,0.379823,0.002,0.0,1.0,1.0,11.0
queued-8,0.05,0.9,cost_only_scalar,5,119.300745,225.498125,0.821816,0.360349,0.0,0.0,1.0,1.0,11.0
queued-8,0.05,0.9,homogeneous_only,5,119.300745,225.498125,0.821816,0.360349,0.0,0.0,1.0,1.0,11.0
queued-8,0.05,0.9,network_aware_adaptive,5,90.155745,170.383625,1.078961,0.391952,0.0005,0.0,1.0,1.0,11.0
queued-8,0.05,0.9,network_aware_projcos4,5,90.155745,170.383625,1.078961,0.379823,0.0105,1.0,0.0,1.0,11.0
queued-8,0.05,0.9,network_aware_scalar,5,90.155745,170.383625,1.078961,0.360349,0.0165,1.0,0.0,1.0,11.0
queued-8,0.05,0.9,queue_aware_adaptive,5,6.907445,12.499287,10.558029,0.380667,0.002015,0.0,1.0,1.0,11.0
queued-8,0.05,0.9,queue_aware_network,5,5.5219,9.75676,12.266349,0.360349,0.014245,0.935,0.065,1.0,11.0
queued-8,0.05,0.9,queue_aware_verif_constrained,5,8.936875,16.415759,8.528563,0.379823,0.00236,0.0,1.0,1.0,11.0
queued-8,0.05,0.9,random,5,5.469579,12.930286,8.84793,0.360349,0.014036,0.924,0.076,1.0,11.0
queued-8,0.05,0.9,risk_weighted_scalar,5,90.155745,170.383625,1.078961,0.360349,0.0165,1.0,0.0,1.0,11.0
queued-8,0.05,0.9,verif_constrained_projcos4,5,91.844145,173.576465,1.059751,0.379823,0.002,0.0,1.0,1.0,11.0
queued-8,0.1,0.9,adaptive_verifier,5,91.844145,173.576465,1.059751,0.379823,0.002,0.0,1.0,1.0,13.0
queued-8,0.1,0.9,cost_only_scalar,5,119.300745,225.498125,0.821816,0.360349,0.0,0.0,1.0,1.0,13.0
queued-8,0.1,0.9,homogeneous_only,5,119.300745,225.498125,0.821816,0.360349,0.0,0.0,1.0,1.0,13.0
queued-8,0.1,0.9,network_aware_adaptive,5,90.155745,170.383625,1.078961,0.391952,0.0005,0.0,1.0,1.0,13.0
queued-8,0.1,0.9,network_aware_projcos4,5,90.155745,170.383625,1.078961,0.379823,0.0105,1.0,0.0,1.0,13.0
queued-8,0.1,0.9,network_aware_scalar,5,90.155745,170.383625,1.078961,0.360349,0.0165,1.0,0.0,1.0,13.0
queued-8,0.1,0.9,queue_aware_adaptive,5,5.45668,9.780877,12.250503,0.380498,0.00283,0.0,1.0,1.0,13.0
queued-8,0.1,0.9,queue_aware_network,5,5.5219,9.75676,12.266349,0.360349,0.014245,0.935,0.065,1.0,13.0
queued-8,0.1,0.9,queue_aware_verif_constrained,5,7.00391,12.71433,10.39218,0.379823,0.00329,0.0,1.0,1.0,13.0
queued-8,0.1,0.9,random,5,5.594989,13.957266,8.515994,0.360349,0.013911,0.918,0.082,1.0,13.0
queued-8,0.1,0.9,risk_weighted_scalar,5,90.155745,170.383625,1.078961,0.360349,0.0165,1.0,0.0,1.0,13.0
queued-8,0.1,0.9,verif_constrained_projcos4,5,91.844145,173.576465,1.059751,0.379823,0.002,0.0,1.0,1.0,13.0
queued-8,0.2,0.9,adaptive_verifier,5,90.155745,170.383625,1.078961,0.360349,0.0165,0.0,0.0,1.0,13.0
queued-8,0.2,0.9,cost_only_scalar,5,119.300745,225.498125,0.821816,0.360349,0.0,0.0,1.0,1.0,13.0
queued-8,0.2,0.9,homogeneous_only,5,119.300745,225.498125,0.821816,0.360349,0.0,0.0,1.0,1.0,13.0
queued-8,0.2,0.9,network_aware_adaptive,5,90.155745,170.383625,1.078961,0.360349,0.0165,0.0,0.0,1.0,13.0
queued-8,0.2,0.9,network_aware_projcos4,5,90.155745,170.383625,1.078961,0.379823,0.0105,0.0,0.0,1.0,13.0
queued-8,0.2,0.9,network_aware_scalar,5,90.155745,170.383625,1.078961,0.360349,0.0165,0.0,0.0,1.0,13.0
queued-8,0.2,0.9,queue_aware_adaptive,5,5.5219,9.756931,12.265401,0.375344,0.005463,0.0,0.835,1.0,13.0
queued-8,0.2,0.9,queue_aware_network,5,5.5219,9.75676,12.266349,0.360349,0.014245,0.77,0.065,1.0,13.0
queued-8,0.2,0.9,queue_aware_verif_constrained,5,5.5219,9.75676,12.266349,0.379823,0.004472,0.0,0.835,1.0,13.0
queued-8,0.2,0.9,random,5,5.559953,13.404873,8.226447,0.360349,0.014345,0.78,0.059,1.0,13.0
queued-8,0.2,0.9,risk_weighted_scalar,5,90.155745,170.383625,1.078961,0.360349,0.0165,0.0,0.0,1.0,13.0
queued-8,0.2,0.9,verif_constrained_projcos4,5,90.155745,170.383625,1.078961,0.379823,0.0105,0.0,0.0,1.0,13.0
single,0.05,0.9,adaptive_verifier,5,0.943595,0.94562,0.200815,0.379823,0.002,0.0,1.0,1.0,11.0
single,0.05,0.9,cost_only_scalar,5,1.216795,1.21882,0.200759,0.360349,0.0,0.0,1.0,1.0,11.0
single,0.05,0.9,homogeneous_only,5,1.216795,1.21882,0.200759,0.360349,0.0,0.0,1.0,1.0,11.0
single,0.05,0.9,network_aware_adaptive,5,0.926795,0.92882,0.200818,0.391952,0.0005,0.0,1.0,1.0,11.0
single,0.05,0.9,network_aware_projcos4,5,0.926795,0.92882,0.200818,0.379823,0.0105,1.0,0.0,1.0,11.0
single,0.05,0.9,network_aware_scalar,5,0.926795,0.92882,0.200818,0.360349,0.0165,1.0,0.0,1.0,11.0
single,0.05,0.9,queue_aware_adaptive,5,0.943595,0.94562,0.200815,0.379823,0.002,0.0,1.0,1.0,11.0
single,0.05,0.9,queue_aware_network,5,0.926795,0.92882,0.200818,0.360349,0.0165,1.0,0.0,1.0,11.0
single,0.05,0.9,queue_aware_verif_constrained,5,0.943595,0.94562,0.200815,0.379823,0.002,0.0,1.0,1.0,11.0
single,0.05,0.9,random,5,1.024687,1.216356,0.200793,0.360349,0.013973,0.919,0.081,1.0,11.0
single,0.05,0.9,risk_weighted_scalar,5,0.926795,0.92882,0.200818,0.360349,0.0165,1.0,0.0,1.0,11.0
single,0.05,0.9,verif_constrained_projcos4,5,0.943595,0.94562,0.200815,0.379823,0.002,0.0,1.0,1.0,11.0
single,0.1,0.9,adaptive_verifier,5,0.943595,0.94562,0.200815,0.379823,0.002,0.0,1.0,1.0,13.0
single,0.1,0.9,cost_only_scalar,5,1.216795,1.21882,0.200759,0.360349,0.0,0.0,1.0,1.0,13.0
single,0.1,0.9,homogeneous_only,5,1.216795,1.21882,0.200759,0.360349,0.0,0.0,1.0,1.0,13.0
single,0.1,0.9,network_aware_adaptive,5,0.926795,0.92882,0.200818,0.391952,0.0005,0.0,1.0,1.0,13.0
single,0.1,0.9,network_aware_projcos4,5,0.926795,0.92882,0.200818,0.379823,0.0105,1.0,0.0,1.0,13.0
single,0.1,0.9,network_aware_scalar,5,0.926795,0.92882,0.200818,0.360349,0.0165,1.0,0.0,1.0,13.0
single,0.1,0.9,queue_aware_adaptive,5,0.943595,0.94562,0.200815,0.379823,0.002,0.0,1.0,1.0,13.0
single,0.1,0.9,queue_aware_network,5,0.926795,0.92882,0.200818,0.360349,0.0165,1.0,0.0,1.0,13.0
single,0.1,0.9,queue_aware_verif_constrained,5,0.943595,0.94562,0.200815,0.379823,0.002,0.0,1.0,1.0,13.0
single,0.1,0.9,random,5,1.019503,1.216268,0.200796,0.360349,0.014199,0.916,0.084,1.0,13.0
single,0.1,0.9,risk_weighted_scalar,5,0.926795,0.92882,0.200818,0.360349,0.0165,1.0,0.0,1.0,13.0
single,0.1,0.9,verif_constrained_projcos4,5,0.943595,0.94562,0.200815,0.379823,0.002,0.0,1.0,1.0,13.0
single,0.2,0.9,adaptive_verifier,5,0.926795,0.92882,0.200818,0.360349,0.0165,0.0,0.0,1.0,13.0
single,0.2,0.9,cost_only_scalar,5,1.216795,1.21882,0.200759,0.360349,0.0,0.0,1.0,1.0,13.0
single,0.2,0.9,homogeneous_only,5,1.216795,1.21882,0.200759,0.360349,0.0,0.0,1.0,1.0,13.0
single,0.2,0.9,network_aware_adaptive,5,0.926795,0.92882,0.200818,0.360349,0.0165,0.0,0.0,1.0,13.0
single,0.2,0.9,network_aware_projcos4,5,0.926795,0.92882,0.200818,0.379823,0.0105,0.0,0.0,1.0,13.0
single,0.2,0.9,network_aware_scalar,5,0.926795,0.92882,0.200818,0.360349,0.0165,0.0,0.0,1.0,13.0
single,0.2,0.9,queue_aware_adaptive,5,0.926795,0.92882,0.200818,0.360349,0.0165,0.0,0.0,1.0,13.0
single,0.2,0.9,queue_aware_network,5,0.926795,0.92882,0.200818,0.360349,0.0165,0.0,0.0,1.0,13.0
single,0.2,0.9,queue_aware_verif_constrained,5,0.926795,0.92882,0.200818,0.379823,0.0105,0.0,0.0,1.0,13.0
single,0.2,0.9,random,5,1.017537,1.216071,0.200802,0.360349,0.013964,0.784,0.077,1.0,13.0
single,0.2,0.9,risk_weighted_scalar,5,0.926795,0.92882,0.200818,0.360349,0.0165,0.0,0.0,1.0,13.0
single,0.2,0.9,verif_constrained_projcos4,5,0.926795,0.92882,0.200818,0.379823,0.0105,0.0,0.0,1.0,13.0
