seed,workload,alpha,beta,policy,latency_median_s,latency_p95_s,goodput,challenge_ms_task_mean,false_risk_mean,infeasible_rate,low_risk_share,admission_rate,feasible_candidate_mean
20260513,single,0.05,0.9,random,1.034155,1.216214,0.200796,0.360349,0.01376,0.935,0.065,1.0,11
20260513,single,0.05,0.9,cost_only_scalar,1.216795,1.21882,0.200759,0.360349,0.0,0,1,1.0,11
20260513,single,0.05,0.9,network_aware_scalar,0.926795,0.92882,0.200818,0.360349,0.0165,1,0,1.0,11
20260513,single,0.05,0.9,network_aware_projcos4,0.926795,0.92882,0.200818,0.379823,0.0105,1,0,1.0,11
20260513,single,0.05,0.9,network_aware_adaptive,0.926795,0.92882,0.200818,0.391952,0.0005,0,1,1.0,11
20260513,single,0.05,0.9,risk_weighted_scalar,0.926795,0.92882,0.200818,0.360349,0.0165,1,0,1.0,11
20260513,single,0.05,0.9,verif_constrained_projcos4,0.943595,0.94562,0.200815,0.379823,0.002,0,1,1.0,11
20260513,single,0.05,0.9,adaptive_verifier,0.943595,0.94562,0.200815,0.379823,0.002,0,1,1.0,11
20260513,single,0.05,0.9,queue_aware_network,0.926795,0.92882,0.200818,0.360349,0.0165,1,0,1.0,11
20260513,single,0.05,0.9,queue_aware_verif_constrained,0.943595,0.94562,0.200815,0.379823,0.002,0,1,1.0,11
20260513,single,0.05,0.9,queue_aware_adaptive,0.943595,0.94562,0.200815,0.379823,0.002,0,1,1.0,11
20260513,single,0.05,0.9,homogeneous_only,1.216795,1.21882,0.200759,0.360349,0.0,0,1,1.0,11
20260513,single,0.1,0.9,random,1.01538,1.21657,0.200789,0.360349,0.01378,0.9,0.1,1.0,13
20260513,single,0.1,0.9,cost_only_scalar,1.216795,1.21882,0.200759,0.360349,0.0,0,1,1.0,13
20260513,single,0.1,0.9,network_aware_scalar,0.926795,0.92882,0.200818,0.360349,0.0165,1,0,1.0,13
20260513,single,0.1,0.9,network_aware_projcos4,0.926795,0.92882,0.200818,0.379823,0.0105,1,0,1.0,13
20260513,single,0.1,0.9,network_aware_adaptive,0.926795,0.92882,0.200818,0.391952,0.0005,0,1,1.0,13
20260513,single,0.1,0.9,risk_weighted_scalar,0.926795,0.92882,0.200818,0.360349,0.0165,1,0,1.0,13
20260513,single,0.1,0.9,verif_constrained_projcos4,0.943595,0.94562,0.200815,0.379823,0.002,0,1,1.0,13
20260513,single,0.1,0.9,adaptive_verifier,0.943595,0.94562,0.200815,0.379823,0.002,0,1,1.0,13
20260513,single,0.1,0.9,queue_aware_network,0.926795,0.92882,0.200818,0.360349,0.0165,1,0,1.0,13
20260513,single,0.1,0.9,queue_aware_verif_constrained,0.943595,0.94562,0.200815,0.379823,0.002,0,1,1.0,13
20260513,single,0.1,0.9,queue_aware_adaptive,0.943595,0.94562,0.200815,0.379823,0.002,0,1,1.0,13
20260513,single,0.1,0.9,homogeneous_only,1.216795,1.21882,0.200759,0.360349,0.0,0,1,1.0,13
20260513,single,0.2,0.9,random,1.017625,1.215409,0.200808,0.360349,0.013835,0.785,0.06,1.0,13
20260513,single,0.2,0.9,cost_only_scalar,1.216795,1.21882,0.200759,0.360349,0.0,0,1,1.0,13
20260513,single,0.2,0.9,network_aware_scalar,0.926795,0.92882,0.200818,0.360349,0.0165,0,0,1.0,13
20260513,single,0.2,0.9,network_aware_projcos4,0.926795,0.92882,0.200818,0.379823,0.0105,0,0,1.0,13
20260513,single,0.2,0.9,network_aware_adaptive,0.926795,0.92882,0.200818,0.360349,0.0165,0,0,1.0,13
20260513,single,0.2,0.9,risk_weighted_scalar,0.926795,0.92882,0.200818,0.360349,0.0165,0,0,1.0,13
20260513,single,0.2,0.9,verif_constrained_projcos4,0.926795,0.92882,0.200818,0.379823,0.0105,0,0,1.0,13
20260513,single,0.2,0.9,adaptive_verifier,0.926795,0.92882,0.200818,0.360349,0.0165,0,0,1.0,13
20260513,single,0.2,0.9,queue_aware_network,0.926795,0.92882,0.200818,0.360349,0.0165,0,0,1.0,13
20260513,single,0.2,0.9,queue_aware_verif_constrained,0.926795,0.92882,0.200818,0.379823,0.0105,0,0,1.0,13
20260513,single,0.2,0.9,queue_aware_adaptive,0.926795,0.92882,0.200818,0.360349,0.0165,0,0,1.0,13
20260513,single,0.2,0.9,homogeneous_only,1.216795,1.21882,0.200759,0.360349,0.0,0,1,1.0,13
20260513,queued-8,0.05,0.9,random,5.701355,12.413858,9.031119,0.360349,0.014117,0.91,0.09,1.0,11
20260513,queued-8,0.05,0.9,cost_only_scalar,119.300745,225.498125,0.821816,0.360349,0.0,0,1,1.0,11
