run_id,network,mode,payload_mb,group_size,concurrency,provider_id,replicate_id,t0_start_ms,t1_encrypt_done_ms,t2_publish_done_ms,t3_access_sent_ms,t4_first_ready_ms,t5_all_ready_ms,requester_egress_mb,store_egress_mb,provider_fetch_ms,access_pkg_bytes,access_pkg_bytes_mean,success,notes
lan_rpd_100_1_001,LAN,RPD,100,1,1,ALL,1,0.0,10.609125,,862.923091,862.923091,862.923091,100.000016,0.0,,0,0.0,1,fresh_cid=bafy1fbf4314d40a613b113c604ee661b84fe5a5fa8a08507445;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_002,LAN,RPD,100,1,1,ALL,2,0.0,10.278644,,862.640301,862.640301,862.640301,100.000016,0.0,,0,0.0,1,fresh_cid=bafy490e668864f8a0cbfd944589eba6d90123f55804ab4906f4;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_003,LAN,RPD,100,1,1,ALL,3,0.0,10.451206,,863.74502,863.74502,863.74502,100.000016,0.0,,0,0.0,1,fresh_cid=bafy7d944ba5c96ef7292790db1c59a294c6579c8797a2b72789;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_004,LAN,RPD,100,1,1,ALL,4,0.0,10.325572,,863.69088,863.69088,863.69088,100.000016,0.0,,0,0.0,1,fresh_cid=bafyda657dea4d8d9971e3e9a0a18dd3799941941582077b8e69;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_005,LAN,RPD,100,1,1,ALL,5,0.0,10.541495,,863.885932,863.885932,863.885932,100.000016,0.0,,0,0.0,1,fresh_cid=bafyc91ecd0ef7b7d7826695f04cfaa0384b76460f360c1dd459;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_006,LAN,RPD,100,1,1,ALL,6,0.0,10.461347,,862.775313,862.775313,862.775313,100.000016,0.0,,0,0.0,1,fresh_cid=bafyf6acc7df24e18bed5aeb505389e55259b0f69e9fc0f23b84;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_007,LAN,RPD,100,1,1,ALL,7,0.0,10.473494,,862.78746,862.78746,862.78746,100.000016,0.0,,0,0.0,1,fresh_cid=bafye007fb7b0ed2163c3c8201d959399cebc43c8747ee544841;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_008,LAN,RPD,100,1,1,ALL,8,0.0,10.46948,,862.875944,862.875944,862.875944,100.000016,0.0,,0,0.0,1,fresh_cid=bafy47e4d7ce8fd41341de58504f9078661c702d8a767264c9ad;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_009,LAN,RPD,100,1,1,ALL,9,0.0,10.598467,,864.979602,864.979602,864.979602,100.000016,0.0,,0,0.0,1,fresh_cid=bafyb414ee154ea412188cb73a1e6dcb5f3c3a7432fc67fbd918;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_010,LAN,RPD,100,1,1,ALL,10,0.0,10.376629,,863.528298,863.528298,863.528298,100.000016,0.0,,0,0.0,1,fresh_cid=bafya8cdaa59a04bfd3ff3379aac44dda57d9c7a8ceb2a93873d;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_011,LAN,RPD,100,1,1,ALL,11,0.0,10.475659,,863.957342,863.957342,863.957342,100.000016,0.0,,0,0.0,1,fresh_cid=bafye75cf6504682881fb8fa126d411fe6d6c291f18cdfd3658e;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_012,LAN,RPD,100,1,1,ALL,12,0.0,10.6587,,863.516799,863.516799,863.516799,100.000016,0.0,,0,0.0,1,fresh_cid=bafye7579cbeb958ae5730313ded08a897eef139f0c4a6a68abb;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_013,LAN,RPD,100,1,1,ALL,13,0.0,10.753875,,864.419816,864.419816,864.419816,100.000016,0.0,,0,0.0,1,fresh_cid=bafyd83210013ad68fb7d6cd9da8d437f1689135626b7a2b6336;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_014,LAN,RPD,100,1,1,ALL,14,0.0,10.672606,,862.986572,862.986572,862.986572,100.000016,0.0,,0,0.0,1,fresh_cid=bafy5a8eca3b35ecb95125490b2747b51bd02b35af7b5226667a;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_015,LAN,RPD,100,1,1,ALL,15,0.0,10.300124,,865.62546,865.62546,865.62546,100.000016,0.0,,0,0.0,1,fresh_cid=bafy9bb9d381ac16d679a733b36906e707a6d948de424ca6dfbc;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_016,LAN,RPD,100,1,1,ALL,16,0.0,10.790549,,864.021045,864.021045,864.021045,100.000016,0.0,,0,0.0,1,fresh_cid=bafy1dc4b507128520bdc03894878099a2c865fcfea5f217be5e;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_017,LAN,RPD,100,1,1,ALL,17,0.0,10.397136,,863.85748,863.85748,863.85748,100.000016,0.0,,0,0.0,1,fresh_cid=bafyca6f753424e2654d5654b558b702e264816c7501456af05c;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_018,LAN,RPD,100,1,1,ALL,18,0.0,9.988794,,863.484606,863.484606,863.484606,100.000016,0.0,,0,0.0,1,fresh_cid=bafyfd93b4c29d864c125aef58316af5601792c06a46ffdd3c60;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_019,LAN,RPD,100,1,1,ALL,19,0.0,10.585809,,863.092721,863.092721,863.092721,100.000016,0.0,,0,0.0,1,fresh_cid=bafyd4ee06f677198ee3244445b00fda996bd7616b08f8c8995b;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_020,LAN,RPD,100,1,1,ALL,20,0.0,10.722808,,863.036774,863.036774,863.036774,100.000016,0.0,,0,0.0,1,fresh_cid=bafy98b75f2d9f90a0e2a6a1a23ed9af7748d9bec2acb85e6b1e;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_021,LAN,RPD,100,1,1,ALL,21,0.0,10.622371,,862.936337,862.936337,862.936337,100.000016,0.0,,0,0.0,1,fresh_cid=bafy39c052a72f19048769fcc41e6884ff07a2f2733ff9731134;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_022,LAN,RPD,100,1,1,ALL,22,0.0,10.486828,,865.048759,865.048759,865.048759,100.000016,0.0,,0,0.0,1,fresh_cid=bafy50722a64066c9fdea807275687fd139977eceac08e9c98c7;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_023,LAN,RPD,100,1,1,ALL,23,0.0,10.500923,,864.048178,864.048178,864.048178,100.000016,0.0,,0,0.0,1,fresh_cid=bafy96587195a078129c17bdce23a923013725eab786011fdb3b;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_024,LAN,RPD,100,1,1,ALL,24,0.0,10.56089,,862.874856,862.874856,862.874856,100.000016,0.0,,0,0.0,1,fresh_cid=bafy8277e07ef030fdf9963d3242105ae0711839d90067471489;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_025,LAN,RPD,100,1,1,ALL,25,0.0,10.867592,,864.023712,864.023712,864.023712,100.000016,0.0,,0,0.0,1,fresh_cid=bafyfc9ed575fe5f403df6aec250c915c807552af5e39cff574c;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_026,LAN,RPD,100,1,1,ALL,26,0.0,10.429817,,863.775347,863.775347,863.775347,100.000016,0.0,,0,0.0,1,fresh_cid=bafy36f581b80fb24f6e09450a7b46cd27351fdf32c387d5901b;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_027,LAN,RPD,100,1,1,ALL,27,0.0,10.403722,,864.761362,864.761362,864.761362,100.000016,0.0,,0,0.0,1,fresh_cid=bafydf1dfd75341ec7e29c06f258ee7ea158a0684130196a0b1b;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_028,LAN,RPD,100,1,1,ALL,28,0.0,10.551776,,862.865742,862.865742,862.865742,100.000016,0.0,,0,0.0,1,fresh_cid=bafyb5acfdc0a4215248d069394273d19e7d8ea324c122bb3d8f;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_029,LAN,RPD,100,1,1,ALL,29,0.0,10.271842,,864.160142,864.160142,864.160142,100.000016,0.0,,0,0.0,1,fresh_cid=bafy895b15d5166df9760bd5c46e23fdd4cc4a1ce4b7ad34d415;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_1_030,LAN,RPD,100,1,1,ALL,30,0.0,10.416762,,862.730728,862.730728,862.730728,100.000016,0.0,,0,0.0,1,fresh_cid=bafyeec87a23d88308a823115a81a50360198b861ef06d9705cc;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_001,LAN,RPD,100,2,2,ALL,1,0.0,10.53101,,1714.10237,1714.10237,1714.10237,200.000032,0.0,,0,0.0,1,fresh_cid=bafy101773841387cea19527f363bed04c120f0f63466bb53576;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_002,LAN,RPD,100,2,2,ALL,2,0.0,10.713616,,1715.12921,1715.12921,1715.12921,200.000032,0.0,,0,0.0,1,fresh_cid=bafy0e364cc85a9bafe9dbc559bdc0a5afdc0af476c595e0ecb8;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_003,LAN,RPD,100,2,2,ALL,3,0.0,10.540093,,1716.830276,1716.830276,1716.830276,200.000032,0.0,,0,0.0,1,fresh_cid=bafy598dd1d896dd2e59a07bb6f763bd36f9394b4c79494ff065;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_004,LAN,RPD,100,2,2,ALL,4,0.0,10.319488,,1713.69742,1713.69742,1713.69742,200.000032,0.0,,0,0.0,1,fresh_cid=bafyf42636234ed949ddf0fbae263f0ea2e4dbb60d1844624343;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_005,LAN,RPD,100,2,2,ALL,5,0.0,10.531369,,1713.909301,1713.909301,1713.909301,200.000032,0.0,,0,0.0,1,fresh_cid=bafy31021abb2d1e056f37c5ed33d9a0c12e543890ab556be776;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_006,LAN,RPD,100,2,2,ALL,6,0.0,10.312547,,1713.690479,1713.690479,1713.690479,200.000032,0.0,,0,0.0,1,fresh_cid=bafy1c5d39c5f9ffb27f217151c13ee099d7a9a817a9dfc30490;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_007,LAN,RPD,100,2,2,ALL,7,0.0,10.518143,,1716.710568,1716.710568,1716.710568,200.000032,0.0,,0,0.0,1,fresh_cid=bafy1011e5e4cc6f8050e59bee39c15c15e5e629fe4f1a5e642e;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_008,LAN,RPD,100,2,2,ALL,8,0.0,10.397205,,1714.235383,1714.235383,1714.235383,200.000032,0.0,,0,0.0,1,fresh_cid=bafy4856637f381ae4da0971510a46c78c831d448bcaf64c3dfa;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_009,LAN,RPD,100,2,2,ALL,9,0.0,10.562692,,1715.406227,1715.406227,1715.406227,200.000032,0.0,,0,0.0,1,fresh_cid=bafyc3a4eb81f48c1096f8a45ac2c1f4fd827af107ee8f45b62c;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_010,LAN,RPD,100,2,2,ALL,10,0.0,10.401346,,1716.113506,1716.113506,1716.113506,200.000032,0.0,,0,0.0,1,fresh_cid=bafya8c15160aacfd692d1ef1b719e80e7215af1d9bb2ed8e4a8;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_011,LAN,RPD,100,2,2,ALL,11,0.0,10.515411,,1714.680711,1714.680711,1714.680711,200.000032,0.0,,0,0.0,1,fresh_cid=bafy778681095b19bf6ed2cab39dd644f8768a1f4d26395d69c5;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_012,LAN,RPD,100,2,2,ALL,12,0.0,10.455619,,1714.340042,1714.340042,1714.340042,200.000032,0.0,,0,0.0,1,fresh_cid=bafy44f36bfa7e6a71104eb8bbd26c0082d038e1c5438dc9e2e7;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_013,LAN,RPD,100,2,2,ALL,13,0.0,10.72775,,1714.251775,1714.251775,1714.251775,200.000032,0.0,,0,0.0,1,fresh_cid=bafyaab5050f39f485cdc5b9ad0580f4933fd0aaf466a7aaea4a;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_014,LAN,RPD,100,2,2,ALL,14,0.0,10.77858,,1715.825508,1715.825508,1715.825508,200.000032,0.0,,0,0.0,1,fresh_cid=bafy6274ed3a6f7cd2cce4cd3410d2f75a7281cfcd3223ce8207;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_015,LAN,RPD,100,2,2,ALL,15,0.0,10.505777,,1715.319754,1715.319754,1715.319754,200.000032,0.0,,0,0.0,1,fresh_cid=bafy11906e818b1564782306abdbf573abad45f6d7643d11e382;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_016,LAN,RPD,100,2,2,ALL,16,0.0,10.240776,,1715.818491,1715.818491,1715.818491,200.000032,0.0,,0,0.0,1,fresh_cid=bafyac9f9a95f6503e4cf27966ae69751e7da864f4d44f892ceb;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_017,LAN,RPD,100,2,2,ALL,17,0.0,10.426728,,1713.80466,1713.80466,1713.80466,200.000032,0.0,,0,0.0,1,fresh_cid=bafyb847fa2dac8427809d195bc2b5885daa743a78f5bec2e647;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_018,LAN,RPD,100,2,2,ALL,18,0.0,10.45347,,1715.27327,1715.27327,1715.27327,200.000032,0.0,,0,0.0,1,fresh_cid=bafy48d5a8b556e6d54a1ea94d453c203b0b37b32c7cda43a126;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_019,LAN,RPD,100,2,2,ALL,19,0.0,10.196898,,1713.57483,1713.57483,1713.57483,200.000032,0.0,,0,0.0,1,fresh_cid=bafy80c0ce209fcd81030761c651e4329ead245ed80e9959e0f9;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_020,LAN,RPD,100,2,2,ALL,20,0.0,10.492428,,1718.112957,1718.112957,1718.112957,200.000032,0.0,,0,0.0,1,fresh_cid=bafyc5ed4ea7e6f8215849d0080408657364cc36e7d8fc47fccb;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_021,LAN,RPD,100,2,2,ALL,21,0.0,10.520429,,1714.324407,1714.324407,1714.324407,200.000032,0.0,,0,0.0,1,fresh_cid=bafy4efeaefa9c297463875e31f877038a97523b6d8f78b12aa5;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_022,LAN,RPD,100,2,2,ALL,22,0.0,10.516708,,1714.893658,1714.893658,1714.893658,200.000032,0.0,,0,0.0,1,fresh_cid=bafyde2a721d17d3dbb73735da0c6794ef5ec4e5c7d735f75282;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_023,LAN,RPD,100,2,2,ALL,23,0.0,10.433329,,1716.103111,1716.103111,1716.103111,200.000032,0.0,,0,0.0,1,fresh_cid=bafy00f2409d0b6b6fc90b4c66080638bfac01e9594869e217d6;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_024,LAN,RPD,100,2,2,ALL,24,0.0,10.355902,,1714.21215,1714.21215,1714.21215,200.000032,0.0,,0,0.0,1,fresh_cid=bafyf0549407771287fc31a4ad5be921ae292ea5e8520748fcc0;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_025,LAN,RPD,100,2,2,ALL,25,0.0,10.654359,,1716.460065,1716.460065,1716.460065,200.000032,0.0,,0,0.0,1,fresh_cid=bafyb8d9d23a185b13d709543bf69906ba6181e03522f707719b;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_026,LAN,RPD,100,2,2,ALL,26,0.0,10.350394,,1717.453341,1717.453341,1717.453341,200.000032,0.0,,0,0.0,1,fresh_cid=bafyfbc892c2e1c7498b999231a046205fb5fbcbb660bebc6f2e;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
