network,mode,payload_mb,group_size,n,median_ms,p95_ms,mean_ms,requester_egress_mb_mean,requester_egress_mb_p95,store_egress_mb_mean,store_egress_mb_p95,access_pkg_bytes_mean,reduction_vs_rpd_median,reduction_vs_rpd_p95,egress_reduction_vs_rpd
LAN,PPD,100,1,30,1719.327637,1721.754552,1719.456752,100.000594,100.000594,100.000016,100.000016,578.0,-0.990862,-0.990427,-6e-06
LAN,PPD,100,2,30,1719.852514,1721.676942,1719.831509,100.001172,100.001172,200.000032,200.000032,1156.0,-0.002954,-0.002623,0.499994
LAN,PPD,100,4,30,1719.35564,1720.998881,1719.326014,100.002328,100.002328,400.000064,400.000064,2312.0,0.496767,0.496765,0.749994
LAN,PPD,100,8,30,1719.162148,1721.315663,1719.310466,100.00464,100.00464,800.000128,800.000128,4624.0,0.74794,0.747712,0.874994
LAN,RPD,100,1,30,863.609589,865.017638,863.635187,100.000016,100.000016,0.0,0.0,0.0,0.0,0.0,0.0
LAN,RPD,100,2,30,1714.787184,1717.172962,1715.092547,200.000032,200.000032,0.0,0.0,0.0,0.0,0.0,0.0
LAN,RPD,100,4,30,3416.621955,3419.873063,3417.147214,400.000064,400.000064,0.0,0.0,0.0,0.0,0.0,0.0
LAN,RPD,100,8,30,6820.461003,6822.830791,6821.037086,800.000128,800.000128,0.0,0.0,0.0,0.0,0.0,0.0
WAN,PPD,100,1,30,30258.649613,30316.505642,30266.284781,100.000594,100.000594,100.000016,100.000016,578.0,-0.506332,-0.505649,-6e-06
WAN,PPD,100,2,30,30271.827979,30309.13562,30273.174431,100.001172,100.001172,200.000032,200.000032,1156.0,0.245076,0.244787,0.499994
WAN,PPD,100,4,30,30266.836907,30326.069234,30271.941351,100.002328,100.002328,400.000064,400.000064,2312.0,0.622082,0.621645,0.749994
WAN,PPD,100,8,30,30266.852281,30297.934127,30264.40936,100.00464,100.00464,800.000128,800.000128,4624.0,0.81095,0.810801,0.874994
WAN,RPD,100,1,30,20087.635602,20135.171933,20096.632473,100.000016,100.000016,0.0,0.0,0.0,0.0,0.0,0.0
WAN,RPD,100,2,30,40099.183851,40133.244581,40102.098391,200.000032,200.000032,0.0,0.0,0.0,0.0,0.0,0.0
WAN,RPD,100,4,30,80088.432853,80152.404664,80097.276501,400.000064,400.000064,0.0,0.0,0.0,0.0,0.0,0.0
WAN,RPD,100,8,30,160099.645329,160137.838703,160100.479537,800.000128,800.000128,0.0,0.0,0.0,0.0,0.0,0.0
