run_id,mode,payload_mb,group_size,concurrency,provider_id,replicate_id,content_hash,object_key,t0_start_ms,t1_encrypt_done_ms,t2_publish_done_ms,t3_access_sent_ms,t4_first_ready_ms,t5_all_ready_ms,encrypt_ms,requester_egress_mb,store_egress_mb,provider_fetch_ms,access_pkg_bytes,success,notes
live_rpd_100_1_001,RPD,100,1,1,ALL,1,a784843c8a7aa6464255ca90e2bfb5fa4711f9648b60b58d28e0961352dad982,sha256-a784843c8a7aa6464255ca90e2bfb5fa4711f9648b60b58d28e0961352dad982,0.0,921.851042,,1009.235292,1009.235292,1009.235292,16.036125,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_002,RPD,100,1,1,ALL,2,c19d70a59d56a32d8bdefc168f24ad8693cbc42d5dfe81a5a4e360850eb00fc2,sha256-c19d70a59d56a32d8bdefc168f24ad8693cbc42d5dfe81a5a4e360850eb00fc2,0.0,900.082375,,984.256792,984.256792,984.256792,10.517291,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_003,RPD,100,1,1,ALL,3,a3b848427ea80ff6e0118803ba6633c40aa20ecc5ae6c393687a7c417cee9ce5,sha256-a3b848427ea80ff6e0118803ba6633c40aa20ecc5ae6c393687a7c417cee9ce5,0.0,892.775542,,982.58325,982.58325,982.58325,10.485625,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_004,RPD,100,1,1,ALL,4,307d0534cf951327ad0425439640de4d3520ad1e47834d50fd1707b84796e05c,sha256-307d0534cf951327ad0425439640de4d3520ad1e47834d50fd1707b84796e05c,0.0,903.364542,,991.455209,991.455209,991.455209,10.156458,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_005,RPD,100,1,1,ALL,5,bd7e200de1abe1412400babf872879aa7e2e7aa2eaeced112cee21b31a104e41,sha256-bd7e200de1abe1412400babf872879aa7e2e7aa2eaeced112cee21b31a104e41,0.0,898.176833,,984.839083,984.839083,984.839083,10.4995,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_006,RPD,100,1,1,ALL,6,aaf55f369195d8feab423d5607d667a61e3668c32caa08581b49e6c2f03f3de0,sha256-aaf55f369195d8feab423d5607d667a61e3668c32caa08581b49e6c2f03f3de0,0.0,897.098208,,987.6535,987.6535,987.6535,10.228834,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_007,RPD,100,1,1,ALL,7,97e394bf1953a4953d6aa283ec2114d9664b42fb6cc1e916e120741df3a467da,sha256-97e394bf1953a4953d6aa283ec2114d9664b42fb6cc1e916e120741df3a467da,0.0,910.518459,,1002.816875,1002.816875,1002.816875,10.86275,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_008,RPD,100,1,1,ALL,8,55fec8b311c40ebfe97af665e67495502f3bab3d3313438c56da62eaf162b140,sha256-55fec8b311c40ebfe97af665e67495502f3bab3d3313438c56da62eaf162b140,0.0,889.562666,,973.043375,973.043375,973.043375,10.152958,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_009,RPD,100,1,1,ALL,9,c6f0049e13f0a5c5fd94641777b546cb34765fa8843626eca8ff593cb3d2d1dd,sha256-c6f0049e13f0a5c5fd94641777b546cb34765fa8843626eca8ff593cb3d2d1dd,0.0,919.687917,,1003.99025,1003.99025,1003.99025,10.203708,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_010,RPD,100,1,1,ALL,10,46f8879bb14d7959eefc7600b5e9baafb936a9c0403d3cdfde18125700eaa072,sha256-46f8879bb14d7959eefc7600b5e9baafb936a9c0403d3cdfde18125700eaa072,0.0,901.353583,,985.295,985.295,985.295,10.661208,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_011,RPD,100,1,1,ALL,11,5ca13b773e178e46dd30bbcdf7f25f8910597a793d98dc920c50fdc22d26175e,sha256-5ca13b773e178e46dd30bbcdf7f25f8910597a793d98dc920c50fdc22d26175e,0.0,900.508833,,985.088916,985.088916,985.088916,10.157792,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_012,RPD,100,1,1,ALL,12,82c590791204527d5acf70682ff8f25b4b117ba8b2096899267496c74b3e5646,sha256-82c590791204527d5acf70682ff8f25b4b117ba8b2096899267496c74b3e5646,0.0,898.061125,,982.9785,982.9785,982.9785,10.252208,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_013,RPD,100,1,1,ALL,13,ad867ef668f60b27cc11005abc1770adda470c11c1df71a99a2e58305fcb95f7,sha256-ad867ef668f60b27cc11005abc1770adda470c11c1df71a99a2e58305fcb95f7,0.0,909.699042,,994.953125,994.953125,994.953125,10.43675,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_014,RPD,100,1,1,ALL,14,71dd830453d5826931d4c8e8274d257b27e65d0eca6b309522e44167055b04b9,sha256-71dd830453d5826931d4c8e8274d257b27e65d0eca6b309522e44167055b04b9,0.0,903.370292,,987.103334,987.103334,987.103334,10.17425,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_015,RPD,100,1,1,ALL,15,1d40e9c3ab7cefffc4a41108143cad7077dfb712dc16be8485838967d8e0de31,sha256-1d40e9c3ab7cefffc4a41108143cad7077dfb712dc16be8485838967d8e0de31,0.0,905.735583,,990.819166,990.819166,990.819166,10.207292,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_016,RPD,100,1,1,ALL,16,decd738ece8d3e6bbafda68169a79ea53f3f1bfe7e4f34b6c00805706e378ccd,sha256-decd738ece8d3e6bbafda68169a79ea53f3f1bfe7e4f34b6c00805706e378ccd,0.0,908.380791,,992.601541,992.601541,992.601541,10.276,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_017,RPD,100,1,1,ALL,17,7f1840cc769792be285a8d3524b47c892774ab28da83ab6d5fdc431dea29d680,sha256-7f1840cc769792be285a8d3524b47c892774ab28da83ab6d5fdc431dea29d680,0.0,910.206084,,994.384459,994.384459,994.384459,10.302958,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_018,RPD,100,1,1,ALL,18,ab6388d42937762588d9ba16230233d14b606b60497d3163f081be2795db58a6,sha256-ab6388d42937762588d9ba16230233d14b606b60497d3163f081be2795db58a6,0.0,921.576417,,1006.67875,1006.67875,1006.67875,10.316417,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_019,RPD,100,1,1,ALL,19,01e9fce248f02f3f8bd676a057a4c4d97d8be73fa515343643a42dc322883031,sha256-01e9fce248f02f3f8bd676a057a4c4d97d8be73fa515343643a42dc322883031,0.0,909.114792,,993.597167,993.597167,993.597167,10.2475,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
