run_id,scheme,network,k,payload_mb,requester_egress_mb,publication_ms,access_package_ms,provider_fetch_ms,all_ready_ms,notes
lan_rpd_100_1_001,RPD,LAN,1,100,100.000016,0.0,862.923091,0.0,862.923091,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_1_002,RPD,LAN,1,100,100.000016,0.0,862.640301,0.0,862.640301,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_1_003,RPD,LAN,1,100,100.000016,0.0,863.74502,0.0,863.74502,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_1_004,RPD,LAN,1,100,100.000016,0.0,863.69088,0.0,863.69088,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_1_005,RPD,LAN,1,100,100.000016,0.0,863.885932,0.0,863.885932,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_1_006,RPD,LAN,1,100,100.000016,0.0,862.775313,0.0,862.775313,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_1_007,RPD,LAN,1,100,100.000016,0.0,862.78746,0.0,862.78746,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_1_008,RPD,LAN,1,100,100.000016,0.0,862.875944,0.0,862.875944,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_1_009,RPD,LAN,1,100,100.000016,0.0,864.979602,0.0,864.979602,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_1_010,RPD,LAN,1,100,100.000016,0.0,863.528298,0.0,863.528298,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_1_011,RPD,LAN,1,100,100.000016,0.0,863.957342,0.0,863.957342,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_1_012,RPD,LAN,1,100,100.000016,0.0,863.516799,0.0,863.516799,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_1_013,RPD,LAN,1,100,100.000016,0.0,864.419816,0.0,864.419816,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_1_014,RPD,LAN,1,100,100.000016,0.0,862.986572,0.0,862.986572,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_1_015,RPD,LAN,1,100,100.000016,0.0,865.62546,0.0,865.62546,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_1_016,RPD,LAN,1,100,100.000016,0.0,864.021045,0.0,864.021045,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_1_017,RPD,LAN,1,100,100.000016,0.0,863.85748,0.0,863.85748,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_1_018,RPD,LAN,1,100,100.000016,0.0,863.484606,0.0,863.484606,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_1_019,RPD,LAN,1,100,100.000016,0.0,863.092721,0.0,863.092721,fresh_unique_id;calibrated_delivery_path
