scheme,network,k,payload_mb,n_runs,median_all_ready_ms,p95_all_ready_ms,requester_egress_mb,reduction_vs_rpd_pct,egress_reduction_vs_rpd_pct
PPD,LAN,1,100,30,1719.3276365000002,1721.7545518000002,100.000594,-99.08621423377923,-0.0005779999075244231
RPD,LAN,1,100,30,863.6095889999999,865.01763835,100.000016,0.0,0.0
PPD,LAN,2,100,30,1719.8525144999999,1721.67694175,100.001172,-0.29539117423931877,49.99942200009248
RPD,LAN,2,100,30,1714.7871845,1717.17296175,200.000032,0.0,0.0
PPD,LAN,4,100,30,1719.3556395,1720.9988813,100.002328,49.67673736967483,74.9994220000925
RPD,LAN,4,100,30,3416.6219549999996,3419.87306305,400.000064,0.0,0.0
PPD,LAN,8,100,30,1719.162148,1721.31566335,100.00463999999998,74.79404768616344,87.49942200009248
RPD,LAN,8,100,30,6820.461003,6822.83079145,800.000128,0.0,0.0
PPD,WAN,1,100,30,30258.649613499998,30316.505642250002,100.000594,-50.63320648094259,-0.0005779999075244231
RPD,WAN,1,100,30,20087.635602000002,20135.171933,100.000016,0.0,0.0
PPD,WAN,2,100,30,30271.827979,30309.13561975,100.001172,24.507620676006308,49.99942200009248
RPD,WAN,2,100,30,40099.1838515,40133.24458105,200.000032,0.0,0.0
PPD,WAN,4,100,30,30266.8369065,30326.0692339,100.002328,62.20822929316908,74.9994220000925
RPD,WAN,4,100,30,80088.432853,80152.40466385,400.000064,0.0,0.0
PPD,WAN,8,100,30,30266.852281,30297.934126649998,100.00463999999998,81.09499104841363,87.49942200009248
RPD,WAN,8,100,30,160099.6453295,160137.8387025,800.000128,0.0,0.0
